cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
turan_n162,Z12,2647,carry-triv,2,6.0,6,0.0,29.93,1,24,,24,0,6409,25,0,0.93,24,0,0,0,1725.0,26.0,True,0,0,0,True,62.2
turan_n162,Z12,2647,carry-triv,3,6.0,6,0.0,29.9,1,24,,24,0,5985,25,0,1.74,24,0,0,0,1725.0,26.0,True,0,0,0,True,62.0
turan_n162,Z12,2647,carry-triv,4,6.0,6,0.0,29.89,1,24,,24,0,4556,25,0,1.81,24,0,0,0,1725.0,26.0,True,0,0,0,True,63.2
turan_n162,Z12,2647,carry-triv,5,6.0,6,0.0,29.94,1,24,,24,0,4755,25,0,1.93,24,0,0,0,1725.0,26.0,True,0,0,0,True,61.9
turan_n162,Z12,2647,carry-triv,6,6.0,6,0.0,29.91,1,24,,24,0,5360,25,0,1.51,24,0,0,0,1725.0,26.0,True,0,0,0,True,63.2
turan_n162,Z12,2647,carry-triv,7,6.0,6,0.0,29.89,1,24,,24,0,5911,25,0,1.5,24,0,0,0,1725.0,26.0,True,0,0,0,True,62.1
turan_n162,Z12,2647,carry-triv,8,6.0,6,0.0,29.94,1,24,,24,0,5912,25,0,1.67,24,0,0,0,1725.0,26.0,True,0,0,0,True,60.6
turan_n162,Z12,2647,carry-triv,9,6.0,6,0.0,29.88,1,24,,24,0,7473,25,0,1.46,24,0,0,0,1725.0,26.0,True,0,0,0,True,65.5
turan_n162,Z12,2647,carry-audit,0,9.92,14,0.0,29.92,1,151,,151,1078,2807,1230,0,3.76,210,0,0,0,2740.0,34.0,True,0,0,0,True,63.3
turan_n162,Z12,2647,carry-audit,1,9.093,14,0.0,29.93,1,138,,138,1029,3546,1168,0,14.91,619,0,5,0,2506.0,32.0,True,0,0,0,True,63.0
turan_n162,Z12,2647,carry-audit,2,9.92,14,0.0,29.92,1,151,,151,540,1484,692,0,4.24,210,0,0,0,2740.0,34.0,True,0,0,0,True,61.5
turan_n162,Z12,2647,carry-audit,3,9.92,14,0.0,29.87,1,151,,151,713,1841,865,0,6.83,210,0,0,0,2740.0,34.0,True,0,0,0,True,60.7
turan_n162,Z12,2647,carry-audit,4,9.92,14,0.01,29.44,1,151,,151,674,1674,826,0,8.59,210,0,0,0,2740.0,34.0,True,0,0,0,True,62.6
turan_n162,Z12,2647,carry-audit,5,9.093,14,0.0,29.92,1,138,,138,932,3084,1071,0,16.64,619,0,5,0,2506.0,32.0,True,0,0,0,True,60.9
turan_n162,Z12,2647,carry-audit,6,9.92,14,0.0,29.94,1,151,,151,992,2713,1144,0,3.51,210,0,0,0,2740.0,34.0,True,0,0,0,True,64.5
turan_n162,Z12,2647,carry-audit,7,9.093,14,0.0,29.93,1,138,,138,863,2778,1002,0,15.37,619,0,5,0,2506.0,32.0,True,0,0,0,True,68.8
turan_n162,Z12,2647,carry-audit,8,9.093,14,0.0,29.93,1,138,,138,1057,3659,1196,0,13.99,619,0,5,0,2506.0,32.0,True,0,0,0,True,63.6
turan_n162,Z12,2647,carry-audit,9,9.92,14,0.0,29.95,1,151,,151,978,2660,1130,0,3.84,210,0,0,0,2740.0,34.0,True,0,0,0,True,62.0
spin_glass_n163,Z12,37309,plane,0,11.11,12,0.85,29.1,4,413|219|141|11,,781,0,2101,1686,16,28.44,1665,0,0,0,3112.0,37.0,True,0,0,0,True,63.4
spin_glass_n163,Z12,37309,plane,1,11.11,12,0.94,28.99,4,413|219|141|27,,797,0,2176,1736,16,27.98,1665,0,0,0,3112.0,37.0,True,0,0,0,True,60.2
spin_glass_n163,Z12,37309,plane,2,11.123,13,0.96,28.99,3,413|219|128,,758,0,1938,1580,13,28.8,1576,0,0,0,3118.0,37.0,True,0,0,0,True,62.4
spin_glass_n163,Z12,37309,carry,0,10.853,12,0.88,29.04,1,351,,351,0,6000,352,0,9.13,334,0,62,0,3055.0,33.0,True,0,0,0,True,60.6
spin_glass_n163,Z12,37309,carry,1,10.853,12,1.24,28.67,1,352,,352,0,6440,353,0,10.25,334,0,63,0,3055.0,33.0,True,0,0,0,True,69.6
spin_glass_n163,Z12,37309,carry,2,10.853,12,1.12,28.68,1,351,,351,0,5974,352,0,11.93,334,0,62,0,3055.0,33.0,True,0,0,0,True,61.3
spin_glass_n163,Z12,37309,carry-triv,0,10.914,12,0.0,29.88,1,232,,232,0,5776,233,0,28.94,233,0,73,0,3069.0,31.0,True,0,0,0,True,61.2
spin_glass_n163,Z12,37309,carry-triv,1,10.908,12,0.0,29.93,1,236,,236,0,7505,237,0,28.75,236,0,77,0,3068.0,31.0,True,0,0,0,True,69.7
spin_glass_n163,Z12,37309,carry-triv,2,10.914,12,0.0,29.88,1,232,,232,0,5980,233,0,28.27,233,0,73,0,3069.0,31.0,True,0,0,0,True,70.1
spin_glass_n163,Z12,37309,carry-audit,0,11.221,13,0.84,29.09,1,137,,137,1941,1830,2079,0,26.98,1942,0,8,0,3079.0,32.0,True,0,0,0,True,79.3
spin_glass_n163,Z12,37309,carry-audit,1,11.215,13,1.05,28.87,1,138,,138,2063,1927,2202,0,26.99,2105,0,9,0,3078.0,32.0,True,0,0,0,True,68.5
