cell,arm,seed,final_acl,time,diag
ER100_d10,courses,0,5.64,3.0,"{'assigned': 53, 'assigned_rows': 24, 'assigned_cols': 48, 'insert_reverts': 0, 'mono_time': 0.0262, 'extent_mean': 8.057, 'extent_max': 13.384, 'stride': 2}"
ER100_d10,courses,1,4.63,5.3,"{'assigned': 53, 'assigned_rows': 24, 'assigned_cols': 48, 'insert_reverts': 0, 'mono_time': 0.0263, 'extent_mean': 7.823, 'extent_max': 13.004, 'stride': 2}"
ER100_d10,courses,2,5.01,3.2,"{'assigned': 53, 'assigned_rows': 24, 'assigned_cols': 48, 'insert_reverts': 0, 'mono_time': 0.0262, 'extent_mean': 7.386, 'extent_max': 11.831, 'stride': 2}"
ER100_d10,courses_exact,0,5.64,3.1,"{'assigned': 53, 'assigned_rows': 24, 'assigned_cols': 48, 'insert_reverts': 0, 'mono_time': 0.0261, 'extent_mean': 8.057, 'extent_max': 13.384, 'stride': 2, 'designated': '52/195'}"
ER100_d10,courses_exact,1,4.63,5.4,"{'assigned': 53, 'assigned_rows': 24, 'assigned_cols': 48, 'insert_reverts': 0, 'mono_time': 0.0263, 'extent_mean': 7.823, 'extent_max': 13.004, 'stride': 2, 'designated': '52/195'}"
ER100_d10,courses_exact,2,5.01,3.1,"{'assigned': 53, 'assigned_rows': 24, 'assigned_cols': 48, 'insert_reverts': 0, 'mono_time': 0.0262, 'extent_mean': 7.386, 'extent_max': 11.831, 'stride': 2, 'designated': '52/195'}"
turan_n162,default,0,12.395,60.9,"{'assigned': 162, 'assigned_rows': 162, 'assigned_cols': 162, 'insert_reverts': 0, 'mono_time': 0.3046, 'extent_mean': 19.485, 'extent_max': 30.826, 'stride': 1}"
turan_n162,default,1,13.963,61.5,"{'assigned': 162, 'assigned_rows': 162, 'assigned_cols': 162, 'insert_reverts': 0, 'mono_time': 0.3732, 'extent_mean': 17.898, 'extent_max': 25.412, 'stride': 1}"
turan_n162,default,2,13.549,61.2,"{'assigned': 162, 'assigned_rows': 162, 'assigned_cols': 162, 'insert_reverts': 0, 'mono_time': 0.2923, 'extent_mean': 18.627, 'extent_max': 26.155, 'stride': 1}"
turan_n162,courses,0,10.778,26.7,"{'assigned': 162, 'assigned_rows': 162, 'assigned_cols': 162, 'insert_reverts': 0, 'mono_time': 0.3666, 'extent_mean': 14.017, 'extent_max': 21.329, 'stride': 2}"
turan_n162,courses,1,9.253,24.7,"{'assigned': 162, 'assigned_rows': 162, 'assigned_cols': 162, 'insert_reverts': 0, 'mono_time': 0.3632, 'extent_mean': 13.927, 'extent_max': 20.912, 'stride': 2}"
turan_n162,courses,2,10.031,19.5,"{'assigned': 162, 'assigned_rows': 162, 'assigned_cols': 162, 'insert_reverts': 0, 'mono_time': 0.3651, 'extent_mean': 13.111, 'extent_max': 20.062, 'stride': 2}"
turan_n162,courses_exact,0,10.321,18.9,"{'assigned': 162, 'assigned_rows': 162, 'assigned_cols': 162, 'insert_reverts': 0, 'mono_time': 0.3616, 'extent_mean': 13.948, 'extent_max': 20.664, 'stride': 2, 'designated': '6346/6549'}"
turan_n162,courses_exact,1,9.821,19.6,"{'assigned': 162, 'assigned_rows': 162, 'assigned_cols': 162, 'insert_reverts': 0, 'mono_time': 0.3568, 'extent_mean': 13.738, 'extent_max': 21.706, 'stride': 2, 'designated': '6346/6549'}"
turan_n162,courses_exact,2,9.025,35.5,"{'assigned': 162, 'assigned_rows': 162, 'assigned_cols': 162, 'insert_reverts': 0, 'mono_time': 0.364, 'extent_mean': 13.155, 'extent_max': 20.354, 'stride': 2, 'designated': '6346/6549'}"
spin_glass_n163,default,0,16.963,55.8,"{'assigned': 163, 'assigned_rows': 154, 'assigned_cols': 160, 'insert_reverts': 1, 'mono_time': 0.2983, 'extent_mean': 20.829, 'extent_max': 25.839, 'stride': 1}"
spin_glass_n163,default,1,,64.0,
spin_glass_n163,default,2,17.319,60.3,"{'assigned': 163, 'assigned_rows': 154, 'assigned_cols': 160, 'insert_reverts': 1, 'mono_time': 0.299, 'extent_mean': 19.195, 'extent_max': 24.251, 'stride': 1}"
spin_glass_n163,courses,0,13.92,59.4,"{'assigned': 163, 'assigned_rows': 163, 'assigned_cols': 163, 'insert_reverts': 1, 'mono_time': 0.1619, 'extent_mean': 18.152, 'extent_max': 24.064, 'stride': 2}"
spin_glass_n163,courses,1,14.037,32.9,"{'assigned': 163, 'assigned_rows': 163, 'assigned_cols': 163, 'insert_reverts': 1, 'mono_time': 0.1536, 'extent_mean': 17.234, 'extent_max': 23.739, 'stride': 2}"
spin_glass_n163,courses,2,14.08,41.6,"{'assigned': 163, 'assigned_rows': 163, 'assigned_cols': 163, 'insert_reverts': 1, 'mono_time': 0.1637, 'extent_mean': 18.223, 'extent_max': 23.346, 'stride': 2}"
spin_glass_n163,courses_exact,0,14.436,38.1,"{'assigned': 163, 'assigned_rows': 163, 'assigned_cols': 163, 'insert_reverts': 1, 'mono_time': 0.1534, 'extent_mean': 16.73, 'extent_max': 21.864, 'stride': 2, 'designated': '3789/3909'}"
spin_glass_n163,courses_exact,1,13.362,60.5,"{'assigned': 163, 'assigned_rows': 163, 'assigned_cols': 163, 'insert_reverts': 1, 'mono_time': 0.1634, 'extent_mean': 16.582, 'extent_max': 22.348, 'stride': 2, 'designated': '3789/3909'}"
spin_glass_n163,courses_exact,2,14.417,60.4,"{'assigned': 163, 'assigned_rows': 163, 'assigned_cols': 163, 'insert_reverts': 1, 'mono_time': 0.1533, 'extent_mean': 17.234, 'extent_max': 22.385, 'stride': 2, 'designated': '3789/3909'}"
