cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,deficit,corner,cmiss,time
grid_200,Z12,1590,conv,1,1.055,2,0.07,5.59,11,220,1,0,0,0,3.0,False,0,10,0,22,28.7
grid_200,Z12,1590,conv,2,1.065,2,0.07,5.89,11,220,1,0,0,0,3.0,False,0,10,0,22,30.6
honeycomb_200,Z12,32393,default,0,1.11,2,0.62,4.7,7,116,2,0,0,0,9.0,False,0,4,13,,34.7
honeycomb_200,Z12,32393,default,1,1.09,2,0.22,7.03,7,116,2,0,0,0,9.0,False,1,4,13,,60.0
honeycomb_200,Z12,32393,default,2,1.13,2,0.56,6.59,7,116,2,0,0,0,9.0,False,2,4,13,,60.0
honeycomb_200,Z12,32393,conv,0,1.09,2,0.64,4.7,7,116,2,0,0,0,9.0,False,0,9,0,19,35.3
honeycomb_200,Z12,32393,conv,1,1.105,2,0.23,5.98,7,116,2,0,0,0,9.0,False,0,9,0,19,40.3
honeycomb_200,Z12,32393,conv,2,1.06,2,0.77,6.7,7,116,2,0,0,0,9.0,False,0,9,0,19,34.8
king_graph_196,Z12,32622,default,0,1.847,4,0.04,9.09,6,271,2,0,0,0,8.0,False,12,14,10,,60.0
king_graph_196,Z12,32622,default,1,1.74,4,0.03,9.52,6,271,2,0,0,0,8.0,False,5,14,10,,60.0
king_graph_196,Z12,32622,default,2,1.607,3,0.04,10.76,6,271,2,0,0,0,8.0,False,2,14,10,,60.0
king_graph_196,Z12,32622,conv,0,1.74,4,0.05,12.77,6,271,2,0,0,0,8.0,False,2,11,0,10,60.0
king_graph_196,Z12,32622,conv,1,1.495,3,0.03,12.46,6,271,2,0,0,0,8.0,False,0,11,0,10,60.0
king_graph_196,Z12,32622,conv,2,1.821,4,0.03,11.52,6,271,2,0,0,0,8.0,False,4,11,0,10,60.1
K100,P16,,default,0,11.23,16,0.01,1.56,0,0,0,0,0,0,15.0,,0,,,,33.8
K100,P16,,default,1,11.51,17,0.0,1.86,0,0,0,0,0,0,15.0,,0,,,,36.0
K100,P16,,default,2,11.65,17,0.0,1.66,0,0,0,0,0,0,15.0,,0,,,,61.7
K100,P16,,conv,0,11.23,16,0.0,1.23,0,0,0,0,0,0,15.0,,0,,,,34.1
K100,P16,,conv,1,11.51,17,0.0,1.87,0,0,0,0,0,0,15.0,,0,,,,35.8
K100,P16,,conv,2,11.65,17,0.01,1.48,0,0,0,0,0,0,15.0,,0,,,,60.7
turan_n162,P16,2647,default,0,7.654,8,0.6,10.68,3,107,0,0,0,0,14.0,,0,,,,64.0
turan_n162,P16,2647,default,1,7.815,8,0.35,8.8,3,107,0,0,0,0,14.0,,0,,,,63.6
turan_n162,P16,2647,default,2,7.654,8,0.47,10.99,3,107,0,0,0,0,14.0,,0,,,,64.3
turan_n162,P16,2647,conv,0,7.654,8,0.27,11.05,3,107,0,0,0,0,14.0,,0,,,,62.9
turan_n162,P16,2647,conv,1,7.815,8,0.37,9.96,3,107,0,0,0,0,14.0,,0,,,,60.6
turan_n162,P16,2647,conv,2,7.654,8,0.36,8.55,3,107,0,0,0,0,14.0,,0,,,,61.1
ws_n486,P16,17188,default,0,3.126,11,0.08,29.91,17,390,1,0,0,0,14.0,,0,,,,60.0
ws_n486,P16,17188,default,1,3.467,14,0.11,31.27,11,331,2,0,0,0,12.0,,0,,,,60.0
ws_n486,P16,17188,default,2,3.387,14,0.21,29.73,7,322,2,0,0,0,13.0,,0,,,,60.0
ws_n486,P16,17188,conv,0,3.095,10,0.12,30.33,19,410,1,0,0,0,14.0,,0,,,,60.0
ws_n486,P16,17188,conv,1,3.389,11,0.25,29.69,17,337,1,0,0,0,14.0,,0,,,,60.0
ws_n486,P16,17188,conv,2,3.387,14,0.14,30.1,7,338,2,0,0,0,13.0,,0,,,,60.0
