cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
king_graph_196,Z12,32622,align,2,1.633,3,0.02,23.74,24,931,6,955,29,7.0,False,0,8,17,False,60.0
K100,P16,,default,0,11.23,16,0.0,0.74,0,0,0,0,0,15.0,,0,,,,20.7
K100,P16,,default,1,11.51,17,0.0,0.76,0,0,0,0,0,15.0,,0,,,,20.4
K100,P16,,default,2,11.65,17,0.0,0.76,0,0,0,0,0,15.0,,0,,,,42.7
K100,P16,,align,0,12.08,17,0.0,5.94,9,198,0,207,105,15.0,,0,,,,25.4
K100,P16,,align,1,12.14,18,0.0,5.84,9,198,0,207,105,15.0,,0,,,,23.9
K100,P16,,align,2,11.98,19,0.0,5.79,9,198,0,207,105,15.0,,0,,,,22.4
turan_n162,P16,2647,default,0,7.654,8,0.22,5.69,3,107,0,0,0,14.0,,0,,,,60.1
turan_n162,P16,2647,default,1,7.815,8,0.11,5.83,3,107,0,0,0,14.0,,0,,,,60.0
turan_n162,P16,2647,default,2,7.654,8,0.16,5.81,3,107,0,0,0,14.0,,0,,,,60.3
turan_n162,P16,2647,align,0,7.815,8,0.08,21.96,6,170,1,176,322,14.0,,0,,,,61.6
turan_n162,P16,2647,align,1,7.654,8,0.09,21.81,6,170,1,176,322,14.0,,0,,,,60.4
turan_n162,P16,2647,align,2,7.815,8,0.13,21.93,6,170,1,176,322,14.0,,0,,,,62.4
ws_n486,P16,17188,default,0,3.3,13,0.07,23.17,11,331,2,0,0,12.0,,1,,,,60.0
ws_n486,P16,17188,default,1,3.095,11,0.15,23.08,11,331,2,0,0,12.0,,0,,,,60.0
ws_n486,P16,17188,default,2,3.685,13,0.07,27.6,19,410,1,0,0,14.0,,1,,,,60.0
ws_n486,P16,17188,align,0,3.459,12,0.07,29.92,35,470,3,505,5,13.0,,1,,,,60.0
ws_n486,P16,17188,align,1,3.126,11,0.07,29.82,35,472,3,507,5,13.0,,0,,,,60.0
ws_n486,P16,17188,align,2,3.261,11,0.07,29.88,35,469,3,504,5,13.0,,1,,,,60.0
