cell,fabric,gid,arm,seed,final_acl,max_chain,mm_skipped,ball_acc,ball_wall,questions,time
spin_glass_n163,Z12,37309,ball,2,11.417,13,True,0,23.2,7,53.9
spin_glass_n163,Z12,37309,ball+mm,0,11.417,13,True,0,21.8,7,61.4
spin_glass_n163,Z12,37309,ball+mm,1,11.417,13,True,0,21.2,7,61.1
spin_glass_n163,Z12,37309,ball+mm,2,11.417,13,True,0,22.7,7,60.4
regular_n316,Z12,13096,mm+ball,0,2.924,7,False,1,30.6,305,60.0
regular_n316,Z12,13096,mm+ball,1,2.769,6,False,0,30.9,305,60.0
regular_n316,Z12,13096,mm+ball,2,2.861,7,False,1,31.3,309,60.1
regular_n316,Z12,13096,ball,0,4.282,14,False,5,33.9,314,60.0
regular_n316,Z12,13096,ball,1,4.085,13,False,6,36.9,310,60.0
regular_n316,Z12,13096,ball,2,4.367,16,False,4,35.4,313,60.0
regular_n316,Z12,13096,ball+mm,0,4.266,14,False,6,37.4,314,60.0
regular_n316,Z12,13096,ball+mm,1,4.085,13,False,6,35.6,310,60.0
regular_n316,Z12,13096,ball+mm,2,4.351,16,False,5,35.8,313,60.2
ws_n486,Z12,17188,mm+ball,0,2.852,10,False,0,24.8,473,60.1
ws_n486,Z12,17188,mm+ball,1,2.885,10,False,0,26.5,467,60.0
ws_n486,Z12,17188,mm+ball,2,2.821,10,False,0,26.5,467,60.0
ws_n486,Z12,17188,mm+ball,3,2.751,10,False,0,25.4,468,60.0
ws_n486,Z12,17188,mm+ball,4,2.969,11,False,0,26.8,465,60.0
ws_n486,Z12,17188,mm+ball,5,2.833,9,False,0,26.9,459,60.0
ws_n486,Z12,17188,mm+ball,6,2.837,9,False,1,25.2,470,60.1
ws_n486,Z12,17188,mm+ball,7,3.44,11,False,0,26.4,476,60.0
ws_n486,Z12,17188,mm+ball,8,2.883,10,False,0,25.9,457,60.0
ws_n486,Z12,17188,mm+ball,9,3.027,11,False,1,26.6,462,60.0
ws_n486,Z12,17188,ball,0,4.79,22,False,3,28.9,471,60.0
ws_n486,Z12,17188,ball,1,4.539,23,False,5,29.0,469,60.0
ws_n486,Z12,17188,ball,2,4.693,25,False,9,29.0,478,60.0
ws_n486,Z12,17188,ball,3,4.679,22,False,5,29.0,473,60.0
ws_n486,Z12,17188,ball,4,4.619,24,False,6,28.9,478,60.0
ws_n486,Z12,17188,ball,5,4.691,20,False,3,29.0,479,60.0
ws_n486,Z12,17188,ball,6,4.251,25,False,1,28.8,471,60.0
ws_n486,Z12,17188,ball,7,4.307,24,False,3,28.9,480,60.0
ws_n486,Z12,17188,ball,8,4.344,26,False,4,28.5,475,60.0
ws_n486,Z12,17188,ball,9,4.574,20,False,3,29.0,472,60.0
ws_n486,Z12,17188,ball+mm,0,4.79,22,False,3,29.0,471,60.0
ws_n486,Z12,17188,ball+mm,1,4.761,22,False,4,29.0,479,60.0
ws_n486,Z12,17188,ball+mm,2,4.751,25,False,7,28.9,478,60.0
ws_n486,Z12,17188,ball+mm,3,4.677,20,False,2,28.9,476,60.0
ws_n486,Z12,17188,ball+mm,4,4.619,24,False,6,29.1,478,60.2
ws_n486,Z12,17188,ball+mm,5,4.691,20,False,3,28.7,479,60.0
ws_n486,Z12,17188,ball+mm,6,4.428,22,False,4,28.8,478,60.0
ws_n486,Z12,17188,ball+mm,7,4.307,24,False,3,28.7,480,60.0
ws_n486,Z12,17188,ball+mm,8,4.584,22,False,4,29.0,469,60.0
ws_n486,Z12,17188,ball+mm,9,4.504,21,False,2,28.5,473,60.0
grid_200,Z12,1590,mm+ball,0,1.09,2,False,0,32.3,128,39.6
grid_200,Z12,1590,mm+ball,1,1.145,2,False,0,37.0,134,43.9
grid_200,Z12,1590,mm+ball,2,1.13,2,False,0,32.7,147,40.8
grid_200,Z12,1590,ball,0,1.615,6,False,28,52.0,177,60.0
grid_200,Z12,1590,ball,1,1.69,5,False,14,52.3,177,60.0
grid_200,Z12,1590,ball,2,1.645,7,False,25,53.4,176,60.0
grid_200,Z12,1590,ball+mm,0,1.62,6,False,27,52.5,177,60.0
grid_200,Z12,1590,ball+mm,1,1.665,5,False,16,50.0,177,60.0
grid_200,Z12,1590,ball+mm,2,1.66,7,False,23,52.8,176,60.0
honeycomb_200,Z12,32393,mm+ball,0,1.085,2,False,0,26.4,129,31.1
honeycomb_200,Z12,32393,mm+ball,1,1.09,2,False,0,28.5,139,33.2
honeycomb_200,Z12,32393,mm+ball,2,1.095,2,False,0,31.7,139,36.3
honeycomb_200,Z12,32393,ball,0,1.51,4,False,17,54.9,168,60.0
honeycomb_200,Z12,32393,ball,1,1.405,4,False,14,55.0,171,60.0
honeycomb_200,Z12,32393,ball,2,1.465,4,False,23,54.7,178,60.0
honeycomb_200,Z12,32393,ball+mm,0,1.495,4,False,19,54.9,168,60.0
honeycomb_200,Z12,32393,ball+mm,1,1.07,2,False,15,51.7,171,56.9
honeycomb_200,Z12,32393,ball+mm,2,1.45,4,False,25,55.3,178,60.0
king_graph_196,Z12,32622,mm+ball,0,1.561,3,False,0,51.2,125,60.0
king_graph_196,Z12,32622,mm+ball,1,1.531,3,False,0,52.0,141,60.1
king_graph_196,Z12,32622,mm+ball,2,1.49,2,False,1,51.2,125,60.0
king_graph_196,Z12,32622,ball,0,2.061,7,False,17,50.9,157,60.0
king_graph_196,Z12,32622,ball,1,2.036,10,False,13,51.4,131,60.0
king_graph_196,Z12,32622,ball,2,1.918,11,False,9,51.3,145,60.0
king_graph_196,Z12,32622,ball+mm,0,2.102,7,False,15,48.0,157,60.1
king_graph_196,Z12,32622,ball+mm,1,2.036,10,False,13,51.9,131,60.0
king_graph_196,Z12,32622,ball+mm,2,1.954,11,False,8,51.9,145,60.0
K100,P16,,mm+ball,0,11.23,16,,0,0.1,0,31.0
K100,P16,,mm+ball,1,11.51,17,,0,0.1,0,34.8
K100,P16,,mm+ball,2,11.65,17,,0,0.0,0,61.2
K100,P16,,ball,0,11.23,16,,0,0.1,0,5.2
K100,P16,,ball,1,11.52,17,,0,0.0,0,3.6
K100,P16,,ball,2,11.71,19,,0,0.0,0,3.4
K100,P16,,ball+mm,0,11.23,16,,0,0.0,0,36.1
K100,P16,,ball+mm,1,11.51,17,,0,0.1,0,37.7
K100,P16,,ball+mm,2,11.65,17,,0,0.1,0,61.5
turan_n162,P16,2647,mm+ball,0,7.654,8,,0,0.1,16,62.0
turan_n162,P16,2647,mm+ball,1,7.654,8,,0,0.1,16,62.5
turan_n162,P16,2647,mm+ball,2,7.654,8,,0,0.1,16,62.0
turan_n162,P16,2647,ball,0,7.654,8,,0,42.9,16,60.1
turan_n162,P16,2647,ball,1,7.698,16,,0,42.2,11,60.2
turan_n162,P16,2647,ball,2,7.654,8,,0,44.6,16,60.7
turan_n162,P16,2647,ball+mm,0,7.654,8,,0,44.5,16,60.5
turan_n162,P16,2647,ball+mm,1,7.698,16,,0,44.1,11,60.3
turan_n162,P16,2647,ball+mm,2,7.654,8,,0,45.1,16,60.1
ws_n486,P16,17188,mm+ball,0,3.817,14,,0,26.7,424,60.0
ws_n486,P16,17188,mm+ball,1,3.747,14,,0,25.5,423,60.0
ws_n486,P16,17188,mm+ball,2,3.65,13,,0,26.1,428,60.0
ws_n486,P16,17188,ball,0,5.315,31,,3,28.6,450,60.0
ws_n486,P16,17188,ball,1,5.595,32,,2,28.5,446,60.0
ws_n486,P16,17188,ball,2,5.726,53,,3,28.7,457,60.0
ws_n486,P16,17188,ball+mm,0,5.393,27,,2,28.4,456,60.0
ws_n486,P16,17188,ball+mm,1,5.428,39,,2,28.5,444,60.0
ws_n486,P16,17188,ball+mm,2,5.012,29,,5,28.2,441,60.0
