cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
regular_n316,Z12,13096,plane,1,2.687,6,0.95,28.99,2,860|290,,1150,0,3914,1151,0,12.3,757,0,141,0,1,5,1607.0,30.0,True,0,0,2,False,60.1
regular_n316,Z12,13096,plane,2,2.734,6,1.47,28.46,2,860|296,,1156,0,4046,1157,0,12.73,757,0,147,0,1,5,1607.0,30.0,True,0,0,2,False,60.5
regular_n316,Z12,13096,plane,3,2.623,6,0.69,29.24,2,860|314,,1174,0,4496,1175,0,11.99,757,0,165,0,1,5,1607.0,30.0,True,0,0,2,False,60.7
regular_n316,Z12,13096,plane,4,2.722,6,1.96,27.97,1,327,,327,0,72,328,0,26.71,274,0,0,0,1,1,1623.0,27.0,True,0,0,0,True,60.1
regular_n316,Z12,13096,plane,5,2.797,6,9.36,20.56,1,619,,619,0,477,620,0,16.72,524,0,0,0,1,1,1610.0,27.0,True,0,0,0,True,60.1
regular_n316,Z12,13096,plane,6,3.155,7,13.48,16.36,1,486,,486,0,149,487,0,13.27,274,0,0,0,1,1,1623.0,27.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,plane,7,2.699,6,12.65,17.22,1,525,,525,0,224,526,0,17.13,524,0,0,0,1,1,1610.0,27.0,True,0,0,0,True,60.1
regular_n316,Z12,13096,plane,8,2.873,7,17.0,11.7,1,438,,438,0,116,439,0,9.13,274,0,0,0,1,1,1623.0,27.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,plane,9,2.665,6,9.03,20.14,1,421,,421,0,111,422,0,17.59,274,0,0,0,1,1,1623.0,27.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,xy,0,2.848,7,12.7,16.88,1,334,,334,0,74,335,0,14.75,274,0,0,0,1,1,1623.0,27.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,xy,1,2.725,6,14.31,15.57,1,495,,495,0,182,496,0,12.5,274,0,0,0,1,1,1623.0,27.0,True,1,0,0,True,60.0
regular_n316,Z12,13096,xy,2,2.826,6,14.3,15.6,1,417,,417,0,111,418,0,12.77,274,0,0,0,1,1,1623.0,27.0,True,0,0,0,True,61.0
regular_n316,Z12,13096,xy,3,2.671,6,12.33,17.33,1,477,,477,0,134,478,0,15.12,274,0,0,0,1,1,1623.0,27.0,True,0,0,0,True,60.2
regular_n316,Z12,13096,xy,4,2.722,6,13.2,16.02,1,352,,352,0,82,353,0,13.57,274,0,0,0,1,1,1623.0,27.0,True,0,0,0,True,60.1
