cell,fabric,gid,arm,seed,final_acl,max_chain,ball_acc,mm_skipped,fold_acc,time
turan_n162,Z12,2647,ballSF,7,7.63,12,0,True,0,60.7
turan_n162,Z12,2647,ballSF,8,7.63,12,0,True,0,60.3
turan_n162,Z12,2647,ballSF,9,6.0,6,0,True,0,63.2
spin_glass_n163,Z12,37309,default,0,11.417,13,0,True,0,45.7
spin_glass_n163,Z12,37309,default,1,11.417,13,0,True,0,43.4
spin_glass_n163,Z12,37309,default,2,11.417,13,0,True,0,44.3
spin_glass_n163,Z12,37309,ball,0,11.417,13,0,True,0,24.8
spin_glass_n163,Z12,37309,ball,1,11.417,13,0,True,0,24.2
spin_glass_n163,Z12,37309,ball,2,11.417,13,0,True,0,25.4
spin_glass_n163,Z12,37309,ballS,0,11.417,13,0,True,0,26.4
spin_glass_n163,Z12,37309,ballS,1,11.417,13,0,True,0,25.5
spin_glass_n163,Z12,37309,ballS,2,11.417,13,0,True,0,26.9
spin_glass_n163,Z12,37309,ballSF,0,11.417,13,0,True,0,27.1
spin_glass_n163,Z12,37309,ballSF,1,11.417,13,0,True,0,27.4
spin_glass_n163,Z12,37309,ballSF,2,11.417,13,0,True,0,25.1
regular_n316,Z12,13096,default,0,2.845,7,0,False,0,60.1
regular_n316,Z12,13096,default,1,2.595,6,0,False,0,60.1
regular_n316,Z12,13096,default,2,3.0,7,0,False,0,60.0
regular_n316,Z12,13096,ball,0,4.443,16,7,False,0,60.0
regular_n316,Z12,13096,ball,1,4.044,15,9,False,0,60.0
regular_n316,Z12,13096,ball,2,4.028,15,13,False,0,60.0
regular_n316,Z12,13096,ballS,0,4.31,15,7,False,0,60.0
regular_n316,Z12,13096,ballS,1,4.041,14,9,False,0,60.0
regular_n316,Z12,13096,ballS,2,4.013,14,8,False,0,60.0
regular_n316,Z12,13096,ballSF,0,4.31,15,7,False,0,60.0
regular_n316,Z12,13096,ballSF,1,4.041,14,9,False,0,60.1
regular_n316,Z12,13096,ballSF,2,4.009,14,9,False,0,60.0
ws_n486,Z12,17188,default,0,2.718,9,0,False,0,60.0
ws_n486,Z12,17188,default,1,3.0,11,0,False,0,60.2
ws_n486,Z12,17188,default,2,2.897,10,1,False,0,60.0
ws_n486,Z12,17188,default,3,2.998,12,1,False,0,60.0
ws_n486,Z12,17188,default,4,3.019,10,2,False,0,60.0
ws_n486,Z12,17188,default,5,3.097,11,0,False,0,60.0
ws_n486,Z12,17188,default,6,2.702,9,0,False,0,60.0
ws_n486,Z12,17188,default,7,2.86,10,0,False,0,60.1
ws_n486,Z12,17188,default,8,2.675,9,0,False,0,60.0
ws_n486,Z12,17188,default,9,2.757,9,0,False,0,60.0
ws_n486,Z12,17188,ball,0,4.412,21,5,False,0,60.0
ws_n486,Z12,17188,ball,1,4.481,21,5,False,0,60.1
ws_n486,Z12,17188,ball,2,4.467,22,2,False,0,60.0
ws_n486,Z12,17188,ball,3,4.206,25,4,False,0,60.0
ws_n486,Z12,17188,ball,4,4.156,19,4,False,0,60.0
ws_n486,Z12,17188,ball,5,4.195,19,2,False,0,60.0
ws_n486,Z12,17188,ball,6,4.265,19,6,False,0,60.0
ws_n486,Z12,17188,ball,7,4.14,18,3,False,0,60.0
ws_n486,Z12,17188,ball,8,4.206,25,4,False,0,60.0
ws_n486,Z12,17188,ball,9,4.471,19,1,False,0,60.0
ws_n486,Z12,17188,ballS,0,4.477,22,3,False,0,60.0
ws_n486,Z12,17188,ballS,1,4.428,19,6,False,0,60.0
ws_n486,Z12,17188,ballS,2,4.251,21,2,False,0,60.0
ws_n486,Z12,17188,ballS,3,3.916,26,3,False,0,60.0
ws_n486,Z12,17188,ballS,4,4.004,24,4,False,0,60.0
ws_n486,Z12,17188,ballS,5,4.173,19,4,False,0,60.0
ws_n486,Z12,17188,ballS,6,3.986,18,6,False,0,60.0
ws_n486,Z12,17188,ballS,7,4.049,18,5,False,0,60.0
ws_n486,Z12,17188,ballS,8,4.214,28,3,False,0,60.0
ws_n486,Z12,17188,ballS,9,4.294,19,3,False,0,60.0
ws_n486,Z12,17188,ballSF,0,4.477,22,3,False,0,60.0
ws_n486,Z12,17188,ballSF,1,4.428,19,6,False,0,60.0
ws_n486,Z12,17188,ballSF,2,4.251,21,2,False,0,60.0
ws_n486,Z12,17188,ballSF,3,3.916,26,3,False,0,60.3
ws_n486,Z12,17188,ballSF,4,4.004,24,4,False,0,60.3
ws_n486,Z12,17188,ballSF,5,4.173,19,4,False,0,60.0
ws_n486,Z12,17188,ballSF,6,4.181,16,3,False,0,60.0
ws_n486,Z12,17188,ballSF,7,4.432,18,7,False,0,60.0
ws_n486,Z12,17188,ballSF,8,4.214,28,3,False,0,60.0
ws_n486,Z12,17188,ballSF,9,4.294,19,3,False,0,60.0
grid_200,Z12,1590,default,0,1.03,2,0,False,0,23.2
grid_200,Z12,1590,default,1,1.03,2,0,False,0,24.3
grid_200,Z12,1590,default,2,1.035,2,0,False,0,22.4
grid_200,Z12,1590,ball,0,1.225,3,32,False,0,60.0
grid_200,Z12,1590,ball,1,1.195,3,29,False,0,60.0
grid_200,Z12,1590,ball,2,1.32,5,29,False,0,60.0
grid_200,Z12,1590,ballS,0,1.21,3,32,False,0,60.0
grid_200,Z12,1590,ballS,1,1.195,3,28,False,0,60.0
grid_200,Z12,1590,ballS,2,1.295,4,28,False,0,60.0
grid_200,Z12,1590,ballSF,0,1.21,3,32,False,0,60.0
grid_200,Z12,1590,ballSF,1,1.17,3,31,False,0,60.0
grid_200,Z12,1590,ballSF,2,1.27,4,30,False,0,60.0
honeycomb_200,Z12,32393,default,0,1.055,2,0,False,0,24.3
honeycomb_200,Z12,32393,default,1,1.09,2,0,False,0,30.5
honeycomb_200,Z12,32393,default,2,1.085,2,0,False,0,26.4
honeycomb_200,Z12,32393,ball,0,1.45,4,27,False,0,60.0
honeycomb_200,Z12,32393,ball,1,1.46,5,17,False,0,60.0
honeycomb_200,Z12,32393,ball,2,1.405,4,23,False,0,60.0
honeycomb_200,Z12,32393,ballS,0,1.465,4,26,False,0,60.0
honeycomb_200,Z12,32393,ballS,1,1.425,4,18,False,0,60.0
honeycomb_200,Z12,32393,ballS,2,1.335,4,25,False,0,60.0
honeycomb_200,Z12,32393,ballSF,0,1.465,4,26,False,0,60.0
honeycomb_200,Z12,32393,ballSF,1,1.425,4,18,False,0,60.0
honeycomb_200,Z12,32393,ballSF,2,1.335,4,25,False,0,60.0
king_graph_196,Z12,32622,default,0,1.51,3,0,False,0,60.0
king_graph_196,Z12,32622,default,1,1.52,3,1,False,0,60.0
king_graph_196,Z12,32622,default,2,1.52,3,1,False,0,60.0
king_graph_196,Z12,32622,ball,0,2.026,5,9,False,0,60.0
king_graph_196,Z12,32622,ball,1,2.102,10,17,False,0,60.0
king_graph_196,Z12,32622,ball,2,2.026,5,18,False,0,60.0
king_graph_196,Z12,32622,ballS,0,1.995,5,11,False,0,60.0
king_graph_196,Z12,32622,ballS,1,2.082,10,13,False,0,60.0
king_graph_196,Z12,32622,ballS,2,2.087,5,14,False,0,60.0
king_graph_196,Z12,32622,ballSF,0,2.01,5,10,False,0,60.1
king_graph_196,Z12,32622,ballSF,1,2.082,10,13,False,0,60.0
king_graph_196,Z12,32622,ballSF,2,2.066,5,16,False,0,60.0
K100,P16,,default,0,11.23,16,0,,0,28.7
K100,P16,,default,1,11.51,17,0,,0,28.5
K100,P16,,default,2,11.65,17,0,,0,62.1
K100,P16,,ball,0,11.23,16,0,,0,3.6
K100,P16,,ball,1,11.52,17,0,,0,3.5
K100,P16,,ball,2,11.71,19,0,,0,3.3
K100,P16,,ballS,0,11.21,16,0,,0,4.5
K100,P16,,ballS,1,11.33,14,0,,0,4.9
K100,P16,,ballS,2,11.63,19,0,,0,4.2
K100,P16,,ballSF,0,12.19,19,0,,2,5.2
K100,P16,,ballSF,1,12.29,19,0,,2,5.6
K100,P16,,ballSF,2,12.33,24,0,,2,5.0
turan_n162,P16,2647,default,0,7.654,8,0,,0,60.5
turan_n162,P16,2647,default,1,7.654,8,0,,0,60.4
turan_n162,P16,2647,default,2,7.654,8,0,,0,61.8
turan_n162,P16,2647,ball,0,7.654,8,0,,0,60.3
turan_n162,P16,2647,ball,1,7.698,16,0,,0,60.3
turan_n162,P16,2647,ball,2,7.654,8,0,,0,60.1
turan_n162,P16,2647,ballS,0,7.654,8,0,,0,60.1
turan_n162,P16,2647,ballS,1,7.667,16,0,,0,60.2
turan_n162,P16,2647,ballS,2,7.654,8,0,,0,60.4
turan_n162,P16,2647,ballSF,0,7.654,8,0,,0,60.3
turan_n162,P16,2647,ballSF,1,7.667,16,0,,0,60.3
turan_n162,P16,2647,ballSF,2,7.654,8,0,,0,60.2
ws_n486,P16,17188,default,0,3.42,14,0,,0,60.0
ws_n486,P16,17188,default,1,3.377,12,0,,0,60.0
ws_n486,P16,17188,default,2,3.481,12,0,,0,60.0
ws_n486,P16,17188,ball,0,4.848,28,2,,0,60.0
ws_n486,P16,17188,ball,1,5.07,38,1,,0,60.0
ws_n486,P16,17188,ball,2,5.576,33,1,,0,60.0
ws_n486,P16,17188,ballS,0,5.097,31,3,,0,60.0
ws_n486,P16,17188,ballS,1,5.043,34,2,,0,60.0
ws_n486,P16,17188,ballS,2,5.543,33,0,,0,60.0
ws_n486,P16,17188,ballSF,0,5.101,27,4,,0,60.0
ws_n486,P16,17188,ballSF,1,5.16,29,4,,0,60.0
ws_n486,P16,17188,ballSF,2,5.381,27,3,,0,60.0
