cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,time
turan_n162,Z12,2647,default,1,6.228,7,0.0,8.3,19,128,3,0,0,0,28.0,True,0,60.5
turan_n162,Z12,2647,default,2,6.0,6,0.0,8.35,20,87,1,0,0,0,22.0,True,0,60.4
turan_n162,Z12,2647,default,3,6.0,6,0.0,8.27,20,87,1,0,0,0,22.0,True,0,60.2
turan_n162,Z12,2647,default,4,6.0,6,0.0,8.3,20,87,1,0,0,0,22.0,True,0,60.1
turan_n162,Z12,2647,default,5,6.0,6,0.0,8.33,19,128,3,0,0,0,28.0,True,0,60.4
turan_n162,Z12,2647,default,6,6.0,6,0.0,7.52,20,87,1,0,0,0,22.0,True,0,60.2
turan_n162,Z12,2647,default,7,6.0,6,0.0,7.57,19,128,3,0,0,0,28.0,True,0,60.2
turan_n162,Z12,2647,default,8,6.228,7,0.0,7.68,19,128,3,0,0,0,28.0,True,0,60.5
turan_n162,Z12,2647,default,9,6.0,6,0.0,7.67,20,87,1,0,0,0,22.0,True,0,60.1
turan_n162,Z12,2647,noclamp,0,6.0,6,0.0,7.72,20,87,1,0,0,0,22.0,True,0,60.4
turan_n162,Z12,2647,noclamp,1,6.228,7,0.0,7.85,19,128,3,0,0,0,28.0,True,0,61.6
turan_n162,Z12,2647,noclamp,2,6.0,6,0.0,8.55,20,87,1,0,0,0,22.0,True,0,60.4
turan_n162,Z12,2647,noclamp,3,6.0,6,0.0,8.1,20,87,1,0,0,0,22.0,True,0,60.2
turan_n162,Z12,2647,noclamp,4,6.0,6,0.0,8.17,20,87,1,0,0,0,22.0,True,0,60.2
turan_n162,Z12,2647,noclamp,5,6.0,6,0.0,8.15,19,128,3,0,0,0,28.0,True,0,60.4
turan_n162,Z12,2647,noclamp,6,6.0,6,0.0,8.12,20,87,1,0,0,0,22.0,True,0,60.2
turan_n162,Z12,2647,noclamp,7,6.0,6,0.0,8.5,19,128,3,0,0,0,28.0,True,0,60.2
turan_n162,Z12,2647,noclamp,8,6.228,7,0.0,8.31,19,128,3,0,0,0,28.0,True,0,60.5
turan_n162,Z12,2647,noclamp,9,6.0,6,0.0,8.42,20,87,1,0,0,0,22.0,True,0,60.3
spin_glass_n163,Z12,37309,default,0,11.417,13,0.78,9.5,9,133,1,0,0,0,37.0,True,0,40.6
spin_glass_n163,Z12,37309,default,1,11.417,13,0.87,9.87,9,133,1,0,0,0,37.0,True,0,40.9
spin_glass_n163,Z12,37309,default,2,11.417,13,0.82,9.41,9,133,1,0,0,0,37.0,True,0,42.2
spin_glass_n163,Z12,37309,noclamp,0,11.417,13,0.99,9.27,9,133,1,0,0,0,37.0,True,0,41.8
spin_glass_n163,Z12,37309,noclamp,1,11.417,13,0.9,9.31,9,133,1,0,0,0,37.0,True,0,42.4
spin_glass_n163,Z12,37309,noclamp,2,11.417,13,0.99,9.41,9,133,1,0,0,0,37.0,True,0,42.7
regular_n316,Z12,13096,default,0,2.997,7,0.6,7.47,6,106,2,0,0,0,18.0,False,1,60.0
regular_n316,Z12,13096,default,1,2.905,8,0.2,7.29,6,106,2,0,0,0,18.0,False,1,60.4
regular_n316,Z12,13096,default,2,2.794,7,0.64,7.24,6,106,2,0,0,0,18.0,False,0,60.0
