cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,int_acc,int_dec,int_noop,readouts,bm_wall,bm_ro,hier_acc,pair_acc,widen_asked,widen_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ER100_d10,Z12,,widen,6,4.79,9,0.05,10.58,5,333|108|60|5|0,506,0,7244,507,6.0,467,0,173,207,127,0,636.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,widen,7,4.79,9,0.05,10.65,5,333|108|60|5|0,506,0,7244,507,6.04,467,0,173,207,127,0,636.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,widen,8,4.79,9,0.06,10.62,5,333|108|60|5|0,506,0,7244,507,6.05,467,0,173,207,127,0,636.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,widen,9,4.3,8,0.05,10.56,5,333|108|60|5|0,506,0,7244,507,6.02,467,0,173,207,127,0,636.0,17.0,True,0,0,0,True,60.0
turan_n162,Z12,2647,plane,0,9.253,12,0.0,29.94,1,203,203,0,7822,204,3.84,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,60.2
turan_n162,Z12,2647,plane,1,9.593,13,0.0,29.94,1,190,190,0,7487,191,2.84,183,0,0,0,0,0,2700.0,32.0,True,0,0,0,True,61.8
turan_n162,Z12,2647,plane,2,9.253,12,0.0,29.94,1,203,203,0,7550,204,3.89,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,61.8
turan_n162,Z12,2647,plane,3,9.253,12,0.0,29.94,1,203,203,0,7762,204,3.91,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,61.4
turan_n162,Z12,2647,plane,4,9.222,12,0.0,29.93,1,203,203,0,7697,204,3.99,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,60.8
turan_n162,Z12,2647,plane,5,9.611,13,0.0,29.93,1,190,190,0,7382,191,2.94,183,0,0,0,0,0,2700.0,32.0,True,0,0,0,True,60.9
turan_n162,Z12,2647,plane,6,9.253,12,0.0,29.94,1,203,203,0,7694,204,4.0,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,62.0
turan_n162,Z12,2647,plane,7,9.611,13,0.0,29.94,1,190,190,0,7475,191,2.91,183,0,0,0,0,0,2700.0,32.0,True,0,0,0,True,61.0
turan_n162,Z12,2647,plane,8,9.611,13,0.0,29.94,1,190,190,0,7362,191,3.05,183,0,0,0,0,0,2700.0,32.0,True,0,0,0,True,60.7
turan_n162,Z12,2647,plane,9,9.253,12,0.0,29.93,1,203,203,0,7651,204,4.05,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,62.2
turan_n162,Z12,2647,inner,0,9.253,12,0.0,29.95,1,203,203,0,7554,204,3.95,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,60.0
turan_n162,Z12,2647,inner,1,9.593,13,0.0,29.93,1,190,190,0,7379,191,2.92,183,0,0,0,0,0,2700.0,32.0,True,0,0,0,True,61.7
turan_n162,Z12,2647,inner,2,9.253,12,0.0,29.93,1,203,203,0,7761,204,3.9,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,60.3
turan_n162,Z12,2647,inner,3,9.253,12,0.0,29.95,1,203,203,0,7733,204,3.95,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,60.5
turan_n162,Z12,2647,inner,4,9.222,12,0.0,29.93,1,203,203,0,7727,204,4.01,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,61.1
turan_n162,Z12,2647,inner,5,9.611,13,0.0,29.94,1,190,190,0,7269,191,2.98,183,0,0,0,0,0,2700.0,32.0,True,0,0,0,True,62.8
turan_n162,Z12,2647,inner,6,9.253,12,0.0,29.93,1,203,203,0,7736,204,4.0,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,62.7
turan_n162,Z12,2647,inner,7,9.611,13,0.0,29.94,1,190,190,0,7001,191,2.97,183,0,0,0,0,0,2700.0,32.0,True,0,0,0,True,64.0
turan_n162,Z12,2647,inner,8,9.611,13,0.0,29.94,1,190,190,0,7369,191,2.98,183,0,0,0,0,0,2700.0,32.0,True,0,0,0,True,64.0
turan_n162,Z12,2647,inner,9,9.253,12,0.0,29.94,1,203,203,0,7722,204,3.98,204,0,0,0,0,0,2598.0,28.0,True,0,0,0,True,62.1
turan_n162,Z12,2647,widen,0,10.142,13,0.0,29.94,1,174,174,0,7376,175,2.97,152,0,2,72,55,0,2790.0,35.0,True,0,0,0,True,67.4
turan_n162,Z12,2647,widen,1,9.636,12,0.0,29.94,1,170,170,0,7477,171,2.82,166,0,0,74,58,0,2669.0,33.0,True,0,0,0,True,61.0
turan_n162,Z12,2647,widen,2,10.148,13,0.0,29.94,1,174,174,0,7471,175,2.95,152,0,2,72,55,0,2790.0,35.0,True,0,0,0,True,61.8
turan_n162,Z12,2647,widen,3,10.148,13,0.0,29.95,1,174,174,0,7161,175,3.16,152,0,2,72,55,0,2790.0,35.0,True,0,0,0,True,64.8
