cell,arm,seed,final_acl,legal_acl,rounds,time,diag
ws_n486,default,3,3.267,4.436,10,24.0,"{'mu_total': 50.8687, 'mu_stale_frac': 0.4994, 'max_violation': 14.028}"
ws_n486,mu0,3,3.298,4.447,8,25.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 15.4279}"
ws_n486,hinge0,3,3.177,4.681,10,24.1,"{'mu_total': 59.3346, 'mu_stale_frac': 0.4468, 'max_violation': 14.3705}"
ws_n486,geo10,3,3.342,4.15,10,19.9,"{'mu_total': 20.7635, 'mu_stale_frac': 0.3899, 'max_violation': 8.2209}"
ws_n486,geo1_frozen,3,3.523,4.286,10,23.6,"{'mu_total': 49.3441, 'mu_stale_frac': 0.5634, 'max_violation': 11.9005}"
ws_n486,geo10_frozen,3,3.134,3.805,10,18.6,"{'mu_total': 21.8895, 'mu_stale_frac': 0.3547, 'max_violation': 6.4724}"
ws_n486,mm-full,3,3.971,,,4.1,
ws_n486,default,4,3.078,4.36,10,22.1,"{'mu_total': 62.2725, 'mu_stale_frac': 0.503, 'max_violation': 15.8328}"
ws_n486,mu0,4,3.243,4.222,10,26.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 12.1954}"
ws_n486,hinge0,4,3.603,4.422,10,21.5,"{'mu_total': 55.8784, 'mu_stale_frac': 0.414, 'max_violation': 12.1457}"
ws_n486,geo10,4,3.154,4.058,10,18.7,"{'mu_total': 21.3881, 'mu_stale_frac': 0.3556, 'max_violation': 8.657}"
ws_n486,geo1_frozen,4,3.774,4.366,10,20.6,"{'mu_total': 60.8816, 'mu_stale_frac': 0.4125, 'max_violation': 15.4134}"
ws_n486,geo10_frozen,4,2.918,4.173,10,20.6,"{'mu_total': 21.3673, 'mu_stale_frac': 0.4196, 'max_violation': 11.5415}"
ws_n486,mm-full,4,3.741,,,3.0,
