cell,arm,seed,final_acl,rounds,time,diag
ws_n486,cross,0,3.282,10,24.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 1.6501, 'extent_mean': 3.181, 'extent_max': 14.013, 'assigned': 288}"
ws_n486,mm-full,0,4.455,,2.9,
ws_n486,point,1,3.074,10,26.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 14.5451}"
ws_n486,span,1,3.253,10,25.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 17.0139, 'extent_mean': 5.961, 'extent_max': 15.864, 'assigned': 0}"
ws_n486,span-tb,1,3.257,9,25.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.5978, 'extent_mean': 6.793, 'extent_max': 21.587, 'assigned': 0}"
ws_n486,cross,1,3.179,10,24.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 2.9646, 'extent_mean': 3.207, 'extent_max': 13.537, 'assigned': 290}"
ws_n486,mm-full,1,3.617,,3.8,
ws_n486,point,2,3.405,8,26.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 17.6161}"
ws_n486,span,2,3.346,10,25.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 13.578, 'extent_mean': 6.251, 'extent_max': 17.996, 'assigned': 0}"
ws_n486,span-tb,2,3.259,9,25.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 11.7091, 'extent_mean': 7.12, 'extent_max': 18.254, 'assigned': 0}"
ws_n486,cross,2,3.302,10,22.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 3.6049, 'extent_mean': 3.245, 'extent_max': 11.583, 'assigned': 286}"
ws_n486,mm-full,2,3.584,,4.1,
