cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,wave_ct,wave_q,wave_stop,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
spin_glass_n163,Z12,37309,wave,1,10.859,12,0.89,29.04,1,362,,362,0,7268,363,0,27.73,356,0,73,0,1,7630,False,0,3054.0,33.0,True,0,0,0,True,57.3
spin_glass_n163,Z12,37309,wave,2,10.859,12,1.14,28.8,1,362,,362,0,7150,363,0,27.78,356,0,73,0,1,7512,False,0,3054.0,33.0,True,0,0,0,True,54.1
regular_n316,Z12,13096,plane,0,2.867,7,3.58,26.36,2,860|278,,1138,0,3796,1139,0,11.64,757,0,131,0,0,0,False,5,1607.0,30.0,True,1,0,2,False,60.0
regular_n316,Z12,13096,plane,1,2.687,6,1.14,28.8,2,860|305,,1165,0,4277,1166,0,13.53,757,0,156,0,0,0,False,5,1607.0,30.0,True,0,0,2,False,60.1
regular_n316,Z12,13096,plane,2,2.734,6,1.99,27.92,2,860|315,,1175,0,4573,1176,0,11.58,757,0,166,0,0,0,False,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,3,2.623,6,2.17,27.75,2,860|279,,1139,0,3838,1140,0,13.13,757,0,131,0,0,0,False,5,1607.0,30.0,True,0,0,2,False,60.6
regular_n316,Z12,13096,plane,4,2.693,6,0.62,29.32,1,786,,786,0,1613,787,0,27.77,757,0,57,0,0,0,False,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,5,2.687,6,1.16,28.78,2,860|2,,862,0,2283,863,0,23.81,757,0,131,0,0,0,False,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,6,2.633,6,1.48,28.46,1,756,,756,0,1309,757,0,28.39,757,0,27,0,0,0,False,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,7,2.81,6,1.06,28.86,1,799,,799,0,1711,800,0,26.75,757,0,70,0,0,0,False,5,1607.0,30.0,True,1,0,2,False,60.0
regular_n316,Z12,13096,plane,8,2.636,6,9.93,20.01,1,820,,820,0,1869,821,0,17.1,757,0,91,0,0,0,False,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,9,2.772,6,11.48,18.44,1,767,,767,0,1413,768,0,17.82,757,0,38,0,0,0,False,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,wave,0,2.867,7,9.6,20.35,1,779,,779,0,1466,780,0,19.42,757,0,50,0,1,2245,False,5,1607.0,30.0,True,1,0,2,False,60.0
regular_n316,Z12,13096,wave,1,2.687,6,11.45,18.48,1,786,,786,0,1616,787,0,16.9,757,0,57,0,1,2402,False,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,wave,2,2.734,6,13.22,16.62,1,805,,805,0,1791,806,0,14.08,757,0,76,0,1,2596,False,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,wave,3,2.623,6,9.57,20.35,1,779,,779,0,1461,780,0,19.45,757,0,50,0,1,2240,False,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,wave,4,2.687,6,12.95,16.76,1,836,,836,0,1958,837,0,13.21,757,0,107,0,1,2794,False,5,1607.0,30.0,True,1,0,2,False,60.0
regular_n316,Z12,13096,wave,5,2.687,6,10.97,17.98,1,808,,808,0,1816,809,0,15.42,757,0,79,0,1,2624,False,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,wave,6,2.633,6,11.23,18.71,1,833,,833,0,1939,834,0,15.37,757,0,104,0,1,2772,False,5,1607.0,30.0,True,0,0,2,False,60.0
