cell,fabric,gid,arm,seed,final_acl,max_chain,mm_skipped,ball_acc,ball_wall,time
spin_glass_n163,Z12,37309,mm+ball,2,11.356,13,True,7,24.0,60.2
spin_glass_n163,Z12,37309,ball,0,11.356,13,True,7,41.6,60.2
spin_glass_n163,Z12,37309,ball,1,11.356,13,True,7,44.6,60.4
spin_glass_n163,Z12,37309,ball,2,11.356,13,True,7,44.0,61.2
spin_glass_n163,Z12,37309,ball-rng,0,11.393,13,True,3,43.8,61.0
spin_glass_n163,Z12,37309,ball-rng,1,11.399,13,True,2,47.3,62.8
spin_glass_n163,Z12,37309,ball-rng,2,11.405,13,True,1,42.3,61.2
regular_n316,Z12,13096,mm+ball,0,2.848,8,False,22,43.3,60.5
regular_n316,Z12,13096,mm+ball,1,2.734,6,False,11,42.6,60.0
regular_n316,Z12,13096,mm+ball,2,2.785,7,False,21,44.0,60.1
regular_n316,Z12,13096,ball,0,3.801,10,False,166,44.0,60.1
regular_n316,Z12,13096,ball,1,3.782,11,False,165,51.2,60.4
regular_n316,Z12,13096,ball,2,3.706,11,False,187,48.9,60.7
regular_n316,Z12,13096,ball-rng,0,3.816,13,False,144,31.4,60.0
regular_n316,Z12,13096,ball-rng,1,3.623,13,False,56,29.2,60.0
regular_n316,Z12,13096,ball-rng,2,3.766,13,False,77,29.1,60.0
ws_n486,Z12,17188,mm+ball,0,2.702,11,False,30,26.2,60.0
ws_n486,Z12,17188,mm+ball,1,2.753,13,False,36,27.1,60.0
ws_n486,Z12,17188,mm+ball,2,2.805,9,False,30,26.9,60.1
ws_n486,Z12,17188,mm+ball,3,2.802,9,False,33,26.1,60.2
ws_n486,Z12,17188,mm+ball,4,2.823,10,False,39,26.9,60.0
ws_n486,Z12,17188,mm+ball,5,2.726,9,False,29,26.0,60.1
ws_n486,Z12,17188,mm+ball,6,2.757,9,False,38,27.0,60.1
ws_n486,Z12,17188,mm+ball,7,2.698,10,False,36,26.4,60.0
ws_n486,Z12,17188,mm+ball,8,2.778,9,False,29,26.6,60.1
ws_n486,Z12,17188,mm+ball,9,2.784,9,False,26,26.9,60.2
ws_n486,Z12,17188,ball,0,4.21,22,False,119,29.0,60.0
ws_n486,Z12,17188,ball,1,4.043,22,False,121,28.8,60.0
ws_n486,Z12,17188,ball,2,4.175,21,False,157,29.0,60.2
ws_n486,Z12,17188,ball,3,4.023,20,False,153,28.9,60.3
ws_n486,Z12,17188,ball,4,4.105,22,False,111,29.0,60.1
ws_n486,Z12,17188,ball,5,4.165,19,False,115,29.0,60.3
ws_n486,Z12,17188,ball,6,4.123,22,False,118,29.1,60.1
ws_n486,Z12,17188,ball,7,4.084,20,False,144,29.0,60.0
ws_n486,Z12,17188,ball,8,4.294,26,False,144,29.1,60.1
ws_n486,Z12,17188,ball,9,4.043,18,False,94,28.8,60.0
ws_n486,Z12,17188,ball-rng,0,4.21,18,False,79,28.8,60.1
ws_n486,Z12,17188,ball-rng,1,4.198,22,False,84,28.5,60.0
ws_n486,Z12,17188,ball-rng,2,4.259,18,False,121,28.6,60.0
ws_n486,Z12,17188,ball-rng,3,4.056,21,False,141,29.0,60.0
ws_n486,Z12,17188,ball-rng,4,4.142,26,False,99,28.8,60.0
ws_n486,Z12,17188,ball-rng,5,4.107,18,False,124,28.9,60.0
ws_n486,Z12,17188,ball-rng,6,4.27,20,False,118,28.9,60.0
ws_n486,Z12,17188,ball-rng,7,3.967,24,False,100,28.8,60.0
ws_n486,Z12,17188,ball-rng,8,4.177,20,False,111,29.0,60.0
ws_n486,Z12,17188,ball-rng,9,4.027,19,False,110,28.8,60.0
grid_200,Z12,1590,mm+ball,0,1.09,2,False,0,12.9,27.0
grid_200,Z12,1590,mm+ball,1,1.145,2,False,0,16.8,34.8
grid_200,Z12,1590,mm+ball,2,1.125,2,False,1,27.5,42.3
grid_200,Z12,1590,ball,0,1.49,4,False,66,48.2,60.0
grid_200,Z12,1590,ball,1,1.38,4,False,86,46.3,60.0
grid_200,Z12,1590,ball,2,1.435,4,False,84,45.7,60.0
grid_200,Z12,1590,ball-rng,0,1.36,4,False,67,46.9,60.0
grid_200,Z12,1590,ball-rng,1,1.375,4,False,73,45.4,60.0
grid_200,Z12,1590,ball-rng,2,1.32,4,False,83,45.7,60.0
honeycomb_200,Z12,32393,mm+ball,0,1.085,2,False,0,14.5,28.6
honeycomb_200,Z12,32393,mm+ball,1,1.09,2,False,0,11.5,24.6
honeycomb_200,Z12,32393,mm+ball,2,1.095,2,False,0,10.4,20.7
honeycomb_200,Z12,32393,ball,0,1.405,5,False,41,44.5,50.1
honeycomb_200,Z12,32393,ball,1,1.445,4,False,17,48.3,53.3
honeycomb_200,Z12,32393,ball,2,1.495,5,False,28,41.4,46.0
honeycomb_200,Z12,32393,ball-rng,0,1.38,4,False,44,54.7,60.0
honeycomb_200,Z12,32393,ball-rng,1,1.34,4,False,29,55.1,60.0
honeycomb_200,Z12,32393,ball-rng,2,1.415,5,False,42,55.2,60.0
king_graph_196,Z12,32622,mm+ball,0,1.561,3,False,0,24.7,34.9
king_graph_196,Z12,32622,mm+ball,1,1.51,3,False,3,52.1,60.0
king_graph_196,Z12,32622,mm+ball,2,1.48,2,False,3,51.5,60.0
king_graph_196,Z12,32622,ball,0,1.821,5,False,56,51.4,60.0
king_graph_196,Z12,32622,ball,1,1.806,4,False,60,51.7,60.0
king_graph_196,Z12,32622,ball,2,1.898,5,False,33,48.1,60.0
king_graph_196,Z12,32622,ball-rng,0,1.913,5,False,43,51.0,60.0
king_graph_196,Z12,32622,ball-rng,1,1.821,4,False,57,51.9,60.0
king_graph_196,Z12,32622,ball-rng,2,1.811,4,False,32,51.1,60.0
K100,P16,,mm+ball,0,11.22,16,,1,30.1,60.3
K100,P16,,mm+ball,1,11.42,14,,3,32.6,60.3
K100,P16,,mm+ball,2,11.65,17,,0,0.1,60.7
K100,P16,,ball,0,11.22,16,,1,56.7,60.5
K100,P16,,ball,1,11.41,14,,4,56.8,60.5
K100,P16,,ball,2,11.6,19,,3,56.4,60.2
K100,P16,,ball-rng,0,11.21,16,,2,56.5,60.7
K100,P16,,ball-rng,1,11.49,17,,2,56.3,60.1
K100,P16,,ball-rng,2,11.64,19,,3,56.7,60.6
turan_n162,P16,2647,mm+ball,0,7.654,8,,0,0.2,60.8
turan_n162,P16,2647,mm+ball,1,7.654,8,,0,0.2,61.4
turan_n162,P16,2647,mm+ball,2,7.654,8,,0,0.2,62.4
turan_n162,P16,2647,ball,0,7.654,8,,0,45.8,60.5
turan_n162,P16,2647,ball,1,7.654,16,,3,44.9,60.5
turan_n162,P16,2647,ball,2,7.654,8,,0,40.8,60.4
turan_n162,P16,2647,ball-rng,0,7.654,8,,0,46.2,60.1
turan_n162,P16,2647,ball-rng,1,7.685,16,,2,46.2,60.5
turan_n162,P16,2647,ball-rng,2,7.654,8,,0,46.2,60.1
ws_n486,P16,17188,mm+ball,0,3.352,13,,37,24.9,60.0
ws_n486,P16,17188,mm+ball,1,3.381,13,,46,26.8,60.0
ws_n486,P16,17188,mm+ball,2,3.364,13,,41,25.0,60.0
ws_n486,P16,17188,ball,0,4.798,32,,129,28.6,60.0
ws_n486,P16,17188,ball,1,4.722,21,,129,28.6,60.0
ws_n486,P16,17188,ball,2,4.955,34,,118,28.5,60.0
ws_n486,P16,17188,ball-rng,0,4.652,23,,140,28.7,60.0
ws_n486,P16,17188,ball-rng,1,4.636,29,,114,28.4,60.0
ws_n486,P16,17188,ball-rng,2,4.593,24,,114,28.6,60.0
