cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,rev_ov,rev_e,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
spin_glass_n163,Z12,37309,default,2,10.896,13,0.66,18.61,12,405,0,417,73,1,404,38.0,True,0,0,0,True,52.6
spin_glass_n163,Z12,37309,ins,0,11.031,12,0.63,12.77,12,405,0,417,73,1,404,38.0,True,0,0,0,True,38.5
spin_glass_n163,Z12,37309,ins,1,11.031,12,0.68,12.69,12,405,0,417,73,1,404,38.0,True,0,0,0,True,38.4
spin_glass_n163,Z12,37309,ins,2,11.031,12,0.8,12.81,12,405,0,417,73,1,404,38.0,True,0,0,0,True,38.5
spin_glass_n163,Z12,37309,insreq,0,11.031,12,1.05,15.16,12,405,0,417,73,1,404,38.0,True,0,0,0,True,41.4
spin_glass_n163,Z12,37309,insreq,1,11.031,12,0.96,14.82,12,405,0,417,73,1,404,38.0,True,0,0,0,True,40.6
spin_glass_n163,Z12,37309,insreq,2,11.031,12,0.78,14.79,12,405,0,417,73,1,404,38.0,True,0,0,0,True,40.7
spin_glass_n163,Z12,37309,inscap,0,11.031,12,0.65,14.67,12,405,0,417,73,1,404,38.0,True,0,0,0,True,40.7
spin_glass_n163,Z12,37309,inscap,1,11.031,12,0.72,14.74,12,405,0,417,73,1,404,38.0,True,0,0,0,True,40.4
spin_glass_n163,Z12,37309,inscap,2,11.031,12,0.68,14.59,12,405,0,417,73,1,404,38.0,True,0,0,0,True,40.4
spin_glass_n163,Z12,37309,reqL4,0,11.031,12,0.75,14.65,12,405,0,417,73,0,405,38.0,True,0,0,0,True,40.7
spin_glass_n163,Z12,37309,reqL4,1,11.031,12,0.7,14.81,12,405,0,417,73,0,405,38.0,True,0,0,0,True,40.6
spin_glass_n163,Z12,37309,reqL4,2,11.031,12,0.67,14.38,12,405,0,417,73,0,405,38.0,True,0,0,0,True,40.4
regular_n316,Z12,13096,default,0,2.845,7,0.05,24.69,7,732,0,739,6,726,7,16.0,False,1,13,16,False,60.0
regular_n316,Z12,13096,default,1,2.769,6,0.08,25.93,7,732,0,739,6,726,7,16.0,False,0,13,16,False,60.0
regular_n316,Z12,13096,default,2,2.93,7,0.18,25.42,7,732,0,739,6,726,7,16.0,False,0,13,16,False,60.0
regular_n316,Z12,13096,ins,0,2.845,7,0.08,24.33,7,732,0,739,6,726,7,16.0,False,1,13,16,False,60.0
regular_n316,Z12,13096,ins,1,2.769,6,0.09,24.57,7,732,0,739,6,726,7,16.0,False,0,13,16,False,60.0
regular_n316,Z12,13096,ins,2,2.93,7,0.17,24.14,7,732,0,739,6,726,7,16.0,False,0,13,16,False,60.0
regular_n316,Z12,13096,insreq,0,2.845,7,0.07,27.2,7,732,0,739,6,726,7,16.0,False,1,13,16,False,60.0
regular_n316,Z12,13096,insreq,1,2.769,6,0.16,26.81,7,732,0,739,6,726,7,16.0,False,0,13,16,False,60.0
regular_n316,Z12,13096,insreq,2,2.93,7,0.08,26.95,7,732,0,739,6,726,7,16.0,False,0,13,16,False,60.0
regular_n316,Z12,13096,inscap,0,2.832,9,0.1,29.86,34,789,1,823,6,682,107,19.0,False,1,9,12,False,60.0
regular_n316,Z12,13096,inscap,1,2.741,7,0.07,29.89,34,792,1,826,6,684,108,19.0,False,0,9,12,False,60.0
regular_n316,Z12,13096,inscap,2,2.756,6,0.1,29.87,34,796,1,830,6,687,109,19.0,False,1,9,12,False,60.0
regular_n316,Z12,13096,reqL4,0,2.94,7,0.1,28.7,24,755,3,779,6,569,187,16.0,False,1,23,25,False,60.0
regular_n316,Z12,13096,reqL4,1,2.731,6,0.12,28.31,24,755,3,779,6,569,187,16.0,False,0,23,25,False,60.0
regular_n316,Z12,13096,reqL4,2,3.028,7,0.05,28.45,24,755,3,779,6,569,187,16.0,False,0,23,25,False,60.0
ws_n486,Z12,17188,default,0,2.955,11,0.21,29.75,38,539,6,577,3,469,70,28.0,False,2,15,23,False,60.0
ws_n486,Z12,17188,default,1,2.543,8,0.11,29.87,40,544,7,584,3,472,72,28.0,False,0,15,22,False,60.0
ws_n486,Z12,17188,default,2,2.685,9,0.1,29.78,39,544,6,583,3,472,72,28.0,False,0,15,23,False,60.0
ws_n486,Z12,17188,default,3,2.646,8,0.16,29.81,40,549,7,589,3,475,74,28.0,False,1,15,22,False,60.0
ws_n486,Z12,17188,default,4,2.453,7,0.09,29.87,40,544,7,584,3,472,72,28.0,False,1,15,22,False,60.0
ws_n486,Z12,17188,default,5,2.574,8,0.08,29.86,38,538,6,576,3,469,69,28.0,False,1,15,23,False,60.0
ws_n486,Z12,17188,default,6,2.798,9,0.09,29.9,40,553,7,593,3,477,76,28.0,False,2,15,22,False,60.0
ws_n486,Z12,17188,default,7,2.502,8,0.09,29.79,38,537,6,575,3,468,69,28.0,False,2,15,23,False,60.0
ws_n486,Z12,17188,default,8,2.527,8,0.09,29.87,40,545,7,585,3,472,73,28.0,False,2,15,22,False,60.0
ws_n486,Z12,17188,default,9,2.652,8,0.08,29.91,39,544,6,583,3,472,72,28.0,False,1,15,23,False,60.0
ws_n486,Z12,17188,ins,0,2.955,11,0.1,29.84,38,524,6,562,3,459,65,28.0,False,2,15,23,False,60.0
ws_n486,Z12,17188,ins,1,2.623,8,0.09,29.88,38,530,6,568,3,462,68,28.0,False,2,15,23,False,60.0
ws_n486,Z12,17188,ins,2,2.685,9,0.21,29.74,38,526,6,564,3,460,66,28.0,False,0,15,23,False,60.0
ws_n486,Z12,17188,ins,3,2.541,8,0.08,29.89,38,529,6,567,3,461,68,28.0,False,0,15,23,False,60.0
ws_n486,Z12,17188,ins,4,2.623,8,0.38,29.61,38,528,6,566,3,461,67,28.0,False,0,15,23,False,60.0
ws_n486,Z12,17188,ins,5,2.574,8,0.44,29.53,38,526,6,564,3,460,66,28.0,False,1,15,23,False,60.0
ws_n486,Z12,17188,ins,6,2.533,8,0.25,29.68,38,533,6,571,3,465,68,28.0,False,0,15,23,False,60.0
ws_n486,Z12,17188,ins,7,2.502,8,0.11,29.86,38,538,6,576,3,469,69,28.0,False,2,15,23,False,60.0
ws_n486,Z12,17188,ins,8,2.539,8,0.1,29.88,38,538,6,576,3,469,69,28.0,False,1,15,23,False,60.0
ws_n486,Z12,17188,ins,9,2.652,8,0.17,29.82,38,536,6,574,3,467,69,28.0,False,1,15,23,False,60.0
ws_n486,Z12,17188,insreq,0,2.537,8,0.13,29.84,34,473,6,507,3,421,52,28.0,False,0,14,21,False,60.0
ws_n486,Z12,17188,insreq,1,2.714,9,0.09,29.97,35,477,6,512,3,425,52,28.0,False,0,14,21,False,60.0
ws_n486,Z12,17188,insreq,2,2.599,9,0.08,29.8,34,470,6,504,3,419,51,28.0,False,1,14,21,False,60.0
ws_n486,Z12,17188,insreq,3,2.389,7,0.11,29.88,34,467,6,501,3,417,50,28.0,False,2,14,21,False,60.0
