cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
turan_n162,P16,2647,default,1,7.815,8,0.04,5.91,3,107,0,0,0,14.0,,0,,,,60.1
turan_n162,P16,2647,default,2,7.654,8,0.05,5.73,3,107,0,0,0,14.0,,0,,,,60.3
turan_n162,P16,2647,align,0,7.815,8,0.36,8.16,6,67,1,73,115,14.0,,0,,,,60.0
turan_n162,P16,2647,align,1,7.654,8,0.02,8.3,6,67,1,73,115,14.0,,0,,,,60.2
turan_n162,P16,2647,align,2,7.815,8,0.17,8.08,6,67,1,73,115,14.0,,0,,,,60.3
ws_n486,P16,17188,default,0,3.486,13,0.4,24.55,19,410,1,0,0,14.0,,2,,,,60.0
ws_n486,P16,17188,default,1,3.064,10,0.07,24.5,16,382,0,0,0,14.0,,0,,,,60.0
ws_n486,P16,17188,default,2,3.027,9,0.07,23.96,16,382,0,0,0,14.0,,1,,,,60.0
ws_n486,P16,17188,align,0,3.475,12,0.14,29.8,41,744,3,785,13,15.0,,0,,,,60.0
ws_n486,P16,17188,align,1,3.175,11,0.07,29.87,44,751,4,795,20,12.0,,2,,,,60.0
ws_n486,P16,17188,align,2,3.463,13,0.07,29.8,42,763,3,805,13,14.0,,0,,,,60.0
