cell,fabric,gid,arm,seed,final_acl,max_chain,ball_acc,mm_skipped,fold_acc,time
ER100_d10,Z12,,ballSF,2,5.88,9,0,False,0,60.0
turan_n162,Z12,2647,default,0,6.0,6,0,True,0,60.4
turan_n162,Z12,2647,default,1,6.0,6,0,False,0,60.3
turan_n162,Z12,2647,default,2,6.0,6,0,True,0,60.4
turan_n162,Z12,2647,default,3,6.0,6,0,True,0,60.2
turan_n162,Z12,2647,default,4,6.0,6,0,True,0,60.1
turan_n162,Z12,2647,default,5,6.0,6,0,False,0,60.2
turan_n162,Z12,2647,default,6,6.0,6,0,True,0,60.1
turan_n162,Z12,2647,default,7,6.0,6,0,False,0,60.5
turan_n162,Z12,2647,default,8,6.0,6,0,False,0,60.2
turan_n162,Z12,2647,default,9,6.0,6,0,True,0,60.4
turan_n162,Z12,2647,ball,0,6.58,10,0,True,0,60.3
turan_n162,Z12,2647,ball,1,7.111,19,0,False,0,60.3
turan_n162,Z12,2647,ball,2,6.58,10,0,True,0,60.2
turan_n162,Z12,2647,ball,3,6.58,10,0,True,0,60.3
turan_n162,Z12,2647,ball,4,6.58,10,0,True,0,60.1
turan_n162,Z12,2647,ball,5,7.204,20,0,False,0,60.2
turan_n162,Z12,2647,ball,6,6.58,10,0,True,0,60.4
turan_n162,Z12,2647,ball,7,7.235,22,0,False,0,60.3
turan_n162,Z12,2647,ball,8,8.185,21,0,False,0,60.1
turan_n162,Z12,2647,ball,9,6.58,10,0,True,0,60.1
turan_n162,Z12,2647,ballS,0,6.58,10,0,True,0,60.4
turan_n162,Z12,2647,ballS,1,7.111,19,0,False,0,60.3
turan_n162,Z12,2647,ballS,2,6.58,10,0,True,0,60.4
turan_n162,Z12,2647,ballS,3,6.58,10,0,True,0,60.2
turan_n162,Z12,2647,ballS,4,6.58,10,0,True,0,60.3
turan_n162,Z12,2647,ballS,5,7.204,20,0,False,0,60.1
turan_n162,Z12,2647,ballS,6,6.58,10,0,True,0,60.6
turan_n162,Z12,2647,ballS,7,7.235,22,0,False,0,60.2
turan_n162,Z12,2647,ballS,8,8.173,21,0,False,0,60.1
turan_n162,Z12,2647,ballS,9,6.58,10,0,True,0,60.1
turan_n162,Z12,2647,ballSF,0,6.58,10,0,True,0,60.1
turan_n162,Z12,2647,ballSF,1,7.111,19,0,False,0,60.3
turan_n162,Z12,2647,ballSF,2,6.58,10,0,True,0,60.2
turan_n162,Z12,2647,ballSF,3,6.58,10,0,True,0,60.1
turan_n162,Z12,2647,ballSF,4,6.58,10,0,True,0,60.1
turan_n162,Z12,2647,ballSF,5,7.204,20,0,False,0,60.1
turan_n162,Z12,2647,ballSF,6,6.58,10,0,True,0,60.2
turan_n162,Z12,2647,ballSF,7,7.235,22,0,False,0,60.3
turan_n162,Z12,2647,ballSF,8,8.173,21,0,False,0,60.1
turan_n162,Z12,2647,ballSF,9,6.58,10,0,True,0,60.2
spin_glass_n163,Z12,37309,default,0,11.417,13,0,True,0,46.3
spin_glass_n163,Z12,37309,default,1,11.417,13,0,True,0,44.3
spin_glass_n163,Z12,37309,default,2,11.417,13,0,True,0,44.3
spin_glass_n163,Z12,37309,ball,0,11.417,13,0,True,0,24.2
spin_glass_n163,Z12,37309,ball,1,11.417,13,0,True,0,25.2
spin_glass_n163,Z12,37309,ball,2,11.417,13,0,True,0,23.8
spin_glass_n163,Z12,37309,ballS,0,11.417,13,0,True,0,26.7
spin_glass_n163,Z12,37309,ballS,1,11.417,13,0,True,0,26.5
spin_glass_n163,Z12,37309,ballS,2,11.417,13,0,True,0,25.9
spin_glass_n163,Z12,37309,ballSF,0,11.417,13,0,True,0,26.8
spin_glass_n163,Z12,37309,ballSF,1,11.417,13,0,True,0,26.8
spin_glass_n163,Z12,37309,ballSF,2,11.417,13,0,True,0,27.6
regular_n316,Z12,13096,default,0,2.731,6,0,False,0,60.0
regular_n316,Z12,13096,default,1,2.788,7,1,False,0,60.0
regular_n316,Z12,13096,default,2,2.953,7,0,False,0,60.0
regular_n316,Z12,13096,ball,0,4.196,20,8,False,0,60.0
regular_n316,Z12,13096,ball,1,4.231,17,9,False,0,60.0
regular_n316,Z12,13096,ball,2,4.323,15,9,False,0,60.0
regular_n316,Z12,13096,ballS,0,4.104,15,7,False,0,60.0
regular_n316,Z12,13096,ballS,1,4.085,15,9,False,0,60.0
regular_n316,Z12,13096,ballS,2,4.174,17,7,False,0,60.0
regular_n316,Z12,13096,ballSF,0,4.104,15,7,False,0,60.0
regular_n316,Z12,13096,ballSF,1,4.111,14,8,False,0,60.0
regular_n316,Z12,13096,ballSF,2,4.174,17,7,False,0,60.0
ws_n486,Z12,17188,default,0,2.597,9,0,False,0,60.2
ws_n486,Z12,17188,default,1,2.749,9,1,False,0,60.0
ws_n486,Z12,17188,default,2,2.436,8,0,False,0,60.0
ws_n486,Z12,17188,default,3,2.512,8,0,False,0,60.0
ws_n486,Z12,17188,default,4,2.521,8,0,False,0,60.0
ws_n486,Z12,17188,default,5,2.765,8,1,False,0,60.0
ws_n486,Z12,17188,default,6,2.35,7,0,False,0,60.0
ws_n486,Z12,17188,default,7,2.556,8,0,False,0,60.0
ws_n486,Z12,17188,default,8,2.634,8,1,False,0,60.4
ws_n486,Z12,17188,default,9,2.418,8,0,False,0,60.0
ws_n486,Z12,17188,ball,0,3.749,16,3,False,0,60.0
ws_n486,Z12,17188,ball,1,3.739,16,5,False,0,60.1
ws_n486,Z12,17188,ball,2,3.753,16,5,False,0,60.0
ws_n486,Z12,17188,ball,3,3.85,17,3,False,0,60.0
ws_n486,Z12,17188,ball,4,3.665,14,2,False,0,60.0
ws_n486,Z12,17188,ball,5,3.675,15,1,False,0,60.0
ws_n486,Z12,17188,ball,6,3.786,20,5,False,0,60.0
ws_n486,Z12,17188,ball,7,3.749,15,5,False,0,60.0
ws_n486,Z12,17188,ball,8,3.722,16,3,False,0,60.0
ws_n486,Z12,17188,ball,9,3.708,17,5,False,0,60.0
ws_n486,Z12,17188,ballS,0,3.702,16,5,False,0,60.0
ws_n486,Z12,17188,ballS,1,3.712,16,3,False,0,60.0
ws_n486,Z12,17188,ballS,2,3.708,16,3,False,0,60.0
ws_n486,Z12,17188,ballS,3,3.796,19,3,False,0,60.0
ws_n486,Z12,17188,ballS,4,3.677,14,3,False,0,60.0
ws_n486,Z12,17188,ballS,5,3.64,14,3,False,0,60.0
ws_n486,Z12,17188,ballS,6,3.786,19,5,False,0,60.0
ws_n486,Z12,17188,ballS,7,3.665,14,5,False,0,60.0
ws_n486,Z12,17188,ballS,8,3.714,14,3,False,0,60.0
ws_n486,Z12,17188,ballS,9,3.714,17,4,False,0,60.0
ws_n486,Z12,17188,ballSF,0,3.702,16,5,False,0,60.0
ws_n486,Z12,17188,ballSF,1,3.702,16,4,False,0,60.0
ws_n486,Z12,17188,ballSF,2,3.708,16,3,False,0,60.2
ws_n486,Z12,17188,ballSF,3,3.796,19,3,False,0,60.2
ws_n486,Z12,17188,ballSF,4,3.677,14,3,False,0,60.1
ws_n486,Z12,17188,ballSF,5,3.64,14,3,False,0,60.4
ws_n486,Z12,17188,ballSF,6,3.786,19,5,False,0,60.0
ws_n486,Z12,17188,ballSF,7,3.665,14,5,False,0,60.0
ws_n486,Z12,17188,ballSF,8,3.714,14,3,False,0,60.0
ws_n486,Z12,17188,ballSF,9,3.714,17,4,False,0,60.0
grid_200,Z12,1590,default,0,1.015,2,0,False,0,19.5
grid_200,Z12,1590,default,1,1.05,2,0,False,0,23.7
grid_200,Z12,1590,default,2,1.05,2,0,False,0,22.6
grid_200,Z12,1590,ball,0,1.26,4,30,False,0,60.0
grid_200,Z12,1590,ball,1,1.18,4,15,False,0,60.0
grid_200,Z12,1590,ball,2,1.34,4,30,False,0,60.0
grid_200,Z12,1590,ballS,0,1.26,4,29,False,0,60.0
grid_200,Z12,1590,ballS,1,1.18,4,15,False,0,60.0
grid_200,Z12,1590,ballS,2,1.39,4,27,False,0,60.0
grid_200,Z12,1590,ballSF,0,1.26,4,29,False,0,60.0
grid_200,Z12,1590,ballSF,1,1.18,4,15,False,0,60.0
grid_200,Z12,1590,ballSF,2,1.38,4,28,False,0,60.0
honeycomb_200,Z12,32393,default,0,1.11,2,0,False,0,26.1
honeycomb_200,Z12,32393,default,1,1.09,2,1,False,0,46.0
honeycomb_200,Z12,32393,default,2,1.13,2,2,False,0,48.9
honeycomb_200,Z12,32393,ball,0,1.555,5,36,False,0,60.0
honeycomb_200,Z12,32393,ball,1,1.495,5,29,False,0,60.0
honeycomb_200,Z12,32393,ball,2,1.53,5,36,False,0,60.0
honeycomb_200,Z12,32393,ballS,0,1.64,6,31,False,0,60.0
honeycomb_200,Z12,32393,ballS,1,1.515,5,36,False,0,60.0
honeycomb_200,Z12,32393,ballS,2,1.565,6,31,False,0,60.0
honeycomb_200,Z12,32393,ballSF,0,1.625,6,32,False,0,60.0
honeycomb_200,Z12,32393,ballSF,1,1.515,5,36,False,0,60.0
honeycomb_200,Z12,32393,ballSF,2,1.565,6,31,False,0,60.0
king_graph_196,Z12,32622,default,0,1.837,4,14,False,0,60.0
king_graph_196,Z12,32622,default,1,1.735,4,6,False,0,60.0
king_graph_196,Z12,32622,default,2,1.607,3,2,False,0,60.0
king_graph_196,Z12,32622,ball,0,2.219,8,13,False,0,60.0
king_graph_196,Z12,32622,ball,1,2.194,5,17,False,0,60.0
king_graph_196,Z12,32622,ball,2,2.265,7,15,False,0,60.0
king_graph_196,Z12,32622,ballS,0,2.209,10,14,False,0,60.1
king_graph_196,Z12,32622,ballS,1,2.184,7,15,False,0,60.0
king_graph_196,Z12,32622,ballS,2,2.158,7,18,False,0,60.0
king_graph_196,Z12,32622,ballSF,0,2.209,10,14,False,0,60.0
king_graph_196,Z12,32622,ballSF,1,2.153,5,16,False,0,60.0
king_graph_196,Z12,32622,ballSF,2,2.158,7,18,False,0,60.0
K100,P16,,default,0,11.23,16,0,,0,27.7
K100,P16,,default,1,11.51,17,0,,0,26.8
K100,P16,,default,2,11.65,17,0,,0,56.8
K100,P16,,ball,0,11.23,16,0,,0,3.5
K100,P16,,ball,1,11.52,17,0,,0,3.3
K100,P16,,ball,2,11.71,19,0,,0,3.2
K100,P16,,ballS,0,11.21,16,0,,0,4.2
K100,P16,,ballS,1,11.33,14,0,,0,4.2
K100,P16,,ballS,2,11.63,19,0,,0,4.1
K100,P16,,ballSF,0,12.0,24,0,,2,4.8
K100,P16,,ballSF,1,12.28,18,0,,2,4.3
K100,P16,,ballSF,2,12.25,19,0,,2,4.6
turan_n162,P16,2647,default,0,7.654,8,0,,0,60.1
turan_n162,P16,2647,default,1,7.815,8,0,,0,61.5
turan_n162,P16,2647,default,2,7.654,8,0,,0,60.4
turan_n162,P16,2647,ball,0,7.654,8,0,,0,60.3
turan_n162,P16,2647,ball,1,7.858,12,0,,0,60.3
turan_n162,P16,2647,ball,2,7.654,8,0,,0,60.1
turan_n162,P16,2647,ballS,0,7.654,8,0,,0,60.2
turan_n162,P16,2647,ballS,1,7.858,12,0,,0,60.2
turan_n162,P16,2647,ballS,2,7.654,8,0,,0,60.1
turan_n162,P16,2647,ballSF,0,7.654,8,0,,0,60.4
turan_n162,P16,2647,ballSF,1,7.858,12,0,,0,60.3
turan_n162,P16,2647,ballSF,2,7.654,8,0,,0,60.2
ws_n486,P16,17188,default,0,3.348,10,0,,0,60.0
ws_n486,P16,17188,default,1,3.214,11,0,,0,60.0
ws_n486,P16,17188,default,2,3.276,12,1,,0,60.0
ws_n486,P16,17188,ball,0,4.634,21,5,,0,60.0
ws_n486,P16,17188,ball,1,4.714,35,1,,0,60.0
ws_n486,P16,17188,ball,2,4.208,29,1,,0,60.0
ws_n486,P16,17188,ballS,0,4.681,23,2,,0,60.0
ws_n486,P16,17188,ballS,1,4.294,20,2,,0,60.0
ws_n486,P16,17188,ballS,2,4.37,30,4,,0,60.0
ws_n486,P16,17188,ballSF,0,4.44,35,2,,0,60.0
ws_n486,P16,17188,ballSF,1,4.35,23,2,,0,60.0
ws_n486,P16,17188,ballSF,2,4.607,24,2,,0,60.0
