cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,seat_acc,trans_acc,passes,fmiss,traj,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
king_graph_196,Z12,32622,seats,2,1.653,3,0.03,29.94,0,0,0,0,0,47,17,6,42,9|6|2|1|0|93,5.0,False,2,1,15,False,60.0
K100,P16,,default,0,11.63,16,0.0,3.07,9,106,0,115,49,,,,,,15.0,,0,,,,27.2
K100,P16,,default,1,12.14,16,0.0,3.42,9,106,0,115,49,,,,,,15.0,,0,,,,35.4
K100,P16,,default,2,11.7,17,0.0,3.04,9,106,0,115,49,,,,,,15.0,,0,,,,26.2
K100,P16,,seats,0,12.34,19,0.0,16.78,0,0,0,0,0,3,0,5,16,1|0|1|3|0,15.0,,0,,,,60.3
K100,P16,,seats,1,11.76,20,0.0,16.72,0,0,0,0,0,3,0,5,16,1|0|1|3|0,15.0,,0,,,,59.9
K100,P16,,seats,2,12.63,18,0.0,16.35,0,0,0,0,0,3,0,5,16,1|0|1|3|0,15.0,,0,,,,61.4
turan_n162,P16,2647,default,0,7.815,8,0.08,8.49,6,67,1,73,115,,,,,,14.0,,0,,,,60.2
turan_n162,P16,2647,default,1,7.654,8,0.01,8.48,6,67,1,73,115,,,,,,14.0,,0,,,,60.4
turan_n162,P16,2647,default,2,7.815,8,0.02,8.6,6,67,1,73,115,,,,,,14.0,,0,,,,60.2
turan_n162,P16,2647,seats,0,13.019,15,0.02,29.84,0,0,0,0,0,17,2,5,64,3|1|0|17|0,14.0,,0,,,,61.2
turan_n162,P16,2647,seats,1,29.895,77,0.01,35.34,0,0,0,0,0,17,2,5,64,3|1|0|17|0,14.0,,0,,,,60.4
turan_n162,P16,2647,seats,2,21.525,47,0.01,35.37,0,0,0,0,0,17,2,5,64,3|1|0|17|0,14.0,,0,,,,61.8
ws_n486,P16,17188,default,0,3.158,11,0.07,29.87,39,656,3,695,13,,,,,,14.0,,0,,,,60.0
ws_n486,P16,17188,default,1,3.193,11,0.07,29.88,26,689,4,715,21,,,,,,13.0,,1,,,,60.0
ws_n486,P16,17188,default,2,3.13,11,0.17,29.79,23,662,2,685,13,,,,,,12.0,,0,,,,60.0
ws_n486,P16,17188,seats,0,3.245,12,0.08,29.91,0,0,0,0,0,0,174,2,0,153|21,12.0,,0,,,,60.0
ws_n486,P16,17188,seats,1,3.73,15,0.07,29.9,0,0,0,0,0,0,159,2,0,158|2,13.0,,2,,,,60.0
ws_n486,P16,17188,seats,2,3.198,11,0.08,29.8,0,0,0,0,0,0,177,2,0,140|38,17.0,,0,,,,60.0
