cell,target,n,d,arm,order,alpha,seed,success,acl,max_chain,qubits,time
P6 n30 d0.5,P6,30,0.5,stock/a0,stock,0.0,4,True,3.4,5,102,0.37
P6 n30 d0.5,P6,30,0.5,stock/a1,stock,1.0,4,True,3.4,5,102,0.37
P6 n30 d0.5,P6,30,0.5,cuthill/a0,cuthill,0.0,4,True,3.1333333333333333,4,94,0.456
P6 n30 d0.5,P6,30,0.5,cuthill/a1,cuthill,1.0,4,True,3.1333333333333333,4,94,0.4573
P6 n30 d0.5,P6,30,0.5,stock/a0,stock,0.0,5,True,3.6333333333333333,5,109,0.1665
P6 n30 d0.5,P6,30,0.5,stock/a1,stock,1.0,5,True,3.6333333333333333,5,109,0.1661
P6 n30 d0.5,P6,30,0.5,cuthill/a0,cuthill,0.0,5,True,3.533333333333333,5,106,0.165
P6 n30 d0.5,P6,30,0.5,cuthill/a1,cuthill,1.0,5,True,3.533333333333333,5,106,0.1652
P6 n30 d0.5,P6,30,0.5,stock/a0,stock,0.0,6,True,3.3666666666666667,4,101,0.4077
P6 n30 d0.5,P6,30,0.5,stock/a1,stock,1.0,6,True,3.3666666666666667,4,101,0.4077
P6 n30 d0.5,P6,30,0.5,cuthill/a0,cuthill,0.0,6,True,3.2666666666666666,5,98,0.247
P6 n30 d0.5,P6,30,0.5,cuthill/a1,cuthill,1.0,6,True,3.2666666666666666,5,98,0.2468
P6 n30 d0.5,P6,30,0.5,stock/a0,stock,0.0,7,True,3.3666666666666667,5,101,0.1626
P6 n30 d0.5,P6,30,0.5,stock/a1,stock,1.0,7,True,3.3666666666666667,5,101,0.1628
P6 n30 d0.5,P6,30,0.5,cuthill/a0,cuthill,0.0,7,True,3.6,5,108,0.1954
P6 n30 d0.5,P6,30,0.5,cuthill/a1,cuthill,1.0,7,True,3.6,5,108,0.1951
P6 n30 d0.5,P6,30,0.5,stock/a0,stock,0.0,8,True,3.466666666666667,5,104,0.2027
P6 n30 d0.5,P6,30,0.5,stock/a1,stock,1.0,8,True,3.466666666666667,5,104,0.2032
P6 n30 d0.5,P6,30,0.5,cuthill/a0,cuthill,0.0,8,True,3.466666666666667,5,104,0.173
P6 n30 d0.5,P6,30,0.5,cuthill/a1,cuthill,1.0,8,True,3.466666666666667,5,104,0.1709
P6 n30 d0.5,P6,30,0.5,stock/a0,stock,0.0,9,True,3.3,5,99,0.428
P6 n30 d0.5,P6,30,0.5,stock/a1,stock,1.0,9,True,3.3,5,99,0.4279
P6 n30 d0.5,P6,30,0.5,cuthill/a0,cuthill,0.0,9,True,3.533333333333333,5,106,0.2385
P6 n30 d0.5,P6,30,0.5,cuthill/a1,cuthill,1.0,9,True,3.533333333333333,5,106,0.2386
P6 n30 d0.7,P6,30,0.7,stock/a0,stock,0.0,0,True,4.0,6,120,0.2139
P6 n30 d0.7,P6,30,0.7,stock/a1,stock,1.0,0,True,4.0,6,120,0.2142
P6 n30 d0.7,P6,30,0.7,cuthill/a0,cuthill,0.0,0,True,4.066666666666666,6,122,0.31
P6 n30 d0.7,P6,30,0.7,cuthill/a1,cuthill,1.0,0,True,4.066666666666666,6,122,0.3104
P6 n30 d0.7,P6,30,0.7,stock/a0,stock,0.0,1,True,3.6666666666666665,5,110,0.536
P6 n30 d0.7,P6,30,0.7,stock/a1,stock,1.0,1,True,3.6666666666666665,5,110,0.5376
P6 n30 d0.7,P6,30,0.7,cuthill/a0,cuthill,0.0,1,True,3.6,5,108,0.4945
P6 n30 d0.7,P6,30,0.7,cuthill/a1,cuthill,1.0,1,True,3.6,5,108,0.4932
P6 n30 d0.7,P6,30,0.7,stock/a0,stock,0.0,2,True,3.9,5,117,0.5363
P6 n30 d0.7,P6,30,0.7,stock/a1,stock,1.0,2,True,3.9,5,117,0.5337
P6 n30 d0.7,P6,30,0.7,cuthill/a0,cuthill,0.0,2,True,3.8333333333333335,5,115,0.3854
P6 n30 d0.7,P6,30,0.7,cuthill/a1,cuthill,1.0,2,True,3.8333333333333335,5,115,0.385
P6 n30 d0.7,P6,30,0.7,stock/a0,stock,0.0,3,True,3.9,5,117,0.4085
P6 n30 d0.7,P6,30,0.7,stock/a1,stock,1.0,3,True,3.9,5,117,0.4084
P6 n30 d0.7,P6,30,0.7,cuthill/a0,cuthill,0.0,3,True,3.7666666666666666,5,113,0.4005
P6 n30 d0.7,P6,30,0.7,cuthill/a1,cuthill,1.0,3,True,3.7666666666666666,5,113,0.3994
P6 n30 d0.7,P6,30,0.7,stock/a0,stock,0.0,4,True,3.8666666666666667,5,116,0.5496
P6 n30 d0.7,P6,30,0.7,stock/a1,stock,1.0,4,True,3.8666666666666667,5,116,0.5497
P6 n30 d0.7,P6,30,0.7,cuthill/a0,cuthill,0.0,4,True,3.7,5,111,0.3882
P6 n30 d0.7,P6,30,0.7,cuthill/a1,cuthill,1.0,4,True,3.7,5,111,0.3884
P6 n30 d0.7,P6,30,0.7,stock/a0,stock,0.0,5,True,3.8333333333333335,5,115,0.3652
P6 n30 d0.7,P6,30,0.7,stock/a1,stock,1.0,5,True,3.8333333333333335,5,115,0.3659
P6 n30 d0.7,P6,30,0.7,cuthill/a0,cuthill,0.0,5,True,4.133333333333334,6,124,0.2515
P6 n30 d0.7,P6,30,0.7,cuthill/a1,cuthill,1.0,5,True,4.133333333333334,6,124,0.2525
P6 n30 d0.7,P6,30,0.7,stock/a0,stock,0.0,6,True,4.0,6,120,0.4052
P6 n30 d0.7,P6,30,0.7,stock/a1,stock,1.0,6,True,4.0,6,120,0.4049
P6 n30 d0.7,P6,30,0.7,cuthill/a0,cuthill,0.0,6,True,3.9,5,117,0.4983
P6 n30 d0.7,P6,30,0.7,cuthill/a1,cuthill,1.0,6,True,3.9,5,117,0.4995
P6 n30 d0.7,P6,30,0.7,stock/a0,stock,0.0,7,True,4.0,6,120,0.3975
P6 n30 d0.7,P6,30,0.7,stock/a1,stock,1.0,7,True,4.0,6,120,0.3969
P6 n30 d0.7,P6,30,0.7,cuthill/a0,cuthill,0.0,7,True,3.7,5,111,0.6598
P6 n30 d0.7,P6,30,0.7,cuthill/a1,cuthill,1.0,7,True,3.7,5,111,0.6604
P6 n30 d0.7,P6,30,0.7,stock/a0,stock,0.0,8,True,3.9,5,117,0.3739
P6 n30 d0.7,P6,30,0.7,stock/a1,stock,1.0,8,True,3.9,5,117,0.3725
P6 n30 d0.7,P6,30,0.7,cuthill/a0,cuthill,0.0,8,True,3.8333333333333335,5,115,0.4854
P6 n30 d0.7,P6,30,0.7,cuthill/a1,cuthill,1.0,8,True,3.8333333333333335,5,115,0.4891
P6 n30 d0.7,P6,30,0.7,stock/a0,stock,0.0,9,True,3.8,5,114,0.5489
P6 n30 d0.7,P6,30,0.7,stock/a1,stock,1.0,9,True,3.8,5,114,0.549
P6 n30 d0.7,P6,30,0.7,cuthill/a0,cuthill,0.0,9,True,3.7666666666666666,5,113,0.6691
P6 n30 d0.7,P6,30,0.7,cuthill/a1,cuthill,1.0,9,True,3.7666666666666666,5,113,0.6716
P6 n40 d0.3,P6,40,0.3,stock/a0,stock,0.0,0,True,3.675,5,147,0.3134
P6 n40 d0.3,P6,40,0.3,stock/a1,stock,1.0,0,True,3.675,5,147,0.3133
P6 n40 d0.3,P6,40,0.3,cuthill/a0,cuthill,0.0,0,True,3.65,6,146,0.3215
P6 n40 d0.3,P6,40,0.3,cuthill/a1,cuthill,1.0,0,True,3.65,6,146,0.321
P6 n40 d0.3,P6,40,0.3,stock/a0,stock,0.0,1,True,3.775,6,151,0.3398
P6 n40 d0.3,P6,40,0.3,stock/a1,stock,1.0,1,True,3.775,6,151,0.3395
P6 n40 d0.3,P6,40,0.3,cuthill/a0,cuthill,0.0,1,True,3.25,5,130,0.368
P6 n40 d0.3,P6,40,0.3,cuthill/a1,cuthill,1.0,1,True,3.25,5,130,0.3676
P6 n40 d0.3,P6,40,0.3,stock/a0,stock,0.0,2,True,3.8,6,152,0.4284
P6 n40 d0.3,P6,40,0.3,stock/a1,stock,1.0,2,True,3.8,6,152,0.4281
P6 n40 d0.3,P6,40,0.3,cuthill/a0,cuthill,0.0,2,True,3.5,5,140,0.3175
P6 n40 d0.3,P6,40,0.3,cuthill/a1,cuthill,1.0,2,True,3.5,5,140,0.3158
P6 n40 d0.3,P6,40,0.3,stock/a0,stock,0.0,3,True,3.55,5,142,0.3139
P6 n40 d0.3,P6,40,0.3,stock/a1,stock,1.0,3,True,3.55,5,142,0.3134
P6 n40 d0.3,P6,40,0.3,cuthill/a0,cuthill,0.0,3,True,3.525,5,141,0.4124
P6 n40 d0.3,P6,40,0.3,cuthill/a1,cuthill,1.0,3,True,3.325,5,133,0.2457
P6 n40 d0.3,P6,40,0.3,stock/a0,stock,0.0,4,True,3.45,5,138,0.4276
P6 n40 d0.3,P6,40,0.3,stock/a1,stock,1.0,4,True,3.45,5,138,0.4277
P6 n40 d0.3,P6,40,0.3,cuthill/a0,cuthill,0.0,4,True,3.6,5,144,0.4319
P6 n40 d0.3,P6,40,0.3,cuthill/a1,cuthill,1.0,4,True,3.6,5,144,0.4324
