cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
turan_n162,Z12,2647,landmark,0,6.0,6,0.0,29.95,1,37,,37,0,6088,38,0,1.98,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,63.6
turan_n162,Z12,2647,landmark,1,6.0,6,0.0,29.95,1,37,,37,0,5104,38,0,2.26,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,63.4
turan_n162,Z12,2647,landmark,2,6.0,6,0.0,29.99,1,37,,37,0,5954,38,0,1.89,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,64.3
turan_n162,Z12,2647,landmark,3,6.0,6,0.0,29.94,1,37,,37,0,5718,38,0,1.99,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,62.4
turan_n162,Z12,2647,landmark,4,6.0,6,0.0,30.01,1,37,,37,0,4921,38,0,2.61,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,60.5
turan_n162,Z12,2647,landmark,5,6.0,6,0.0,29.93,1,37,,37,0,7004,38,0,3.54,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,66.5
turan_n162,Z12,2647,landmark,6,6.0,6,0.0,29.93,1,37,,37,0,6715,38,0,2.04,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,60.6
turan_n162,Z12,2647,landmark,7,6.0,6,0.0,29.91,1,37,,37,0,5704,38,0,2.43,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,62.4
turan_n162,Z12,2647,landmark,8,6.0,6,0.0,29.89,1,37,,37,0,5165,38,0,3.67,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,61.5
turan_n162,Z12,2647,landmark,9,6.0,6,0.0,29.94,1,37,,37,0,6138,38,0,2.46,38,0,0,0,1,0,1728.0,27.0,True,0,0,0,True,61.8
turan_n162,Z12,2647,random,0,8.623,10,0.0,29.93,1,205,,205,0,5478,206,0,5.33,206,0,0,0,1,0,2442.0,33.0,True,0,0,0,True,60.5
turan_n162,Z12,2647,random,1,9.315,13,0.0,29.93,1,201,,201,0,4490,202,0,3.82,179,0,1,0,1,0,2603.0,34.0,True,0,0,0,True,65.6
