cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,time
honeycomb_200,Z12,32393,fold,0,1.055,2,0.19,3.29,7,96,2,5,0,5,8.0,False,0,21.4
honeycomb_200,Z12,32393,fold,1,1.09,2,0.2,3.22,7,96,2,5,0,5,8.0,False,0,28.8
honeycomb_200,Z12,32393,fold,2,1.085,2,0.26,3.19,7,96,2,5,0,5,8.0,False,0,24.7
honeycomb_200,Z12,32393,strain,0,1.11,2,0.22,3.29,10,102,1,5,0,5,9.0,False,0,28.2
honeycomb_200,Z12,32393,strain,1,1.055,2,0.11,3.22,10,102,1,5,0,5,9.0,False,0,24.8
honeycomb_200,Z12,32393,strain,2,1.07,2,0.19,3.17,10,102,1,5,0,5,9.0,False,0,23.7
king_graph_196,Z12,32622,default,0,1.561,3,0.03,6.38,8,267,0,0,0,0,6.0,False,0,60.0
king_graph_196,Z12,32622,default,1,1.531,3,0.03,6.49,8,267,0,0,0,0,6.0,False,0,60.0
king_graph_196,Z12,32622,default,2,1.49,2,0.03,6.51,8,267,0,0,0,0,6.0,False,1,60.0
king_graph_196,Z12,32622,orient,0,1.51,3,0.03,6.14,5,228,3,0,0,0,6.0,False,0,60.0
king_graph_196,Z12,32622,orient,1,1.52,3,0.03,6.06,5,228,3,0,0,0,6.0,False,1,60.0
king_graph_196,Z12,32622,orient,2,1.52,3,0.03,6.36,5,228,3,0,0,0,6.0,False,1,60.0
king_graph_196,Z12,32622,fold,0,1.51,3,0.03,6.69,5,228,3,3,0,3,6.0,False,0,60.0
king_graph_196,Z12,32622,fold,1,1.52,3,0.03,6.6,5,228,3,3,0,3,6.0,False,1,60.0
king_graph_196,Z12,32622,fold,2,1.52,3,0.03,6.66,5,228,3,3,0,3,6.0,False,1,60.0
king_graph_196,Z12,32622,strain,0,1.561,3,0.03,8.26,12,288,5,5,0,5,5.0,False,3,60.0
king_graph_196,Z12,32622,strain,1,1.597,3,0.03,8.35,12,288,5,5,0,5,5.0,False,1,60.0
king_graph_196,Z12,32622,strain,2,1.51,3,0.03,8.21,12,288,5,5,0,5,5.0,False,1,60.1
K100,P16,,default,0,11.23,16,0.0,0.89,0,0,0,0,0,0,15.0,,0,30.5
K100,P16,,default,1,11.51,17,0.0,0.87,0,0,0,0,0,0,15.0,,0,29.1
K100,P16,,default,2,11.65,17,0.0,0.88,0,0,0,0,0,0,15.0,,0,56.5
K100,P16,,orient,0,11.23,16,0.0,0.88,0,0,0,0,0,0,15.0,,0,30.0
K100,P16,,orient,1,11.51,17,0.0,0.9,0,0,0,0,0,0,15.0,,0,30.1
K100,P16,,orient,2,11.65,17,0.0,0.89,0,0,0,0,0,0,15.0,,0,57.1
K100,P16,,fold,0,12.23,19,0.0,1.33,0,0,0,3,2,1,15.0,,0,40.0
K100,P16,,fold,1,12.29,16,0.0,1.34,0,0,0,3,2,1,15.0,,0,36.3
K100,P16,,fold,2,13.02,19,0.0,1.33,0,0,0,3,2,1,15.0,,0,48.7
K100,P16,,strain,0,12.23,19,0.0,1.27,0,0,0,3,2,1,15.0,,0,38.1
K100,P16,,strain,1,12.29,16,0.0,1.25,0,0,0,3,2,1,15.0,,0,36.7
K100,P16,,strain,2,13.02,19,0.0,1.25,0,0,0,3,2,1,15.0,,0,51.9
turan_n162,P16,2647,default,0,7.654,8,0.1,7.23,3,107,0,0,0,0,14.0,,0,60.2
turan_n162,P16,2647,default,1,7.654,8,0.12,7.25,3,107,0,0,0,0,14.0,,0,60.1
turan_n162,P16,2647,default,2,7.654,8,0.05,7.11,3,107,0,0,0,0,14.0,,0,60.5
turan_n162,P16,2647,orient,0,7.654,8,0.14,6.97,3,107,0,0,0,0,14.0,,0,60.3
turan_n162,P16,2647,orient,1,7.654,8,0.07,6.91,3,107,0,0,0,0,14.0,,0,60.2
turan_n162,P16,2647,orient,2,7.654,8,0.03,6.94,3,107,0,0,0,0,14.0,,0,60.5
turan_n162,P16,2647,fold,0,7.654,8,0.11,7.3,3,107,0,3,0,3,14.0,,0,60.4
