cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
regular_n316,Z12,13096,carry-tile,0,2.759,7,3.49,26.41,1,929,,929,0,1087,931,0,7.88,642,0,0,202,1,4,1754.0,27.0,False,0,2,5,False,60.0
regular_n316,Z12,13096,carry-tile,1,2.88,7,1.54,28.39,1,874,,874,0,700,876,0,13.96,642,0,0,202,1,4,1754.0,27.0,False,0,2,5,False,60.0
regular_n316,Z12,13096,carry-tile,2,2.778,6,2.14,27.79,1,671,,671,0,131,673,0,27.07,642,0,0,202,1,4,1754.0,27.0,False,0,2,5,False,60.0
regular_n316,Z12,13096,carry-tile-settle,0,2.741,6,1.98,27.98,1,687,,687,0,167,689,0,26.85,642,0,0,202,4,7,1754.0,28.0,False,0,3,5,False,60.0
regular_n316,Z12,13096,carry-tile-settle,1,2.902,7,4.36,25.53,1,537,,537,0,85,539,0,25.08,518,0,0,202,4,3,1809.0,28.0,True,0,0,1,False,60.0
regular_n316,Z12,13096,carry-tile-settle,2,2.671,6,2.42,27.39,1,741,,741,0,294,743,0,24.53,642,0,0,202,4,7,1754.0,28.0,False,0,3,5,False,60.0
ws_n486,Z12,17188,plane,0,2.646,8,15.24,13.8,1,162,,162,0,3,163,0,0.09,3,0,0,0,1,390,3552.0,23.0,False,0,40,52,False,60.1
ws_n486,Z12,17188,plane,1,2.603,8,13.93,15.9,1,283,,283,0,17,287,0,0.34,3,0,0,0,1,390,3552.0,23.0,False,0,40,52,False,60.4
ws_n486,Z12,17188,plane,2,2.856,9,11.99,17.61,1,284,,284,0,17,288,0,0.16,3,0,0,0,1,390,3552.0,23.0,False,0,40,52,False,60.4
ws_n486,Z12,17188,plane,3,2.529,8,13.48,16.1,1,360,,360,0,23,364,0,0.08,3,0,0,0,1,390,3552.0,23.0,False,0,40,52,False,60.0
ws_n486,Z12,17188,plane,4,2.377,8,15.18,14.71,1,322,,322,0,20,326,0,1.03,3,0,0,0,1,390,3552.0,23.0,False,0,40,52,False,60.2
ws_n486,Z12,17188,plane,5,2.724,9,15.71,13.95,1,367,,367,0,24,371,0,0.66,3,0,0,0,1,390,3552.0,23.0,False,0,40,52,False,60.0
