gid,n,e,tmpl_acl,prune_s,err
2767,19,150,2.526,0.0,
2768,169,10710,10.615,0.87,
2769,19,154,2.684,0.0,
2771,19,157,2.684,0.0,
2772,20,100,1.5,0.0,
2773,20,133,2.15,0.0,
2774,20,133,2.15,0.0,
2775,20,160,2.5,0.0,
2776,20,160,2.5,0.0,
2778,20,174,2.75,0.0,
2779,21,110,1.524,0.0,
2780,6,14,1.333,0.0,
2781,21,165,2.333,0.0,
2782,8,25,1.5,0.0,
2783,21,183,2.714,0.0,
2784,10,40,2.0,0.0,
2785,21,189,2.762,0.0,
2786,12,57,2.167,0.0,
2787,22,161,2.091,0.0,
2788,14,78,2.143,0.0,
2789,22,181,2.364,0.0,
2790,17,115,2.647,0.0,
2791,22,193,2.682,0.0,
2792,22,201,2.773,0.0,
2793,22,201,2.773,0.0,
2794,22,207,2.773,0.0,
2795,22,207,2.773,0.0,
2796,25,250,3.0,0.0,
2797,22,211,2.773,0.0,
2798,23,132,1.478,0.0,
2799,30,360,3.0,0.0,
2800,23,176,2.13,0.0,
2801,23,211,2.739,0.0,
2802,23,211,2.739,0.0,
2803,40,640,3.4,0.01,
2804,23,231,2.826,0.0,
2805,24,144,1.5,0.0,
2806,24,216,2.667,0.0,
2807,24,216,2.667,0.0,
2808,56,1254,4.375,0.01,
2809,24,240,2.667,0.0,
2810,64,1638,4.922,0.02,
2811,24,246,2.708,0.0,
2812,25,208,2.32,0.0,
2813,25,208,2.32,0.0,
2814,25,234,2.84,0.0,
2815,25,234,2.84,0.0,
2816,96,3686,6.688,0.08,
2817,25,250,3.0,0.0,
2818,110,4840,7.6,0.18,
2819,25,260,3.04,0.0,
2820,126,6350,8.484,0.27,
2821,25,267,3.16,0.0,
2822,25,273,3.16,0.0,
2823,25,273,3.16,0.0,
2824,26,169,1.731,0.0,
2825,177,12531,11.695,0.95,
2826,27,243,2.481,0.0,
2827,27,273,2.889,0.0,
2828,27,273,2.889,0.0,
2829,27,291,3.0,0.0,
2830,27,291,3.0,0.0,
2831,27,303,3.074,0.0,
2832,27,303,3.074,0.0,
2834,27,312,3.185,0.0,
2836,27,318,3.185,0.0,
2837,28,196,1.75,0.0,
2838,28,261,2.464,0.0,
2839,28,261,2.464,0.0,
2840,28,313,3.0,0.0,
2841,28,313,3.0,0.0,
2842,13,70,2.231,0.0,
2843,28,342,3.179,0.0,
2844,15,93,2.267,0.0,
2845,29,315,2.828,0.0,
2846,17,120,2.706,0.0,
2847,29,350,3.103,0.0,
2848,19,150,2.526,0.0,
2849,29,360,3.103,0.0,
2850,30,225,1.733,0.0,
2851,24,240,2.667,0.0,
2852,30,300,2.5,0.0,
2853,27,303,3.074,0.0,
2854,30,360,3.0,0.0,
2855,30,393,3.333,0.0,
2856,30,393,3.333,0.0,
2857,31,360,2.871,0.0,
2858,31,360,2.871,0.0,
2859,31,400,3.29,0.0,
2860,31,400,3.29,0.0,
2861,47,920,4.085,0.01,
2862,31,411,3.323,0.0,
2863,32,256,1.5,0.0,
2864,33,363,2.818,0.0,
2865,33,363,2.818,0.0,
2866,65,1760,5.431,0.02,
2867,33,408,3.091,0.0,
2868,75,2343,5.92,0.04,
2869,33,435,3.697,0.0,
2870,86,3081,6.407,0.04,
2871,33,453,3.697,0.0,
2872,33,466,3.758,0.0,
2873,33,466,3.758,0.0,
2874,33,476,3.758,0.0,
2875,33,476,3.758,0.0,
2876,34,289,2.0,0.0,
2877,35,408,2.829,0.0,
2878,35,408,2.829,0.0,
2879,35,490,3.486,0.0,
2880,35,490,3.486,0.0,
2881,35,525,3.657,0.0,
2882,35,525,3.657,0.0,
2883,35,535,3.686,0.0,
2884,35,535,3.686,0.01,
2885,36,486,3.222,0.0,
2886,36,486,3.222,0.0,
2887,36,540,3.583,0.0,
2888,36,540,3.583,0.0,
2889,37,342,2.0,0.0,
2891,37,456,2.811,0.0,
2892,9,34,2.0,0.0,
2893,37,547,3.459,0.0,
2894,11,51,2.182,0.0,
2895,37,598,3.703,0.0,
2896,38,541,3.237,0.0,
2897,38,541,3.237,0.0,
2898,15,96,2.267,0.0,
2899,38,601,3.553,0.0,
2900,17,123,2.706,0.0,
2901,38,618,3.632,0.0,
2902,39,380,2.0,0.0,
2903,40,533,2.975,0.0,
2904,40,533,2.975,0.0,
2905,40,640,3.4,0.01,
2906,40,640,3.4,0.01,
2907,40,700,3.8,0.0,
2908,40,700,3.8,0.0,
2909,41,630,3.61,0.01,
2910,41,630,3.61,0.01,
2911,41,700,4.098,0.01,
2912,41,700,4.098,0.01,
2913,41,720,4.171,0.01,
2914,41,720,4.171,0.01,
2915,42,441,2.262,0.01,
2916,50,1071,4.6,0.02,
2917,43,616,3.326,0.01,
2918,43,739,3.907,0.01,
2919,43,739,3.907,0.01,
2920,43,770,4.047,0.01,
2921,43,770,4.047,0.01,
2922,75,2410,6.013,0.05,
2923,43,792,4.116,0.01,
2924,85,3096,6.482,0.05,
2925,43,808,4.186,0.01,
2926,98,4116,7.5,0.07,
2927,44,726,3.727,0.01,
2928,45,506,2.244,0.01,
2929,46,705,3.304,0.01,
2930,46,705,3.304,0.01,
2931,46,846,3.87,0.01,
2932,46,846,3.87,0.01,
2933,46,906,4.152,0.01,
2934,46,906,4.152,0.01,
2935,46,925,4.196,0.01,
2936,46,925,4.196,0.01,
2938,47,828,3.766,0.01,
2939,47,920,4.085,0.01,
2940,47,920,4.085,0.01,
2941,48,576,2.0,0.01,
2942,49,800,3.49,0.01,
2943,49,800,3.49,0.01,
2945,49,960,4.306,0.01,
2946,49,1050,4.796,0.01,
2947,49,1050,4.796,0.01,
2948,12,62,2.167,0.0,
2949,50,937,4.12,0.01,
2950,50,1041,4.48,0.02,
2951,50,1041,4.48,0.02,
2952,17,126,2.765,0.0,
2953,50,1071,4.6,0.02,
2954,51,650,2.49,0.01,
2955,20,174,2.75,0.0,
2956,52,901,3.654,0.02,
2957,52,1081,4.385,0.02,
2958,52,1081,4.385,0.01,
2959,27,318,3.185,0.0,
2960,52,1182,4.673,0.01,
2961,53,1053,4.094,0.01,
2962,53,1053,4.094,0.01,
2963,53,1170,4.528,0.01,
2964,53,1170,4.528,0.01,
2965,40,700,3.8,0.0,
2966,53,1203,4.623,0.01,
2967,55,756,2.491,0.01,
2968,49,1050,4.796,0.01,
2969,56,1045,3.679,0.01,
2970,56,1254,4.375,0.01,
2971,56,1254,4.375,0.01,
2972,64,1792,5.125,0.02,
2973,56,1372,4.804,0.01,
2974,73,2331,6.041,0.07,
2975,57,1218,4.614,0.03,
2976,84,3086,6.619,0.07,
2977,57,1353,4.912,0.03,
2978,96,4032,7.125,0.1,
2979,57,1392,4.982,0.03,
2980,59,870,2.746,0.02,
2981,60,1200,4.0,0.03,
2982,60,1200,4.0,0.02,
2983,60,1440,4.8,0.02,
2984,60,1440,4.8,0.02,
2985,154,10375,10.929,0.4,
2986,60,1574,5.167,0.02,
2987,177,13706,12.429,0.5,
2988,61,1395,4.607,0.02,
2990,61,1550,4.984,0.02,
2992,61,1594,5.082,0.03,
2993,63,992,2.746,0.03,
2994,64,1365,4.156,0.03,
2995,64,1365,4.156,0.03,
2996,64,1638,4.922,0.03,
2997,64,1638,4.922,0.03,
2998,64,1792,5.125,0.03,
2999,64,1792,5.125,0.03,
3000,65,1584,4.862,0.02,
3001,65,1584,4.862,0.02,
3002,65,1760,5.431,0.02,
3003,65,1760,5.431,0.02,
3004,65,1810,5.477,0.02,
3005,65,1810,5.477,0.02,
3006,67,1122,3.0,0.02,
3008,69,1587,4.493,0.02,
3009,69,1904,5.304,0.04,
3010,69,1904,5.304,0.04,
3012,69,2082,5.638,0.04,
3013,70,1837,5.0,0.04,
3014,70,1837,5.0,0.04,
3015,70,2041,5.5,0.04,
3016,70,2041,5.5,0.04,
3018,70,2100,5.571,0.04,
3019,72,1296,3.0,0.02,
3020,73,1776,4.658,0.03,
3021,73,1776,4.658,0.03,
3022,73,2131,5.808,0.04,
3023,73,2131,5.808,0.04,
3024,73,2331,6.041,0.04,
3025,73,2331,6.041,0.04,
3027,75,2109,5.387,0.04,
3028,75,2343,5.92,0.07,
3029,75,2343,5.92,0.07,
3030,75,2410,6.013,0.05,
3031,75,2410,6.013,0.05,
3032,77,1482,3.247,0.05,
3034,78,2433,5.795,0.07,
3035,78,2661,6.128,0.06,
3036,78,2661,6.128,0.06,
3038,79,2080,4.823,0.06,
3039,80,2400,5.5,0.06,
3040,80,2400,5.5,0.06,
3041,80,2666,5.987,0.06,
3042,80,2666,5.987,0.06,
3044,80,2742,6.062,0.06,
3045,83,1722,3.494,0.06,
3046,84,2352,5.167,0.07,
3047,84,2352,5.167,0.07,
3049,84,2822,6.214,0.06,
3051,84,3086,6.619,0.07,
3053,85,3096,6.482,0.07,
3055,86,2773,5.872,0.06,
3057,86,3081,6.407,0.07,
3058,88,1936,3.5,0.07,
3060,90,2700,5.667,0.11,
3061,90,3240,6.6,0.11,
3062,90,3240,6.6,0.11,
3064,90,3543,7.044,0.12,
3066,91,3549,7.0,0.11,
3067,92,3174,6.37,0.11,
3068,92,3174,6.37,0.11,
3070,92,3526,6.902,0.11,
3071,95,2256,3.747,0.1,
3073,96,3072,5.5,0.1,
3074,96,3686,6.688,0.12,
3075,96,3686,6.688,0.12,
3077,96,4032,7.125,0.09,
3078,98,3601,6.745,0.12,
3079,98,3601,6.745,0.12,
3080,98,4001,7.316,0.1,
3081,98,4001,7.316,0.1,
3083,98,4116,7.5,0.07,
3084,101,2550,4.0,0.07,
3086,103,3536,5.99,0.08,
3088,103,4243,7.204,0.07,
3090,103,4641,7.641,0.07,
3091,105,4134,7.114,0.14,
3092,105,4134,7.114,0.11,
3093,105,4593,7.752,0.11,
3094,105,4593,7.752,0.18,
3095,105,4725,8.0,0.13,
3096,105,4725,8.0,0.11,
3097,108,2916,4.25,0.09,
3098,110,4033,6.509,0.11,
3099,110,4033,6.509,0.12,
3100,110,4840,7.6,0.11,
3101,110,4840,7.6,0.11,
3103,110,5293,8.064,0.15,
3105,112,4704,7.25,0.18,
3107,112,5226,7.839,0.19,
3109,112,5376,7.929,0.15,
3110,116,3364,4.5,0.18,
3112,118,4641,6.814,0.21,
3113,118,5569,8.093,0.21,
