cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,seat_acc,trans_acc,passes,fmiss,traj,pen,int_acc,int_dec,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
turan_n162,Z12,2647,lex,9,6.235,7,0.0,29.87,7,17,5,3,25|3|2|0|9,0.0,0,0,27.0,True,0,0,38,False,62.7
turan_n162,Z12,2647,lexint,0,6.0,6,0.0,29.72,121,16,3,10,18|0|121,0.0,2,233,27.0,True,0,0,50,False,60.5
turan_n162,Z12,2647,lexint,1,6.0,6,0.0,29.66,138,16,4,13,18|0|138|0,0.0,2,157,22.0,True,0,0,32,False,64.2
turan_n162,Z12,2647,lexint,2,6.0,6,0.0,29.87,121,16,4,10,18|0|121|0,0.0,2,307,27.0,True,0,0,50,False,61.9
turan_n162,Z12,2647,lexint,3,6.0,6,0.0,29.87,121,16,4,10,18|0|121|0,0.0,2,294,27.0,True,0,0,50,False,65.5
turan_n162,Z12,2647,lexint,4,6.0,6,0.0,29.67,121,16,4,10,18|0|121|0,0.0,2,256,27.0,True,0,0,50,False,61.0
turan_n162,Z12,2647,lexint,5,6.0,6,0.0,29.87,138,16,3,13,18|0|138,0.0,2,79,22.0,True,0,0,32,False,65.2
turan_n162,Z12,2647,lexint,6,6.0,6,0.0,29.86,121,16,3,10,18|0|121,0.0,2,233,27.0,True,0,0,50,False,64.2
turan_n162,Z12,2647,lexint,7,6.0,6,0.0,29.91,138,16,4,13,18|0|138|0,0.0,2,159,22.0,True,0,0,32,False,62.3
turan_n162,Z12,2647,lexint,8,6.0,6,0.0,33.55,138,16,4,13,18|0|138|0,0.0,2,168,22.0,True,0,0,32,False,64.5
turan_n162,Z12,2647,lexint,9,6.0,6,0.0,29.9,121,16,4,10,18|0|121|0,0.0,2,298,27.0,True,0,0,50,False,68.6
spin_glass_n163,Z12,37309,default,0,10.896,13,0.81,22.14,,,,,,,,,38.0,True,0,0,0,True,60.3
spin_glass_n163,Z12,37309,default,1,10.975,13,1.55,28.57,,,,,,,,,38.0,True,0,0,0,True,60.1
spin_glass_n163,Z12,37309,default,2,11.012,12,1.28,28.44,,,,,,,,,38.0,True,0,0,0,True,63.3
spin_glass_n163,Z12,37309,seats,0,11.098,13,1.27,28.56,14,0,3,7,4|0|74,2.0,0,0,36.0,True,0,0,0,True,60.1
spin_glass_n163,Z12,37309,seats,1,11.098,13,0.87,28.95,14,0,3,7,4|0|74,2.0,0,0,36.0,True,0,0,0,True,61.2
spin_glass_n163,Z12,37309,seats,2,11.098,13,1.21,28.64,14,0,3,7,4|0|74,2.0,0,0,36.0,True,0,0,0,True,60.1
spin_glass_n163,Z12,37309,seatsint,0,11.129,12,1.31,28.39,0,0,3,0,19|3|0,0.0,21,1083,37.0,True,0,0,0,True,68.0
spin_glass_n163,Z12,37309,seatsint,1,11.129,12,1.03,28.75,0,0,3,0,19|3|0,0.0,21,1028,37.0,True,0,0,0,True,65.6
spin_glass_n163,Z12,37309,seatsint,2,11.129,12,1.17,28.46,0,0,3,0,19|3|0,0.0,21,1083,37.0,True,0,0,0,True,61.3
