cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
spin_glass_n163,Z12,37309,xy,2,10.847,12,2.33,27.6,1,465,,465,0,2128,466,0,27.2,462,0,64,144,1,0,3049.0,32.0,True,0,0,0,True,59.8
regular_n316,Z12,13096,plane,0,2.867,7,2.08,27.85,2,860|305,,1165,0,4322,1166,0,12.24,757,0,156,0,1,5,1607.0,30.0,True,1,0,2,False,60.0
regular_n316,Z12,13096,plane,1,2.687,6,2.5,27.42,2,860|304,,1164,0,4235,1165,0,12.25,757,0,155,0,1,5,1607.0,30.0,True,0,0,2,False,60.1
regular_n316,Z12,13096,plane,2,2.734,6,1.58,28.12,2,860|306,,1166,0,4335,1167,0,12.22,757,0,157,0,1,5,1607.0,30.0,True,0,0,2,False,60.1
regular_n316,Z12,13096,plane,3,2.623,6,2.23,27.68,2,860|305,,1165,0,4269,1166,0,12.22,757,0,156,0,1,5,1607.0,30.0,True,0,0,2,False,60.3
regular_n316,Z12,13096,plane,4,2.693,6,0.16,29.79,1,823,,823,0,1895,824,0,26.72,757,0,94,0,1,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,5,2.687,6,3.65,26.3,1,799,,799,0,1718,800,0,24.28,757,0,70,0,1,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,6,2.633,6,2.91,27.03,1,845,,845,0,2070,846,0,23.07,757,0,116,0,1,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,7,2.813,6,8.28,21.64,1,799,,799,0,1709,800,0,19.62,757,0,70,0,1,5,1607.0,30.0,True,0,0,2,False,60.5
regular_n316,Z12,13096,plane,8,2.636,6,9.95,20.0,1,781,,781,0,1535,782,0,18.86,757,0,52,0,1,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,plane,9,2.772,6,11.66,17.86,1,803,,803,0,1738,804,0,15.65,757,0,74,0,1,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,xy,0,2.832,7,11.6,18.08,1,777,,777,0,765,778,0,10.71,524,0,0,104,1,1,1610.0,27.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,xy,1,2.766,7,8.08,21.73,1,773,,773,0,748,774,0,13.94,524,0,0,100,1,1,1610.0,27.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,xy,2,2.737,6,8.83,21.1,1,852,,852,0,1067,853,0,11.69,524,0,72,107,1,1,1610.0,27.0,True,0,0,0,True,60.1
regular_n316,Z12,13096,xy,3,2.684,7,10.08,19.86,1,837,,837,0,983,838,0,10.93,524,0,57,107,1,1,1610.0,27.0,True,1,0,0,True,60.1
regular_n316,Z12,13096,xy,4,2.93,7,10.81,18.7,1,871,,871,0,1240,872,0,8.5,524,0,91,107,1,1,1610.0,27.0,True,1,0,0,True,60.1
regular_n316,Z12,13096,xy,5,2.797,6,12.52,17.35,1,869,,869,0,1221,870,0,6.76,524,0,89,107,1,1,1610.0,27.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,xy,6,3.127,7,14.75,15.08,1,863,,863,0,1168,864,0,5.33,524,0,83,107,1,1,1610.0,27.0,True,0,0,0,True,60.0
regular_n316,Z12,13096,xy,7,2.684,6,11.51,18.24,1,907,,907,0,1392,908,0,17.72,889,0,127,107,1,5,1607.0,29.0,False,0,3,2,False,60.7
regular_n316,Z12,13096,xy,8,2.674,6,13.73,16.09,1,837,,837,0,987,838,0,6.36,524,0,57,107,1,1,1610.0,27.0,True,0,0,0,True,60.2
regular_n316,Z12,13096,xy,9,2.962,7,12.71,17.02,1,852,,852,0,1074,853,0,6.69,524,0,72,107,1,1,1610.0,27.0,True,0,0,0,True,60.6
ws_n486,Z12,17188,plane,0,2.798,9,9.58,20.36,1,1087,,1087,0,710,1088,0,20.27,1088,0,0,0,1,257,2374.0,27.0,False,0,48,52,False,60.4
ws_n486,Z12,17188,plane,1,2.533,8,11.8,18.14,1,1061,,1061,0,622,1062,0,18.1,1061,0,0,0,1,370,2402.0,30.0,False,0,45,47,False,60.2
ws_n486,Z12,17188,plane,2,2.469,8,10.16,19.17,1,1095,,1095,0,751,1096,0,18.85,1091,0,0,0,1,248,2371.0,27.0,False,0,42,50,False,60.2
ws_n486,Z12,17188,plane,3,2.593,8,9.67,19.08,1,1087,,1087,0,711,1088,0,18.98,1088,0,0,0,1,257,2374.0,27.0,False,0,48,52,False,60.0
ws_n486,Z12,17188,plane,4,2.687,9,9.72,19.76,1,1087,,1087,0,699,1088,0,19.75,1088,0,0,0,1,257,2374.0,27.0,False,0,48,52,False,60.9
