cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,width_x,width_y,pmiss,subm,time
spin_glass_n163,Z12,37309,default,1,11.417,13,1.04,9.83,9,133,1,0,0,0,37.0,True,0,,,,False,47.0
spin_glass_n163,Z12,37309,default,2,11.417,13,0.87,9.83,9,133,1,0,0,0,37.0,True,0,,,,False,46.8
spin_glass_n163,Z12,37309,subm,0,11.417,13,0.85,9.55,9,133,1,0,0,0,37.0,True,0,,,,False,49.0
spin_glass_n163,Z12,37309,subm,1,11.417,13,0.72,9.98,9,133,1,0,0,0,37.0,True,0,,,,False,50.0
spin_glass_n163,Z12,37309,subm,2,11.417,13,0.82,9.56,9,133,1,0,0,0,37.0,True,0,,,,False,43.3
spin_glass_n163,Z12,37309,unb,0,11.417,13,0.83,9.84,9,133,1,0,0,0,37.0,True,0,20,21,0,False,50.0
spin_glass_n163,Z12,37309,unb,1,11.417,13,1.02,9.78,9,133,1,0,0,0,37.0,True,0,20,21,0,False,48.4
spin_glass_n163,Z12,37309,unb,2,11.417,13,1.29,17.47,9,133,1,0,0,0,37.0,True,0,20,21,0,False,50.1
spin_glass_n163,Z12,37309,both,0,11.417,13,2.84,15.27,9,133,1,0,0,0,37.0,True,0,20,21,0,False,50.6
spin_glass_n163,Z12,37309,both,1,11.417,13,1.42,18.14,9,133,1,0,0,0,37.0,True,0,20,21,0,False,51.2
spin_glass_n163,Z12,37309,both,2,11.417,13,1.79,14.78,9,133,1,0,0,0,37.0,True,0,20,21,0,False,47.4
regular_n316,Z12,13096,default,0,2.997,7,3.45,12.29,6,106,2,0,0,0,18.0,False,1,,,,False,60.0
regular_n316,Z12,13096,default,1,2.905,8,4.32,11.21,6,106,2,0,0,0,18.0,False,1,,,,False,60.0
regular_n316,Z12,13096,default,2,2.794,7,3.09,12.83,6,106,2,0,0,0,18.0,False,0,,,,False,60.0
regular_n316,Z12,13096,subm,0,2.997,7,4.29,10.42,6,106,2,0,0,0,18.0,False,1,,,,False,60.0
regular_n316,Z12,13096,subm,1,2.905,8,1.8,11.09,6,106,2,0,0,0,18.0,False,1,,,,False,60.0
regular_n316,Z12,13096,subm,2,2.794,7,1.74,10.07,6,106,2,0,0,0,18.0,False,0,,,,False,60.0
regular_n316,Z12,13096,unb,0,2.731,6,2.11,9.52,9,82,2,0,0,0,17.0,False,0,18,19,0,False,60.0
regular_n316,Z12,13096,unb,1,2.788,7,1.3,9.56,9,82,2,0,0,0,17.0,False,1,18,19,0,False,60.0
regular_n316,Z12,13096,unb,2,2.953,7,1.64,9.56,9,82,2,0,0,0,17.0,False,0,18,19,0,False,60.0
regular_n316,Z12,13096,both,0,2.731,6,2.49,8.16,9,82,2,0,0,0,17.0,False,0,18,19,0,False,60.0
regular_n316,Z12,13096,both,1,2.788,7,2.52,7.91,9,82,2,0,0,0,17.0,False,1,18,19,0,False,60.0
regular_n316,Z12,13096,both,2,2.953,7,2.06,8.24,9,82,2,0,0,0,17.0,False,0,18,19,0,False,60.0
ws_n486,Z12,17188,default,0,2.819,11,0.89,29.03,44,514,23,0,0,0,39.0,False,0,,,,False,60.0
ws_n486,Z12,17188,default,1,2.654,9,0.35,29.57,44,528,23,0,0,0,39.0,False,1,,,,False,60.1
