source,instance,target,algorithm,seed,n,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ERd0.3_n80,0,zephyr15_broken,reweave,1,80,1,1,6.8625,11,549,52.68232560297474,80,955
ERd0.3_n80,0,zephyr15_broken,reweave,2,80,1,1,7.1,11,568,49.779240768868476,80,955
ERd0.3_n80,0,zephyr15_broken,reweave-thorough,0,80,1,1,7.0125,12,561,109.54847401892766,80,955
ERd0.3_n80,0,zephyr15_broken,reweave-thorough,1,80,1,1,6.825,11,546,117.50855010398664,80,955
ERd0.3_n80,0,zephyr15_broken,reweave-thorough,2,80,1,1,7.425,11,594,116.80831390386447,80,955
ERd0.3_n80,0,zephyr15_broken,mmfork-cuthill,0,80,1,1,7.4375,12,595,52.93266485305503,80,955
ERd0.3_n80,0,zephyr15_broken,mmfork-cuthill,1,80,1,1,7.85,12,628,37.761695832014084,80,955
ERd0.3_n80,0,zephyr15_broken,mmfork-cuthill,2,80,1,1,7.1875,11,575,44.13888489897363,80,955
ERd0.3_n80,0,zephyr15_broken,mmfork-cuthill-fast,0,80,1,1,7.4375,12,595,56.6129099780228,80,955
ERd0.3_n80,0,zephyr15_broken,mmfork-cuthill-fast,1,80,1,1,7.85,12,628,47.94005236099474,80,955
ERd0.3_n80,0,zephyr15_broken,mmfork-cuthill-fast,2,80,1,1,7.1875,11,575,34.49578120815568,80,955
ERd0.3_n80,0,zephyr15_broken,mmfork-portfolio,0,80,1,1,7.2875,11,583,173.95280281896703,80,955
ERd0.3_n80,0,zephyr15_broken,mmfork-portfolio,1,80,1,1,7.375,12,590,186.44728248310275,80,955
ERd0.3_n80,0,zephyr15_broken,mmfork-portfolio,2,80,1,1,6.9,11,552,184.47498489590362,80,955
ERd0.3_n80,0,zephyr15_broken,reweave-mmfork-cuthill,0,80,1,1,6.975,10,558,68.58796802884899,80,955
ERd0.3_n80,0,zephyr15_broken,reweave-mmfork-cuthill,1,80,1,1,7.35,10,588,56.82901129988022,80,955
ERd0.3_n80,0,zephyr15_broken,reweave-mmfork-cuthill,2,80,1,1,6.8125,11,545,55.858578599989414,80,955
ERd0.3_n120,0,pegasus16_broken,minorminer,0,120,1,1,16.575,24,1989,139.968050415162,120,2171
ERd0.3_n120,0,pegasus16_broken,minorminer,1,120,1,1,17.133333333333333,29,2056,118.04550131014548,120,2171
ERd0.3_n120,0,pegasus16_broken,minorminer,2,120,1,1,16.708333333333332,26,2005,139.44455171888694,120,2171
ERd0.3_n120,0,pegasus16_broken,minorminer-layout,0,120,1,1,17.175,28,2061,117.69373389007524,120,2171
ERd0.3_n120,0,pegasus16_broken,minorminer-layout,1,120,1,1,17.716666666666665,28,2126,147.38015894498676,120,2171
ERd0.3_n120,0,pegasus16_broken,minorminer-layout,2,120,1,1,18.166666666666668,28,2180,92.8338301370386,120,2171
ERd0.3_n120,0,pegasus16_broken,reweave,0,120,1,1,15.666666666666666,24,1880,180.34418227616698,120,2171
ERd0.3_n120,0,pegasus16_broken,reweave,1,120,1,1,16.083333333333332,28,1930,180.5465277840849,120,2171
ERd0.3_n120,0,pegasus16_broken,reweave,2,120,1,1,16.391666666666666,26,1967,180.80129082594067,120,2171
