pid,gkey,n,method,eseed,acl,maxchain,chain_rel,mean_e,best_e,chainbreak,gs,p_gs,resid
2,ER_n24_d0.5_g1,24,minorminer-layout,1,2.4583333333333335,4,1.5,-57.02,-65.0,0.0925,-65.0,0.168,0.1228
2,ER_n24_d0.5_g1,24,reweave,0,2.7083333333333335,4,0.75,-48.868,-63.0,0.3582,-65.0,0.0,0.2482
2,ER_n24_d0.5_g1,24,reweave,0,2.7083333333333335,4,1.0,-53.996,-61.0,0.2441,-65.0,0.0,0.1693
2,ER_n24_d0.5_g1,24,reweave,0,2.7083333333333335,4,1.5,-60.472,-65.0,0.0783,-65.0,0.444,0.0697
2,ER_n24_d0.5_g1,24,reweave,1,2.7083333333333335,4,0.75,-47.172,-63.0,0.2805,-65.0,0.0,0.2743
2,ER_n24_d0.5_g1,24,reweave,1,2.7083333333333335,4,1.0,-57.58,-63.0,0.2013,-65.0,0.0,0.1142
2,ER_n24_d0.5_g1,24,reweave,1,2.7083333333333335,4,1.5,-62.456,-65.0,0.103,-65.0,0.148,0.0391
2,ER_n24_d0.5_g1,24,reweave-thorough,0,2.5,3,0.75,-48.84,-63.0,0.3467,-65.0,0.0,0.2486
2,ER_n24_d0.5_g1,24,reweave-thorough,0,2.5,3,1.0,-50.616,-63.0,0.2797,-65.0,0.0,0.2213
2,ER_n24_d0.5_g1,24,reweave-thorough,0,2.5,3,1.5,-53.976,-65.0,0.1227,-65.0,0.144,0.1696
2,ER_n24_d0.5_g1,24,reweave-thorough,1,2.5833333333333335,4,0.75,-48.064,-63.0,0.3838,-65.0,0.0,0.2606
2,ER_n24_d0.5_g1,24,reweave-thorough,1,2.5833333333333335,4,1.0,-49.136,-63.0,0.3306,-65.0,0.0,0.2441
2,ER_n24_d0.5_g1,24,reweave-thorough,1,2.5833333333333335,4,1.5,-52.588,-65.0,0.1912,-65.0,0.06,0.191
2,ER_n24_d0.5_g1,24,mmfork-cuthill,0,2.5833333333333335,4,0.75,-47.62,-53.0,0.2462,-65.0,0.0,0.2674
2,ER_n24_d0.5_g1,24,mmfork-cuthill,0,2.5833333333333335,4,1.0,-50.396,-59.0,0.2082,-65.0,0.0,0.2247
2,ER_n24_d0.5_g1,24,mmfork-cuthill,0,2.5833333333333335,4,1.5,-55.584,-65.0,0.1361,-65.0,0.008,0.1449
2,ER_n24_d0.5_g1,24,mmfork-cuthill,1,2.6666666666666665,4,0.75,-46.256,-65.0,0.2948,-65.0,0.002,0.2884
2,ER_n24_d0.5_g1,24,mmfork-cuthill,1,2.6666666666666665,4,1.0,-45.884,-65.0,0.2258,-65.0,0.042,0.2941
