source,target,algorithm,n,n_seeds,n_success,n_instances,success_rate,acl_mean,acl_ci,acl_std,maxchain_mean,qubits_mean,time_mean,time_mean_ok,time_std,problem_nodes,problem_edges
ERd0.3_n40,zephyr15_broken,reweave-mmfork-cuthill,40,24,24,8,1.0,2.857,0.103,0.19,4.38,114.3,1.969,1.969,0.778,40,241
ERd0.3_n40,zephyr15_broken,reweave-thorough,40,24,24,8,1.0,2.782,0.086,0.135,4.08,111.3,7.45,7.45,1.976,40,241
ERd0.3_n80,pegasus16_broken,minorminer,80,24,24,8,1.0,9.836,0.184,0.545,15.54,786.9,35.005,35.005,16.499,80,955
ERd0.3_n80,pegasus16_broken,minorminer-layout,80,24,24,8,1.0,10.091,0.245,0.57,15.71,807.3,31.106,31.106,11.937,80,955
ERd0.3_n80,pegasus16_broken,mmfork-cuthill,80,24,24,8,1.0,9.529,0.228,0.604,14.88,762.3,27.554,27.554,10.492,80,955
ERd0.3_n80,pegasus16_broken,mmfork-cuthill-fast,80,24,24,8,1.0,9.529,0.228,0.604,14.88,762.3,27.689,27.689,9.268,80,955
ERd0.3_n80,pegasus16_broken,mmfork-portfolio,80,24,24,8,1.0,9.165,0.102,0.294,14,733.2,155.107,155.107,10.5,80,955
ERd0.3_n80,pegasus16_broken,reweave,80,24,24,8,1.0,9.246,0.142,0.428,14.88,739.7,40.257,40.257,16.092,80,955
ERd0.3_n80,pegasus16_broken,reweave-mmfork-cuthill,80,24,24,8,1.0,9.003,0.161,0.461,14.25,720.2,34.208,34.208,9.876,80,955
ERd0.3_n80,pegasus16_broken,reweave-thorough,80,24,24,8,1.0,9.102,0.154,0.244,14.67,728.1,112.847,112.847,11.06,80,955
ERd0.3_n80,zephyr15_broken,minorminer,80,24,24,8,1.0,7.626,0.218,0.534,12,610.0,31.631,31.631,11.087,80,955
ERd0.3_n80,zephyr15_broken,minorminer-layout,80,24,24,8,1.0,7.635,0.163,0.462,12,610.8,30.57,30.57,9.912,80,955
ERd0.3_n80,zephyr15_broken,mmfork-cuthill,80,24,24,8,1.0,7.498,0.152,0.338,11.62,599.9,33.198,33.198,10.653,80,955
ERd0.3_n80,zephyr15_broken,mmfork-cuthill-fast,80,24,24,8,1.0,7.498,0.152,0.338,11.62,599.9,31.408,31.408,10.764,80,955
ERd0.3_n80,zephyr15_broken,mmfork-portfolio,80,24,24,8,1.0,7.124,0.086,0.191,11.04,570.0,168.667,168.667,11.72,80,955
ERd0.3_n80,zephyr15_broken,reweave,80,24,24,8,1.0,7.147,0.172,0.387,11.17,571.8,38.541,38.541,12.785,80,955
ERd0.3_n80,zephyr15_broken,reweave-mmfork-cuthill,80,24,24,8,1.0,7.07,0.13,0.274,11.08,565.6,39.108,39.108,12.778,80,955
ERd0.3_n80,zephyr15_broken,reweave-thorough,80,24,24,8,1.0,7.014,0.078,0.219,10.96,561.1,105.553,105.553,9.572,80,955
REGk6_n160,pegasus16_broken,minorminer,160,24,24,8,1.0,5.558,0.148,0.378,12.17,889.2,6.807,6.807,1.607,160,480
REGk6_n160,pegasus16_broken,minorminer-layout,160,24,24,8,1.0,5.669,0.093,0.374,12.21,907,8.867,8.867,2.534,160,480
REGk6_n160,pegasus16_broken,mmfork-cuthill,160,24,24,8,1.0,5.766,0.168,0.314,12.67,922.5,7.461,7.461,2.45,160,480
REGk6_n160,pegasus16_broken,mmfork-cuthill-fast,160,24,24,8,1.0,5.766,0.168,0.314,12.67,922.5,7.056,7.056,2.517,160,480
REGk6_n160,pegasus16_broken,mmfork-portfolio,160,24,24,8,1.0,5.253,0.086,0.157,11.5,840.5,45.135,45.135,8.456,160,480
REGk6_n160,pegasus16_broken,reweave,160,24,24,8,1.0,5.372,0.129,0.343,12.04,859.5,7.261,7.261,1.657,160,480
REGk6_n160,pegasus16_broken,reweave-mmfork-cuthill,160,24,24,8,1.0,5.579,0.156,0.291,12.54,892.7,7.944,7.944,2.241,160,480
REGk6_n160,pegasus16_broken,reweave-thorough,160,24,24,8,1.0,5.046,0.076,0.177,10.92,807.3,29.854,29.854,4.436,160,480
