source,target,algorithm,n_seeds,n_success,success_rate,acl_mean,acl_std,maxchain_mean,qubits_mean,time_mean,time_std,problem_nodes,problem_edges
ER_n40_d0.5,pegasus_6,minorminer,5,5,1.0,4.565,0.096,6.4,182.6,1.111,0.319,40,393
ER_n40_d0.5,pegasus_6,minorminer-layout,5,5,1.0,4.72,0.126,6.8,188.8,0.989,0.108,40,393
ER_n40_d0.5,pegasus_6,reweave,5,5,1.0,4.49,0.137,6.2,179.6,4.122,0.336,40,393
ER_n40_d0.5,pegasus_6,reweave-thorough,5,5,1.0,4.385,0.083,6.2,175.4,16.406,0.593,40,393
ER_n40_d0.5,pegasus_6_broken5,minorminer,5,5,1.0,4.875,0.176,7.2,195,0.816,0.197,40,393
ER_n40_d0.5,pegasus_6_broken5,minorminer-layout,5,5,1.0,4.715,0.192,6.8,188.6,1.188,0.456,40,393
ER_n40_d0.5,pegasus_6_broken5,reweave,5,5,1.0,4.8,0.178,7.2,192,3.515,0.243,40,393
ER_n40_d0.5,pegasus_6_broken5,reweave-thorough,5,5,1.0,4.52,0.056,6.2,180.8,14.255,1.356,40,393
ER_n40_d0.5,zephyr_4,minorminer,5,5,1.0,3.63,0.083,5,145.2,0.978,0.106,40,393
ER_n40_d0.5,zephyr_4,minorminer-layout,5,5,1.0,3.605,0.156,5.2,144.2,1.104,0.627,40,393
ER_n40_d0.5,zephyr_4,reweave,5,5,1.0,3.565,0.072,5,142.6,3.806,0.304,40,393
ER_n40_d0.5,zephyr_4,reweave-thorough,5,5,1.0,3.515,0.034,5,140.6,13.9,1.122,40,393
ER_n40_d0.7,pegasus_6,minorminer,5,5,1.0,5.15,0.061,7.2,206,1.354,0.599,40,557
ER_n40_d0.7,pegasus_6,minorminer-layout,5,5,1.0,5.23,0.174,7,209.2,1.731,0.422,40,557
ER_n40_d0.7,pegasus_6,reweave,5,5,1.0,5.065,0.044,7,202.6,5.867,0.57,40,557
ER_n40_d0.7,pegasus_6,reweave-thorough,5,5,1.0,4.975,0.042,7,199,20.01,0.038,40,557
ER_n40_d0.7,pegasus_6_broken5,minorminer,5,5,1.0,5.52,0.189,7.8,220.8,1.062,0.186,40,557
ER_n40_d0.7,pegasus_6_broken5,minorminer-layout,5,5,1.0,5.36,0.202,7.4,214.4,1.639,0.349,40,557
ER_n40_d0.7,pegasus_6_broken5,reweave,5,5,1.0,5.345,0.183,7.4,213.8,5.871,0.835,40,557
ER_n40_d0.7,pegasus_6_broken5,reweave-thorough,5,5,1.0,5.085,0.185,6.8,203.4,19.588,0.57,40,557
ER_n40_d0.7,zephyr_4,minorminer,5,5,1.0,4.18,0.304,5.6,167.2,0.986,0.259,40,557
