source,target,algorithm,n_seeds,n_success,success_rate,acl_mean,acl_std,maxchain_mean,qubits_mean,time_mean,time_std,problem_nodes,problem_edges
ER_n20_d0.7,pegasus_6,minorminer,5,5,1.0,2.59,0.08,3.2,51.8,0.153,0.061,20,142
ER_n20_d0.7,pegasus_6,minorminer-layout,5,5,1.0,2.55,0.089,3.4,51,0.156,0.051,20,142
ER_n20_d0.7,pegasus_6,pathfinder,5,5,1.0,2.57,0.087,3.2,51.4,0.18,0.055,20,142
ER_n20_d0.7,pegasus_6,pathfinder-base,5,5,1.0,2.57,0.087,3.2,51.4,0.69,0.211,20,142
ER_n20_d0.7,pegasus_6,pathfinder-stacked,5,5,1.0,2.53,0.081,3.2,50.6,0.309,0.084,20,142
ER_n20_d0.7,pegasus_6,pathfinder-thorough,5,5,1.0,2.51,0.073,3,50.2,0.878,0.099,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer,5,5,1.0,2.73,0.144,3.6,54.6,0.162,0.021,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer-layout,5,5,1.0,2.69,0.159,3.6,53.8,0.223,0.063,20,142
ER_n20_d0.7,pegasus_6_broken5,pathfinder,5,5,1.0,2.7,0.126,3.4,54,0.199,0.032,20,142
ER_n20_d0.7,pegasus_6_broken5,pathfinder-base,5,5,1.0,2.72,0.14,3.6,54.4,0.704,0.213,20,142
ER_n20_d0.7,pegasus_6_broken5,pathfinder-stacked,5,5,1.0,2.62,0.068,3.2,52.4,0.278,0.033,20,142
ER_n20_d0.7,pegasus_6_broken5,pathfinder-thorough,5,5,1.0,2.56,0.086,3.2,51.2,0.864,0.154,20,142
ER_n20_d0.7,zephyr_4,minorminer,5,5,1.0,2.16,0.066,3,43.2,0.124,0.026,20,142
ER_n20_d0.7,zephyr_4,minorminer-layout,5,5,1.0,2.35,0.164,3,47,0.167,0.04,20,142
ER_n20_d0.7,zephyr_4,pathfinder,5,5,1.0,2.16,0.066,3,43.2,0.198,0.024,20,142
ER_n20_d0.7,zephyr_4,pathfinder-base,5,5,1.0,2.16,0.066,3,43.2,0.653,0.053,20,142
ER_n20_d0.7,zephyr_4,pathfinder-stacked,5,5,1.0,2.14,0.097,3,42.8,0.238,0.022,20,142
ER_n20_d0.7,zephyr_4,pathfinder-thorough,5,5,1.0,2.11,0.037,3,42.2,0.729,0.079,20,142
ER_n30_d0.3,pegasus_6,minorminer,5,5,1.0,2.7,0.114,3.8,81,0.221,0.079,30,147
ER_n30_d0.3,pegasus_6,minorminer-layout,5,5,1.0,2.747,0.154,4,82.4,0.237,0.074,30,147
ER_n30_d0.3,pegasus_6,pathfinder,5,5,1.0,2.68,0.109,3.8,80.4,0.265,0.081,30,147
ER_n30_d0.3,pegasus_6,pathfinder-base,5,5,1.0,2.687,0.102,3.8,80.6,0.94,0.269,30,147
ER_n30_d0.3,pegasus_6,pathfinder-stacked,5,5,1.0,2.66,0.093,3.8,79.8,0.392,0.117,30,147
ER_n30_d0.3,pegasus_6,pathfinder-thorough,5,5,1.0,2.58,0.027,3.8,77.4,1.08,0.202,30,147
ER_n30_d0.3,pegasus_6_broken5,minorminer,5,5,1.0,2.793,0.118,4,83.8,0.258,0.105,30,147
ER_n30_d0.3,pegasus_6_broken5,minorminer-layout,5,5,1.0,2.787,0.119,4,83.6,0.269,0.123,30,147
ER_n30_d0.3,pegasus_6_broken5,pathfinder,5,5,1.0,2.787,0.131,4,83.6,0.286,0.103,30,147
ER_n30_d0.3,pegasus_6_broken5,pathfinder-base,5,5,1.0,2.787,0.131,4,83.6,0.792,0.263,30,147
ER_n30_d0.3,pegasus_6_broken5,pathfinder-stacked,5,5,1.0,2.787,0.088,4.4,83.6,0.419,0.125,30,147
ER_n30_d0.3,pegasus_6_broken5,pathfinder-thorough,5,5,1.0,2.613,0.091,4,78.4,1.204,0.194,30,147
ER_n30_d0.3,zephyr_4,minorminer,5,5,1.0,2.24,0.044,3,67.2,0.173,0.028,30,147
ER_n30_d0.3,zephyr_4,minorminer-layout,5,5,1.0,2.28,0.083,3.4,68.4,0.21,0.044,30,147
ER_n30_d0.3,zephyr_4,pathfinder,5,5,1.0,2.233,0.056,3,67,0.236,0.031,30,147
ER_n30_d0.3,zephyr_4,pathfinder-base,5,5,1.0,2.233,0.056,3,67,0.796,0.246,30,147
ER_n30_d0.3,zephyr_4,pathfinder-stacked,5,5,1.0,2.34,0.09,3.4,70.2,0.304,0.054,30,147
ER_n30_d0.3,zephyr_4,pathfinder-thorough,5,5,1.0,2.18,0.088,3,65.4,0.969,0.097,30,147
ER_n30_d0.5,pegasus_6,minorminer,5,5,1.0,3.3,0.159,4.6,99,0.705,0.247,30,226
ER_n30_d0.5,pegasus_6,minorminer-layout,5,5,1.0,3.427,0.102,4.8,102.8,0.461,0.062,30,226
ER_n30_d0.5,pegasus_6,pathfinder,5,5,1.0,3.233,0.146,4.6,97,0.75,0.23,30,226
ER_n30_d0.5,pegasus_6,pathfinder-base,5,5,1.0,3.253,0.147,4.6,97.6,2.076,0.599,30,226
ER_n30_d0.5,pegasus_6,pathfinder-stacked,5,5,1.0,3.4,0.087,5,102,0.62,0.109,30,226
ER_n30_d0.5,pegasus_6,pathfinder-thorough,5,5,1.0,3.167,0.107,4.2,95,2.314,0.231,30,226
ER_n30_d0.5,pegasus_6_broken5,minorminer,5,5,1.0,3.527,0.11,5,105.8,0.368,0.111,30,226
ER_n30_d0.5,pegasus_6_broken5,minorminer-layout,5,5,1.0,3.5,0.105,5,105,0.388,0.102,30,226
ER_n30_d0.5,pegasus_6_broken5,pathfinder,5,5,1.0,3.46,0.106,4.8,103.8,0.531,0.138,30,226
ER_n30_d0.5,pegasus_6_broken5,pathfinder-base,5,5,1.0,3.48,0.133,4.8,104.4,1.712,0.308,30,226
ER_n30_d0.5,pegasus_6_broken5,pathfinder-stacked,5,5,1.0,3.367,0.125,4.6,101,0.737,0.294,30,226
ER_n30_d0.5,pegasus_6_broken5,pathfinder-thorough,5,5,1.0,3.327,0.083,4.8,99.8,2.122,0.213,30,226
ER_n30_d0.5,zephyr_4,minorminer,5,5,1.0,2.747,0.069,4,82.4,0.283,0.115,30,226
ER_n30_d0.5,zephyr_4,minorminer-layout,5,5,1.0,2.733,0.021,4,82,0.383,0.056,30,226
ER_n30_d0.5,zephyr_4,pathfinder,5,5,1.0,2.713,0.069,4,81.4,0.38,0.098,30,226
ER_n30_d0.5,zephyr_4,pathfinder-base,5,5,1.0,2.713,0.069,4,81.4,1.647,0.622,30,226
ER_n30_d0.5,zephyr_4,pathfinder-stacked,5,5,1.0,2.727,0.08,3.6,81.8,0.556,0.123,30,226
ER_n30_d0.5,zephyr_4,pathfinder-thorough,5,5,1.0,2.687,0.062,4,80.6,1.718,0.175,30,226
ER_n30_d0.7,pegasus_6,minorminer,5,5,1.0,3.827,0.222,5,114.8,0.83,0.329,30,319
ER_n30_d0.7,pegasus_6,minorminer-layout,5,5,1.0,3.8,0.167,5.4,114,0.784,0.287,30,319
ER_n30_d0.7,pegasus_6,pathfinder,5,5,1.0,3.767,0.198,5,113,1.032,0.331,30,319
ER_n30_d0.7,pegasus_6,pathfinder-base,5,5,1.0,3.793,0.225,5,113.8,2.817,0.64,30,319
ER_n30_d0.7,pegasus_6,pathfinder-stacked,5,5,1.0,3.753,0.058,5,112.6,0.997,0.172,30,319
ER_n30_d0.7,pegasus_6,pathfinder-thorough,5,5,1.0,3.647,0.065,4.8,109.4,3.41,0.438,30,319
ER_n30_d0.7,pegasus_6_broken5,minorminer,5,5,1.0,3.853,0.165,5.2,115.6,0.789,0.224,30,319
ER_n30_d0.7,pegasus_6_broken5,minorminer-layout,5,5,1.0,4.013,0.157,5.6,120.4,0.705,0.159,30,319
ER_n30_d0.7,pegasus_6_broken5,pathfinder,5,5,1.0,3.773,0.145,5,113.2,1.087,0.183,30,319
ER_n30_d0.7,pegasus_6_broken5,pathfinder-base,5,5,1.0,3.787,0.144,5,113.6,2.991,0.218,30,319
ER_n30_d0.7,pegasus_6_broken5,pathfinder-stacked,5,5,1.0,3.907,0.153,5.6,117.2,0.901,0.108,30,319
ER_n30_d0.7,pegasus_6_broken5,pathfinder-thorough,5,5,1.0,3.647,0.145,4.6,109.4,3.89,0.308,30,319
ER_n30_d0.7,zephyr_4,minorminer,5,5,1.0,3.033,0.06,4,91,0.558,0.167,30,319
ER_n30_d0.7,zephyr_4,minorminer-layout,5,5,1.0,3.033,0.037,4,91,0.58,0.153,30,319
ER_n30_d0.7,zephyr_4,pathfinder,5,5,1.0,3.0,0.042,4,90,0.75,0.17,30,319
ER_n30_d0.7,zephyr_4,pathfinder-base,5,5,1.0,3.007,0.053,4,90.2,2.45,0.664,30,319
ER_n30_d0.7,zephyr_4,pathfinder-stacked,5,5,1.0,3.027,0.077,4,90.8,0.753,0.111,30,319
ER_n30_d0.7,zephyr_4,pathfinder-thorough,5,5,1.0,2.953,0.027,4,88.6,2.712,0.387,30,319
ER_n40_d0.3,pegasus_6,minorminer,5,5,1.0,3.56,0.046,5.2,142.4,0.532,0.17,40,241
ER_n40_d0.3,pegasus_6,minorminer-layout,5,5,1.0,3.62,0.135,5.4,144.8,0.502,0.102,40,241
ER_n40_d0.3,pegasus_6,pathfinder,5,5,1.0,3.51,0.064,5.2,140.4,0.676,0.139,40,241
ER_n40_d0.3,pegasus_6,pathfinder-base,5,5,1.0,3.525,0.057,5.2,141,2.125,0.426,40,241
ER_n40_d0.3,pegasus_6,pathfinder-stacked,5,5,1.0,3.625,0.082,5.2,145,0.889,0.228,40,241
ER_n40_d0.3,pegasus_6,pathfinder-thorough,5,5,1.0,3.39,0.062,5,135.6,2.402,0.25,40,241
ER_n40_d0.3,pegasus_6_broken5,minorminer,5,5,1.0,3.615,0.155,5.2,144.6,0.644,0.22,40,241
ER_n40_d0.3,pegasus_6_broken5,minorminer-layout,5,5,1.0,3.635,0.191,5.6,145.4,0.516,0.257,40,241
ER_n40_d0.3,pegasus_6_broken5,pathfinder,5,5,1.0,3.57,0.094,5.2,142.8,0.819,0.229,40,241
ER_n40_d0.3,pegasus_6_broken5,pathfinder-base,5,5,1.0,3.585,0.096,5.2,143.4,1.761,0.185,40,241
ER_n40_d0.3,pegasus_6_broken5,pathfinder-stacked,5,5,1.0,3.53,0.066,5.4,141.2,0.927,0.107,40,241
ER_n40_d0.3,pegasus_6_broken5,pathfinder-thorough,5,5,1.0,3.515,0.086,5,140.6,2.412,0.354,40,241
ER_n40_d0.3,zephyr_4,minorminer,5,5,1.0,2.925,0.091,4.4,117,0.49,0.172,40,241
ER_n40_d0.3,zephyr_4,minorminer-layout,5,5,1.0,3.11,0.127,4.8,124.4,0.42,0.216,40,241
ER_n40_d0.3,zephyr_4,pathfinder,5,5,1.0,2.86,0.096,4.2,114.4,0.686,0.146,40,241
ER_n40_d0.3,zephyr_4,pathfinder-base,5,5,1.0,2.88,0.086,4.2,115.2,2.36,0.434,40,241
ER_n40_d0.3,zephyr_4,pathfinder-stacked,5,5,1.0,2.935,0.085,4.4,117.4,0.665,0.101,40,241
ER_n40_d0.3,zephyr_4,pathfinder-thorough,5,5,1.0,2.83,0.105,4.2,113.2,2.234,0.306,40,241
ER_n40_d0.5,pegasus_6,minorminer,5,5,1.0,4.565,0.096,6.4,182.6,1.149,0.341,40,393
ER_n40_d0.5,pegasus_6,minorminer-layout,5,5,1.0,4.72,0.126,6.8,188.8,1.067,0.11,40,393
ER_n40_d0.5,pegasus_6,pathfinder,5,5,1.0,4.445,0.107,6.2,177.8,1.332,0.296,40,393
ER_n40_d0.5,pegasus_6,pathfinder-base,5,5,1.0,4.49,0.137,6.2,179.6,3.857,0.338,40,393
ER_n40_d0.5,pegasus_6,pathfinder-stacked,5,5,1.0,4.475,0.035,6.4,179,1.53,0.257,40,393
ER_n40_d0.5,pegasus_6,pathfinder-thorough,5,5,1.0,4.35,0.082,6,174,5.082,0.851,40,393
ER_n40_d0.5,pegasus_6_broken5,minorminer,5,5,1.0,4.875,0.176,7.2,195,0.752,0.171,40,393
ER_n40_d0.5,pegasus_6_broken5,minorminer-layout,5,5,1.0,4.715,0.192,6.8,188.6,1.059,0.382,40,393
ER_n40_d0.5,pegasus_6_broken5,pathfinder,5,5,1.0,4.755,0.18,7,190.2,1.073,0.188,40,393
ER_n40_d0.5,pegasus_6_broken5,pathfinder-base,5,5,1.0,4.8,0.178,7.2,192,3.236,0.141,40,393
