source,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.3,zephyr_4,reweave-base,0,1,1,1.5,2,30,0.17417687499983003,20,66
ER_n20_d0.3,zephyr_4,reweave-base,1,1,1,1.55,2,31,0.17322054200121784,20,66
ER_n20_d0.3,zephyr_4,reweave-base,2,1,1,1.55,3,31,0.1490427919998183,20,66
ER_n20_d0.3,zephyr_4,reweave-base,3,1,1,1.5,2,30,0.15931812499911757,20,66
ER_n20_d0.3,zephyr_4,reweave-base,4,1,1,1.55,2,31,0.17217516699747648,20,66
ER_n20_d0.3,zephyr_4,reweave,0,1,1,1.5,2,30,0.04603941700042924,20,66
ER_n20_d0.3,zephyr_4,reweave,1,1,1,1.55,2,31,0.04241774999900372,20,66
ER_n20_d0.3,zephyr_4,reweave,2,1,1,1.55,3,31,0.03612887499912176,20,66
ER_n20_d0.3,zephyr_4,reweave,3,1,1,1.5,2,30,0.04537470799914445,20,66
ER_n20_d0.3,zephyr_4,reweave,4,1,1,1.55,2,31,0.04921479199765599,20,66
ER_n20_d0.3,zephyr_4,reweave-thorough,0,1,1,1.5,2,30,0.14127799999914714,20,66
ER_n20_d0.3,zephyr_4,reweave-thorough,1,1,1,1.45,2,29,0.15389416600010009,20,66
ER_n20_d0.3,zephyr_4,reweave-thorough,2,1,1,1.4,2,28,0.16748529100004816,20,66
ER_n20_d0.3,zephyr_4,reweave-thorough,3,1,1,1.45,2,29,0.18042716600029962,20,66
ER_n20_d0.3,zephyr_4,reweave-thorough,4,1,1,1.45,2,29,0.1738761250016978,20,66
ER_n20_d0.3,zephyr_4,reweave-stacked,0,1,1,2.0,4,40,0.09865458299827878,20,66
ER_n20_d0.3,zephyr_4,reweave-stacked,1,1,1,1.85,3,37,0.1174951670000155,20,66
ER_n20_d0.3,zephyr_4,reweave-stacked,2,1,1,1.9,3,38,0.04856279199884739,20,66
ER_n20_d0.3,zephyr_4,reweave-stacked,3,1,1,2.1,4,42,0.08423212500201771,20,66
ER_n20_d0.3,zephyr_4,reweave-stacked,4,1,1,2.1,4,42,0.09376308299761149,20,66
ER_n20_d0.5,pegasus_6,minorminer,0,1,1,2.25,3,45,0.09335987499798648,20,103
ER_n20_d0.5,pegasus_6,minorminer,1,1,1,2.5,4,50,0.04960870899958536,20,103
ER_n20_d0.5,pegasus_6,minorminer,2,1,1,2.2,3,44,0.1362495419998595,20,103
ER_n20_d0.5,pegasus_6,minorminer,3,1,1,2.3,3,46,0.11723524999979418,20,103
ER_n20_d0.5,pegasus_6,minorminer,4,1,1,2.15,3,43,0.08684883299793,20,103
ER_n20_d0.5,pegasus_6,minorminer-layout,0,1,1,2.35,3,47,0.10581008300141548,20,103
ER_n20_d0.5,pegasus_6,minorminer-layout,1,1,1,2.3,3,46,0.10948533399641747,20,103
ER_n20_d0.5,pegasus_6,minorminer-layout,2,1,1,2.45,3,49,0.11082137499761302,20,103
ER_n20_d0.5,pegasus_6,minorminer-layout,3,1,1,2.3,3,46,0.11890424999728566,20,103
ER_n20_d0.5,pegasus_6,minorminer-layout,4,1,1,2.3,3,46,0.10871683299774304,20,103
ER_n20_d0.5,pegasus_6,reweave-base,0,1,1,2.25,3,45,0.43208266600049683,20,103
ER_n20_d0.5,pegasus_6,reweave-base,1,1,1,2.35,3,47,0.7262115000012273,20,103
ER_n20_d0.5,pegasus_6,reweave-base,2,1,1,2.2,3,44,0.4694692919983936,20,103
ER_n20_d0.5,pegasus_6,reweave-base,3,1,1,2.3,3,46,0.47586404100002255,20,103
ER_n20_d0.5,pegasus_6,reweave-base,4,1,1,2.15,3,43,0.4202325000005658,20,103
ER_n20_d0.5,pegasus_6,reweave,0,1,1,2.25,3,45,0.11898474999907194,20,103
ER_n20_d0.5,pegasus_6,reweave,1,1,1,2.35,3,47,0.08321716600039508,20,103
ER_n20_d0.5,pegasus_6,reweave,2,1,1,2.2,3,44,0.16164816599848564,20,103
ER_n20_d0.5,pegasus_6,reweave,3,1,1,2.3,3,46,0.14248991599743022,20,103
ER_n20_d0.5,pegasus_6,reweave,4,1,1,2.15,3,43,0.11303941600272083,20,103
ER_n20_d0.5,pegasus_6,reweave-thorough,0,1,1,2.2,3,44,0.46420424999814713,20,103
ER_n20_d0.5,pegasus_6,reweave-thorough,1,1,1,2.25,3,45,0.596996708001825,20,103
ER_n20_d0.5,pegasus_6,reweave-thorough,2,1,1,2.2,3,44,0.6015755830012495,20,103
ER_n20_d0.5,pegasus_6,reweave-thorough,3,1,1,2.15,3,43,0.7598398340014683,20,103
ER_n20_d0.5,pegasus_6,reweave-thorough,4,1,1,2.15,3,43,0.5172709590005979,20,103
ER_n20_d0.5,pegasus_6,reweave-stacked,0,1,1,2.1,3,42,0.18409120800060919,20,103
ER_n20_d0.5,pegasus_6,reweave-stacked,1,1,1,2.25,3,45,0.30654054100159556,20,103
ER_n20_d0.5,pegasus_6,reweave-stacked,2,1,1,2.3,3,46,0.22389587500219932,20,103
ER_n20_d0.5,pegasus_6,reweave-stacked,3,1,1,2.2,3,44,0.2640179159971012,20,103
