gkey,target,method,eseed,acl,maxchain,qubits
ER_n14_d0.4_g1,pegasus_3_broken5,reweave,0,1.3571428571428572,2,19
ER_n14_d0.4_g1,pegasus_3_broken5,reweave,1,1.3571428571428572,2,19
ER_n14_d0.4_g1,pegasus_3_broken5,reweave-thorough,0,1.2857142857142858,2,18
ER_n14_d0.4_g1,pegasus_3_broken5,reweave-thorough,1,1.2857142857142858,2,18
ER_n14_d0.4_g1,pegasus_3_broken5,mmfork-cuthill,0,1.2857142857142858,2,18
ER_n14_d0.4_g1,pegasus_3_broken5,mmfork-cuthill,1,1.2142857142857142,2,17
ER_n14_d0.4_g1,pegasus_3_broken5,mmfork-portfolio,0,1.2142857142857142,2,17
ER_n14_d0.4_g1,pegasus_3_broken5,mmfork-portfolio,1,1.2142857142857142,2,17
ER_n14_d0.6_g0,pegasus_3,minorminer,0,1.5714285714285714,2,22
ER_n14_d0.6_g0,pegasus_3,minorminer,1,1.4285714285714286,2,20
ER_n14_d0.6_g0,pegasus_3,minorminer-layout,0,1.6428571428571428,3,23
ER_n14_d0.6_g0,pegasus_3,minorminer-layout,1,1.7142857142857142,3,24
ER_n14_d0.6_g0,pegasus_3,reweave,0,1.5714285714285714,2,22
ER_n14_d0.6_g0,pegasus_3,reweave,1,1.4285714285714286,2,20
ER_n14_d0.6_g0,pegasus_3,reweave-thorough,0,1.5,2,21
ER_n14_d0.6_g0,pegasus_3,reweave-thorough,1,1.4285714285714286,2,20
ER_n14_d0.6_g0,pegasus_3,mmfork-cuthill,0,1.5714285714285714,2,22
ER_n14_d0.6_g0,pegasus_3,mmfork-cuthill,1,1.5714285714285714,3,22
ER_n14_d0.6_g0,pegasus_3,mmfork-portfolio,0,1.5714285714285714,2,22
ER_n14_d0.6_g0,pegasus_3,mmfork-portfolio,1,1.4285714285714286,2,20
ER_n14_d0.6_g0,pegasus_3_broken5,minorminer,0,1.7857142857142858,3,25
ER_n14_d0.6_g0,pegasus_3_broken5,minorminer,1,2.0,3,28
ER_n14_d0.6_g0,pegasus_3_broken5,minorminer-layout,0,1.7142857142857142,2,24
ER_n14_d0.6_g0,pegasus_3_broken5,minorminer-layout,1,1.7857142857142858,3,25
ER_n14_d0.6_g0,pegasus_3_broken5,reweave,0,1.7857142857142858,3,25
ER_n14_d0.6_g0,pegasus_3_broken5,reweave,1,2.0,3,28
ER_n14_d0.6_g0,pegasus_3_broken5,reweave-thorough,0,1.5714285714285714,2,22
ER_n14_d0.6_g0,pegasus_3_broken5,reweave-thorough,1,1.5,2,21
ER_n14_d0.6_g0,pegasus_3_broken5,mmfork-cuthill,0,1.5714285714285714,2,22
ER_n14_d0.6_g0,pegasus_3_broken5,mmfork-cuthill,1,1.6428571428571428,2,23
ER_n14_d0.6_g0,pegasus_3_broken5,mmfork-portfolio,0,1.5714285714285714,2,22
ER_n14_d0.6_g0,pegasus_3_broken5,mmfork-portfolio,1,1.5,2,21
ER_n14_d0.6_g1,pegasus_3,minorminer,0,1.9285714285714286,3,27
ER_n14_d0.6_g1,pegasus_3,minorminer,1,1.8571428571428572,3,26
ER_n14_d0.6_g1,pegasus_3,minorminer-layout,0,1.7857142857142858,3,25
ER_n14_d0.6_g1,pegasus_3,minorminer-layout,1,2.0,2,28
ER_n14_d0.6_g1,pegasus_3,reweave,0,1.8571428571428572,3,26
ER_n14_d0.6_g1,pegasus_3,reweave,1,1.8571428571428572,3,26
ER_n14_d0.6_g1,pegasus_3,reweave-thorough,0,1.7142857142857142,2,24
ER_n14_d0.6_g1,pegasus_3,reweave-thorough,1,1.7142857142857142,3,24
ER_n14_d0.6_g1,pegasus_3,mmfork-cuthill,0,1.8571428571428572,3,26
ER_n14_d0.6_g1,pegasus_3,mmfork-cuthill,1,1.8571428571428572,3,26
ER_n14_d0.6_g1,pegasus_3,mmfork-portfolio,0,1.7142857142857142,3,24
ER_n14_d0.6_g1,pegasus_3,mmfork-portfolio,1,1.7857142857142858,3,25
ER_n14_d0.6_g1,pegasus_3_broken5,minorminer,0,1.7142857142857142,3,24
ER_n14_d0.6_g1,pegasus_3_broken5,minorminer,1,1.8571428571428572,2,26
ER_n14_d0.6_g1,pegasus_3_broken5,minorminer-layout,0,1.8571428571428572,3,26
ER_n14_d0.6_g1,pegasus_3_broken5,minorminer-layout,1,1.8571428571428572,3,26
ER_n14_d0.6_g1,pegasus_3_broken5,reweave,0,1.7142857142857142,3,24
ER_n14_d0.6_g1,pegasus_3_broken5,reweave,1,1.8571428571428572,2,26
ER_n14_d0.6_g1,pegasus_3_broken5,reweave-thorough,0,1.7142857142857142,3,24
ER_n14_d0.6_g1,pegasus_3_broken5,reweave-thorough,1,1.7857142857142858,3,25
ER_n14_d0.6_g1,pegasus_3_broken5,mmfork-cuthill,0,1.8571428571428572,3,26
ER_n14_d0.6_g1,pegasus_3_broken5,mmfork-cuthill,1,2.0,3,28
ER_n14_d0.6_g1,pegasus_3_broken5,mmfork-portfolio,0,1.7142857142857142,3,24
ER_n14_d0.6_g1,pegasus_3_broken5,mmfork-portfolio,1,1.7142857142857142,3,24
ER_n14_d0.8_g0,pegasus_3,minorminer,0,1.9285714285714286,3,27
ER_n14_d0.8_g0,pegasus_3,minorminer,1,1.8571428571428572,3,26
ER_n14_d0.8_g0,pegasus_3,minorminer-layout,0,1.9285714285714286,3,27
ER_n14_d0.8_g0,pegasus_3,minorminer-layout,1,2.0,3,28
ER_n14_d0.8_g0,pegasus_3,reweave,0,1.9285714285714286,3,27
ER_n14_d0.8_g0,pegasus_3,reweave,1,1.8571428571428572,3,26
ER_n14_d0.8_g0,pegasus_3,reweave-thorough,0,1.7857142857142858,2,25
ER_n14_d0.8_g0,pegasus_3,reweave-thorough,1,1.7857142857142858,3,25
ER_n14_d0.8_g0,pegasus_3,mmfork-cuthill,0,1.8571428571428572,3,26
ER_n14_d0.8_g0,pegasus_3,mmfork-cuthill,1,1.9285714285714286,3,27
ER_n14_d0.8_g0,pegasus_3,mmfork-portfolio,0,1.8571428571428572,3,26
ER_n14_d0.8_g0,pegasus_3,mmfork-portfolio,1,1.8571428571428572,3,26
ER_n14_d0.8_g0,pegasus_3_broken5,minorminer,0,1.9285714285714286,3,27
ER_n14_d0.8_g0,pegasus_3_broken5,minorminer,1,1.8571428571428572,3,26
ER_n14_d0.8_g0,pegasus_3_broken5,minorminer-layout,0,2.2857142857142856,3,32
ER_n14_d0.8_g0,pegasus_3_broken5,minorminer-layout,1,2.0714285714285716,3,29
ER_n14_d0.8_g0,pegasus_3_broken5,reweave,0,1.9285714285714286,3,27
ER_n14_d0.8_g0,pegasus_3_broken5,reweave,1,1.8571428571428572,3,26
ER_n14_d0.8_g0,pegasus_3_broken5,reweave-thorough,0,1.9285714285714286,3,27
ER_n14_d0.8_g0,pegasus_3_broken5,reweave-thorough,1,1.8571428571428572,3,26
ER_n14_d0.8_g0,pegasus_3_broken5,mmfork-cuthill,0,2.0,3,28
ER_n14_d0.8_g0,pegasus_3_broken5,mmfork-cuthill,1,2.0,3,28
ER_n14_d0.8_g0,pegasus_3_broken5,mmfork-portfolio,0,1.9285714285714286,3,27
ER_n14_d0.8_g0,pegasus_3_broken5,mmfork-portfolio,1,1.8571428571428572,3,26
ER_n14_d0.8_g1,pegasus_3,minorminer,0,2.142857142857143,3,30
ER_n14_d0.8_g1,pegasus_3,minorminer,1,2.0,3,28
ER_n14_d0.8_g1,pegasus_3,minorminer-layout,0,2.0714285714285716,3,29
ER_n14_d0.8_g1,pegasus_3,minorminer-layout,1,2.142857142857143,3,30
ER_n14_d0.8_g1,pegasus_3,reweave,0,2.0714285714285716,3,29
ER_n14_d0.8_g1,pegasus_3,reweave,1,2.0,3,28
ER_n14_d0.8_g1,pegasus_3,reweave-thorough,0,2.0,3,28
ER_n14_d0.8_g1,pegasus_3,reweave-thorough,1,2.0,3,28
ER_n14_d0.8_g1,pegasus_3,mmfork-cuthill,0,2.357142857142857,3,33
ER_n14_d0.8_g1,pegasus_3,mmfork-cuthill,1,2.0714285714285716,3,29
ER_n14_d0.8_g1,pegasus_3,mmfork-portfolio,0,2.0714285714285716,3,29
ER_n14_d0.8_g1,pegasus_3,mmfork-portfolio,1,1.9285714285714286,3,27
ER_n14_d0.8_g1,pegasus_3_broken5,minorminer,0,2.2857142857142856,3,32
ER_n14_d0.8_g1,pegasus_3_broken5,minorminer,1,2.2142857142857144,3,31
ER_n14_d0.8_g1,pegasus_3_broken5,minorminer-layout,0,2.2857142857142856,3,32
ER_n14_d0.8_g1,pegasus_3_broken5,minorminer-layout,1,2.2142857142857144,3,31
ER_n14_d0.8_g1,pegasus_3_broken5,reweave,0,2.2857142857142856,3,32
ER_n14_d0.8_g1,pegasus_3_broken5,reweave,1,2.2142857142857144,3,31
ER_n14_d0.8_g1,pegasus_3_broken5,reweave-thorough,0,2.0,3,28
ER_n14_d0.8_g1,pegasus_3_broken5,reweave-thorough,1,2.0714285714285716,3,29
ER_n14_d0.8_g1,pegasus_3_broken5,mmfork-cuthill,0,2.2142857142857144,3,31
ER_n14_d0.8_g1,pegasus_3_broken5,mmfork-cuthill,1,2.2142857142857144,3,31
ER_n14_d0.8_g1,pegasus_3_broken5,mmfork-portfolio,0,1.9285714285714286,3,27
ER_n14_d0.8_g1,pegasus_3_broken5,mmfork-portfolio,1,1.9285714285714286,3,27
ER_n16_d0.4_g0,pegasus_3,minorminer,0,1.25,2,20
ER_n16_d0.4_g0,pegasus_3,minorminer,1,1.1875,2,19
ER_n16_d0.4_g0,pegasus_3,minorminer-layout,0,1.25,2,20
ER_n16_d0.4_g0,pegasus_3,minorminer-layout,1,1.125,2,18
ER_n16_d0.4_g0,pegasus_3,reweave,0,1.25,2,20
ER_n16_d0.4_g0,pegasus_3,reweave,1,1.1875,2,19
ER_n16_d0.4_g0,pegasus_3,reweave-thorough,0,1.1875,2,19
ER_n16_d0.4_g0,pegasus_3,reweave-thorough,1,1.125,2,18
ER_n16_d0.4_g0,pegasus_3,mmfork-cuthill,0,1.125,2,18
ER_n16_d0.4_g0,pegasus_3,mmfork-cuthill,1,1.25,2,20
ER_n16_d0.4_g0,pegasus_3,mmfork-portfolio,0,1.125,2,18
ER_n16_d0.4_g0,pegasus_3,mmfork-portfolio,1,1.1875,2,19
ER_n16_d0.4_g0,pegasus_3_broken5,minorminer,0,1.25,2,20
ER_n16_d0.4_g0,pegasus_3_broken5,minorminer,1,1.25,2,20
ER_n16_d0.4_g0,pegasus_3_broken5,minorminer-layout,0,1.1875,2,19
ER_n16_d0.4_g0,pegasus_3_broken5,minorminer-layout,1,1.25,2,20
ER_n16_d0.4_g0,pegasus_3_broken5,reweave,0,1.25,2,20
ER_n16_d0.4_g0,pegasus_3_broken5,reweave,1,1.25,2,20
ER_n16_d0.4_g0,pegasus_3_broken5,reweave-thorough,0,1.1875,2,19
ER_n16_d0.4_g0,pegasus_3_broken5,reweave-thorough,1,1.1875,2,19
ER_n16_d0.4_g0,pegasus_3_broken5,mmfork-cuthill,0,1.1875,2,19
ER_n16_d0.4_g0,pegasus_3_broken5,mmfork-cuthill,1,1.1875,2,19
ER_n16_d0.4_g0,pegasus_3_broken5,mmfork-portfolio,0,1.1875,2,19
ER_n16_d0.4_g0,pegasus_3_broken5,mmfork-portfolio,1,1.1875,2,19
ER_n16_d0.4_g1,pegasus_3,minorminer,0,1.375,2,22
ER_n16_d0.4_g1,pegasus_3,minorminer,1,1.4375,2,23
ER_n16_d0.4_g1,pegasus_3,minorminer-layout,0,1.625,2,26
ER_n16_d0.4_g1,pegasus_3,minorminer-layout,1,1.625,3,26
ER_n16_d0.4_g1,pegasus_3,reweave,0,1.375,2,22
ER_n16_d0.4_g1,pegasus_3,reweave,1,1.4375,2,23
ER_n16_d0.4_g1,pegasus_3,reweave-thorough,0,1.1875,2,19
ER_n16_d0.4_g1,pegasus_3,reweave-thorough,1,1.3125,2,21
ER_n16_d0.4_g1,pegasus_3,mmfork-cuthill,0,1.3125,2,21
ER_n16_d0.4_g1,pegasus_3,mmfork-cuthill,1,1.4375,3,23
ER_n16_d0.4_g1,pegasus_3,mmfork-portfolio,0,1.3125,2,21
ER_n16_d0.4_g1,pegasus_3,mmfork-portfolio,1,1.3125,2,21
ER_n16_d0.4_g1,pegasus_3_broken5,minorminer,0,1.5,2,24
ER_n16_d0.4_g1,pegasus_3_broken5,minorminer,1,1.5,3,24
ER_n16_d0.4_g1,pegasus_3_broken5,minorminer-layout,0,1.5,3,24
ER_n16_d0.4_g1,pegasus_3_broken5,minorminer-layout,1,1.5625,3,25
ER_n16_d0.4_g1,pegasus_3_broken5,reweave,0,1.5,2,24
ER_n16_d0.4_g1,pegasus_3_broken5,reweave,1,1.5,3,24
ER_n16_d0.4_g1,pegasus_3_broken5,reweave-thorough,0,1.3125,2,21
ER_n16_d0.4_g1,pegasus_3_broken5,reweave-thorough,1,1.3125,2,21
ER_n16_d0.4_g1,pegasus_3_broken5,mmfork-cuthill,0,1.375,2,22
ER_n16_d0.4_g1,pegasus_3_broken5,mmfork-cuthill,1,1.4375,2,23
ER_n16_d0.4_g1,pegasus_3_broken5,mmfork-portfolio,0,1.375,2,22
ER_n16_d0.4_g1,pegasus_3_broken5,mmfork-portfolio,1,1.25,2,20
ER_n16_d0.6_g0,pegasus_3,minorminer,0,1.875,3,30
ER_n16_d0.6_g0,pegasus_3,minorminer,1,1.9375,3,31
ER_n16_d0.6_g0,pegasus_3,minorminer-layout,0,1.9375,3,31
ER_n16_d0.6_g0,pegasus_3,minorminer-layout,1,2.0625,3,33
ER_n16_d0.6_g0,pegasus_3,reweave,0,1.875,3,30
ER_n16_d0.6_g0,pegasus_3,reweave,1,1.9375,3,31
ER_n16_d0.6_g0,pegasus_3,reweave-thorough,0,1.8125,3,29
ER_n16_d0.6_g0,pegasus_3,reweave-thorough,1,1.875,3,30
ER_n16_d0.6_g0,pegasus_3,mmfork-cuthill,0,1.75,3,28
ER_n16_d0.6_g0,pegasus_3,mmfork-cuthill,1,1.9375,3,31
ER_n16_d0.6_g0,pegasus_3,mmfork-portfolio,0,1.75,3,28
ER_n16_d0.6_g0,pegasus_3,mmfork-portfolio,1,1.8125,3,29
ER_n16_d0.6_g0,pegasus_3_broken5,minorminer,0,2.0,3,32
ER_n16_d0.6_g0,pegasus_3_broken5,minorminer,1,1.9375,3,31
ER_n16_d0.6_g0,pegasus_3_broken5,minorminer-layout,0,1.8125,3,29
ER_n16_d0.6_g0,pegasus_3_broken5,minorminer-layout,1,2.125,3,34
ER_n16_d0.6_g0,pegasus_3_broken5,reweave,0,2.0,3,32
ER_n16_d0.6_g0,pegasus_3_broken5,reweave,1,1.9375,3,31
ER_n16_d0.6_g0,pegasus_3_broken5,reweave-thorough,0,1.8125,3,29
ER_n16_d0.6_g0,pegasus_3_broken5,reweave-thorough,1,1.875,3,30
ER_n16_d0.6_g0,pegasus_3_broken5,mmfork-cuthill,0,1.8125,3,29
ER_n16_d0.6_g0,pegasus_3_broken5,mmfork-cuthill,1,1.9375,3,31
ER_n16_d0.6_g0,pegasus_3_broken5,mmfork-portfolio,0,1.8125,3,29
ER_n16_d0.6_g0,pegasus_3_broken5,mmfork-portfolio,1,1.8125,3,29
ER_n16_d0.6_g1,pegasus_3,minorminer,0,2.0,3,32
ER_n16_d0.6_g1,pegasus_3,minorminer,1,2.0625,3,33
ER_n16_d0.6_g1,pegasus_3,minorminer-layout,0,2.0,3,32
ER_n16_d0.6_g1,pegasus_3,minorminer-layout,1,2.125,3,34
ER_n16_d0.6_g1,pegasus_3,reweave,0,2.0,3,32
ER_n16_d0.6_g1,pegasus_3,reweave,1,2.0625,3,33
ER_n16_d0.6_g1,pegasus_3,reweave-thorough,0,1.9375,3,31
ER_n16_d0.6_g1,pegasus_3,reweave-thorough,1,2.0,3,32
ER_n16_d0.6_g1,pegasus_3,mmfork-cuthill,0,2.125,3,34
ER_n16_d0.6_g1,pegasus_3,mmfork-cuthill,1,2.0,3,32
ER_n16_d0.6_g1,pegasus_3,mmfork-portfolio,0,2.0,3,32
ER_n16_d0.6_g1,pegasus_3,mmfork-portfolio,1,2.0,3,32
ER_n16_d0.6_g1,pegasus_3_broken5,minorminer,0,2.1875,3,35
ER_n16_d0.6_g1,pegasus_3_broken5,minorminer,1,2.125,3,34
ER_n16_d0.6_g1,pegasus_3_broken5,minorminer-layout,0,2.0625,3,33
ER_n16_d0.6_g1,pegasus_3_broken5,minorminer-layout,1,2.1875,3,35
ER_n16_d0.6_g1,pegasus_3_broken5,reweave,0,2.1875,3,35
ER_n16_d0.6_g1,pegasus_3_broken5,reweave,1,2.125,3,34
ER_n16_d0.6_g1,pegasus_3_broken5,reweave-thorough,0,2.0625,3,33
ER_n16_d0.6_g1,pegasus_3_broken5,reweave-thorough,1,2.125,3,34
ER_n16_d0.6_g1,pegasus_3_broken5,mmfork-cuthill,0,2.125,3,34
ER_n16_d0.6_g1,pegasus_3_broken5,mmfork-cuthill,1,2.125,3,34
ER_n16_d0.6_g1,pegasus_3_broken5,mmfork-portfolio,0,1.9375,3,31
ER_n16_d0.6_g1,pegasus_3_broken5,mmfork-portfolio,1,2.0,3,32
ER_n16_d0.8_g0,pegasus_3,minorminer,0,2.1875,3,35
ER_n16_d0.8_g0,pegasus_3,minorminer,1,2.1875,3,35
ER_n16_d0.8_g0,pegasus_3,minorminer-layout,0,2.1875,3,35
ER_n16_d0.8_g0,pegasus_3,minorminer-layout,1,2.125,3,34
ER_n16_d0.8_g0,pegasus_3,reweave,0,2.1875,3,35
ER_n16_d0.8_g0,pegasus_3,reweave,1,2.1875,3,35
ER_n16_d0.8_g0,pegasus_3,reweave-thorough,0,2.125,3,34
ER_n16_d0.8_g0,pegasus_3,reweave-thorough,1,2.0625,3,33
ER_n16_d0.8_g0,pegasus_3,mmfork-cuthill,0,2.375,3,38
ER_n16_d0.8_g0,pegasus_3,mmfork-cuthill,1,2.1875,3,35
ER_n16_d0.8_g0,pegasus_3,mmfork-portfolio,0,2.0,3,32
ER_n16_d0.8_g0,pegasus_3,mmfork-portfolio,1,2.125,3,34
ER_n16_d0.8_g0,pegasus_3_broken5,minorminer,0,2.375,3,38
ER_n16_d0.8_g0,pegasus_3_broken5,minorminer,1,2.1875,3,35
ER_n16_d0.8_g0,pegasus_3_broken5,minorminer-layout,0,2.125,3,34
ER_n16_d0.8_g0,pegasus_3_broken5,minorminer-layout,1,2.1875,3,35
ER_n16_d0.8_g0,pegasus_3_broken5,reweave,0,2.375,3,38
ER_n16_d0.8_g0,pegasus_3_broken5,reweave,1,2.1875,3,35
ER_n16_d0.8_g0,pegasus_3_broken5,reweave-thorough,0,2.1875,3,35
ER_n16_d0.8_g0,pegasus_3_broken5,reweave-thorough,1,2.1875,3,35
ER_n16_d0.8_g0,pegasus_3_broken5,mmfork-cuthill,0,2.125,3,34
ER_n16_d0.8_g0,pegasus_3_broken5,mmfork-cuthill,1,2.25,3,36
ER_n16_d0.8_g0,pegasus_3_broken5,mmfork-portfolio,0,2.125,3,34
ER_n16_d0.8_g0,pegasus_3_broken5,mmfork-portfolio,1,2.1875,3,35
ER_n16_d0.8_g1,pegasus_3,minorminer,0,2.3125,3,37
ER_n16_d0.8_g1,pegasus_3,minorminer,1,2.3125,3,37
ER_n16_d0.8_g1,pegasus_3,minorminer-layout,0,2.375,3,38
ER_n16_d0.8_g1,pegasus_3,minorminer-layout,1,2.375,3,38
ER_n16_d0.8_g1,pegasus_3,reweave,0,2.3125,3,37
ER_n16_d0.8_g1,pegasus_3,reweave,1,2.3125,3,37
ER_n16_d0.8_g1,pegasus_3,reweave-thorough,0,2.25,3,36
ER_n16_d0.8_g1,pegasus_3,reweave-thorough,1,2.25,3,36
ER_n16_d0.8_g1,pegasus_3,mmfork-cuthill,0,2.3125,3,37
ER_n16_d0.8_g1,pegasus_3,mmfork-cuthill,1,2.375,3,38
ER_n16_d0.8_g1,pegasus_3,mmfork-portfolio,0,2.25,3,36
ER_n16_d0.8_g1,pegasus_3,mmfork-portfolio,1,2.1875,3,35
ER_n16_d0.8_g1,pegasus_3_broken5,minorminer,0,2.375,3,38
ER_n16_d0.8_g1,pegasus_3_broken5,minorminer,1,2.5,3,40
ER_n16_d0.8_g1,pegasus_3_broken5,minorminer-layout,0,2.375,3,38
ER_n16_d0.8_g1,pegasus_3_broken5,minorminer-layout,1,2.375,3,38
ER_n16_d0.8_g1,pegasus_3_broken5,reweave,0,2.375,3,38
ER_n16_d0.8_g1,pegasus_3_broken5,reweave,1,2.4375,3,39
ER_n16_d0.8_g1,pegasus_3_broken5,reweave-thorough,0,2.375,3,38
ER_n16_d0.8_g1,pegasus_3_broken5,reweave-thorough,1,2.3125,3,37
ER_n16_d0.8_g1,pegasus_3_broken5,mmfork-cuthill,0,2.375,3,38
ER_n16_d0.8_g1,pegasus_3_broken5,mmfork-cuthill,1,2.3125,3,37
ER_n16_d0.8_g1,pegasus_3_broken5,mmfork-portfolio,0,2.25,3,36
ER_n16_d0.8_g1,pegasus_3_broken5,mmfork-portfolio,1,2.25,3,36
ER_n18_d0.4_g0,pegasus_3,minorminer,0,1.6111111111111112,3,29
ER_n18_d0.4_g0,pegasus_3,minorminer,1,1.5,2,27
ER_n18_d0.4_g0,pegasus_3,minorminer-layout,0,1.6111111111111112,3,29
ER_n18_d0.4_g0,pegasus_3,minorminer-layout,1,1.5,2,27
ER_n18_d0.4_g0,pegasus_3,reweave,0,1.6111111111111112,3,29
ER_n18_d0.4_g0,pegasus_3,reweave,1,1.5,2,27
ER_n18_d0.4_g0,pegasus_3,reweave-thorough,0,1.3888888888888888,2,25
ER_n18_d0.4_g0,pegasus_3,reweave-thorough,1,1.5,2,27
ER_n18_d0.4_g0,pegasus_3,mmfork-cuthill,0,1.5555555555555556,2,28
ER_n18_d0.4_g0,pegasus_3,mmfork-cuthill,1,1.6111111111111112,2,29
ER_n18_d0.4_g0,pegasus_3,mmfork-portfolio,0,1.5,2,27
ER_n18_d0.4_g0,pegasus_3,mmfork-portfolio,1,1.4444444444444444,2,26
ER_n18_d0.4_g0,pegasus_3_broken5,minorminer,0,1.4444444444444444,2,26
ER_n18_d0.4_g0,pegasus_3_broken5,minorminer,1,1.7222222222222223,3,31
ER_n18_d0.4_g0,pegasus_3_broken5,minorminer-layout,0,1.4444444444444444,3,26
ER_n18_d0.4_g0,pegasus_3_broken5,minorminer-layout,1,1.4444444444444444,2,26
ER_n18_d0.4_g0,pegasus_3_broken5,reweave,0,1.4444444444444444,2,26
ER_n18_d0.4_g0,pegasus_3_broken5,reweave,1,1.7222222222222223,3,31
ER_n18_d0.4_g0,pegasus_3_broken5,reweave-thorough,0,1.4444444444444444,2,26
ER_n18_d0.4_g0,pegasus_3_broken5,reweave-thorough,1,1.5555555555555556,2,28
ER_n18_d0.4_g0,pegasus_3_broken5,mmfork-cuthill,0,1.5,3,27
ER_n18_d0.4_g0,pegasus_3_broken5,mmfork-cuthill,1,1.7777777777777777,3,32
ER_n18_d0.4_g0,pegasus_3_broken5,mmfork-portfolio,0,1.3888888888888888,3,25
ER_n18_d0.4_g0,pegasus_3_broken5,mmfork-portfolio,1,1.5,3,27
ER_n18_d0.4_g1,pegasus_3,minorminer,0,1.7222222222222223,3,31
ER_n18_d0.4_g1,pegasus_3,minorminer,1,1.8333333333333333,3,33
ER_n18_d0.4_g1,pegasus_3,minorminer-layout,0,1.8333333333333333,3,33
ER_n18_d0.4_g1,pegasus_3,minorminer-layout,1,1.7222222222222223,3,31
ER_n18_d0.4_g1,pegasus_3,reweave,0,1.7222222222222223,3,31
ER_n18_d0.4_g1,pegasus_3,reweave,1,1.8333333333333333,3,33
ER_n18_d0.4_g1,pegasus_3,reweave-thorough,0,1.6666666666666667,3,30
ER_n18_d0.4_g1,pegasus_3,reweave-thorough,1,1.7222222222222223,3,31
ER_n18_d0.4_g1,pegasus_3,mmfork-cuthill,0,1.7777777777777777,3,32
ER_n18_d0.4_g1,pegasus_3,mmfork-cuthill,1,1.8333333333333333,3,33
ER_n18_d0.4_g1,pegasus_3,mmfork-portfolio,0,1.6666666666666667,3,30
ER_n18_d0.4_g1,pegasus_3,mmfork-portfolio,1,1.6666666666666667,3,30
ER_n18_d0.4_g1,pegasus_3_broken5,minorminer,0,1.8333333333333333,3,33
ER_n18_d0.4_g1,pegasus_3_broken5,minorminer,1,1.9444444444444444,3,35
ER_n18_d0.4_g1,pegasus_3_broken5,minorminer-layout,0,1.8888888888888888,3,34
ER_n18_d0.4_g1,pegasus_3_broken5,minorminer-layout,1,1.7777777777777777,3,32
ER_n18_d0.4_g1,pegasus_3_broken5,reweave,0,1.8333333333333333,3,33
ER_n18_d0.4_g1,pegasus_3_broken5,reweave,1,1.9444444444444444,3,35
ER_n18_d0.4_g1,pegasus_3_broken5,reweave-thorough,0,1.5555555555555556,2,28
ER_n18_d0.4_g1,pegasus_3_broken5,reweave-thorough,1,1.7777777777777777,3,32
ER_n18_d0.4_g1,pegasus_3_broken5,mmfork-cuthill,0,1.7222222222222223,3,31
ER_n18_d0.4_g1,pegasus_3_broken5,mmfork-cuthill,1,1.8333333333333333,3,33
ER_n18_d0.4_g1,pegasus_3_broken5,mmfork-portfolio,0,1.5,2,27
ER_n18_d0.4_g1,pegasus_3_broken5,mmfork-portfolio,1,1.6111111111111112,3,29
ER_n18_d0.6_g0,pegasus_3,minorminer,0,2.0555555555555554,3,37
ER_n18_d0.6_g0,pegasus_3,minorminer,1,2.1666666666666665,3,39
ER_n18_d0.6_g0,pegasus_3,minorminer-layout,0,2.111111111111111,3,38
ER_n18_d0.6_g0,pegasus_3,minorminer-layout,1,2.2222222222222223,3,40
ER_n18_d0.6_g0,pegasus_3,reweave,0,2.0555555555555554,3,37
ER_n18_d0.6_g0,pegasus_3,reweave,1,2.1666666666666665,3,39
ER_n18_d0.6_g0,pegasus_3,reweave-thorough,0,2.0,3,36
ER_n18_d0.6_g0,pegasus_3,reweave-thorough,1,2.111111111111111,3,38
ER_n18_d0.6_g0,pegasus_3,mmfork-cuthill,0,2.1666666666666665,3,39
ER_n18_d0.6_g0,pegasus_3,mmfork-cuthill,1,1.8888888888888888,3,34
ER_n18_d0.6_g0,pegasus_3,mmfork-portfolio,0,1.9444444444444444,3,35
ER_n18_d0.6_g0,pegasus_3,mmfork-portfolio,1,1.8888888888888888,3,34
ER_n18_d0.6_g0,pegasus_3_broken5,minorminer,0,2.1666666666666665,3,39
ER_n18_d0.6_g0,pegasus_3_broken5,minorminer,1,2.111111111111111,3,38
ER_n18_d0.6_g0,pegasus_3_broken5,minorminer-layout,0,2.4444444444444446,3,44
ER_n18_d0.6_g0,pegasus_3_broken5,minorminer-layout,1,2.2222222222222223,3,40
ER_n18_d0.6_g0,pegasus_3_broken5,reweave,0,2.1666666666666665,3,39
ER_n18_d0.6_g0,pegasus_3_broken5,reweave,1,2.111111111111111,3,38
ER_n18_d0.6_g0,pegasus_3_broken5,reweave-thorough,0,2.111111111111111,3,38
ER_n18_d0.6_g0,pegasus_3_broken5,reweave-thorough,1,2.0555555555555554,3,37
ER_n18_d0.6_g0,pegasus_3_broken5,mmfork-cuthill,0,2.111111111111111,3,38
ER_n18_d0.6_g0,pegasus_3_broken5,mmfork-cuthill,1,2.1666666666666665,3,39
ER_n18_d0.6_g0,pegasus_3_broken5,mmfork-portfolio,0,2.111111111111111,3,38
ER_n18_d0.6_g0,pegasus_3_broken5,mmfork-portfolio,1,2.111111111111111,3,38
ER_n18_d0.6_g1,pegasus_3,minorminer,0,2.388888888888889,3,43
ER_n18_d0.6_g1,pegasus_3,minorminer,1,2.3333333333333335,3,42
ER_n18_d0.6_g1,pegasus_3,minorminer-layout,0,2.3333333333333335,3,42
ER_n18_d0.6_g1,pegasus_3,minorminer-layout,1,2.2777777777777777,3,41
