cell,instance,algorithm,seed,success,valid,avg_chain_length,total_qubits_used,wall_time
ER_n20_d0.7,2,reweave-ablate-both,2,1,1,2.6,52,0.24236408399883658
ER_n20_d0.7,3,minorminer,0,1,1,2.6,52,0.24088970900629647
ER_n20_d0.7,3,minorminer,1,1,1,2.7,54,0.17683920802664943
ER_n20_d0.7,3,minorminer,2,1,1,2.55,51,0.4213633749750443
ER_n20_d0.7,3,reweave,0,1,1,2.55,51,0.2919724580133334
ER_n20_d0.7,3,reweave,1,1,1,2.7,54,0.20946720900246873
ER_n20_d0.7,3,reweave,2,1,1,2.45,49,0.5116876660031267
ER_n20_d0.7,3,reweave-ablate-paths,0,1,1,2.55,51,0.26016695899306796
ER_n20_d0.7,3,reweave-ablate-paths,1,1,1,2.7,54,0.197153791988967
ER_n20_d0.7,3,reweave-ablate-paths,2,1,1,2.45,49,0.5187518330058083
ER_n20_d0.7,3,reweave-ablate-nocong,0,1,1,2.55,51,0.33037820798926987
ER_n20_d0.7,3,reweave-ablate-nocong,1,1,1,2.65,53,0.3083768750075251
ER_n20_d0.7,3,reweave-ablate-nocong,2,1,1,2.45,49,0.5689216250029858
ER_n20_d0.7,3,reweave-ablate-both,0,1,1,2.6,52,0.37209562500356697
ER_n20_d0.7,3,reweave-ablate-both,1,1,1,2.7,54,0.28435337499831803
ER_n20_d0.7,3,reweave-ablate-both,2,1,1,2.55,51,0.5452567090105731
ER_n20_d0.7,4,minorminer,0,1,1,2.45,49,0.4321352499828208
ER_n20_d0.7,4,minorminer,1,1,1,2.55,51,0.15782595798373222
ER_n20_d0.7,4,minorminer,2,1,1,2.55,51,0.15887820802163333
ER_n20_d0.7,4,reweave,0,1,1,2.45,49,0.5083865830092691
ER_n20_d0.7,4,reweave,1,1,1,2.55,51,0.2215742499975022
ER_n20_d0.7,4,reweave,2,1,1,2.55,51,0.20662341598654166
ER_n20_d0.7,4,reweave-ablate-paths,0,1,1,2.45,49,0.47247995901852846
ER_n20_d0.7,4,reweave-ablate-paths,1,1,1,2.55,51,0.23268349998397753
ER_n20_d0.7,4,reweave-ablate-paths,2,1,1,2.55,51,0.2139684169960674
ER_n20_d0.7,4,reweave-ablate-nocong,0,1,1,2.45,49,0.5137792079767678
ER_n20_d0.7,4,reweave-ablate-nocong,1,1,1,2.55,51,0.2538910000002943
ER_n20_d0.7,4,reweave-ablate-nocong,2,1,1,2.55,51,0.26028166597825475
ER_n20_d0.7,4,reweave-ablate-both,0,1,1,2.45,49,0.521180292009376
ER_n20_d0.7,4,reweave-ablate-both,1,1,1,2.55,51,0.22463666700059548
ER_n20_d0.7,4,reweave-ablate-both,2,1,1,2.55,51,0.22292916700826026
ER_n30_d0.5,0,minorminer,0,1,1,3.5,105,0.6321941670030355
ER_n30_d0.5,0,minorminer,1,1,1,3.3333333333333335,100,0.6008095419965684
ER_n30_d0.5,0,minorminer,2,1,1,3.2333333333333334,97,1.4537489580106921
ER_n30_d0.5,0,reweave,0,1,1,3.4,102,0.8394443749857601
ER_n30_d0.5,0,reweave,1,1,1,3.3333333333333335,100,0.7223047919978853
ER_n30_d0.5,0,reweave,2,1,1,3.1333333333333333,94,1.7137747500091791
ER_n30_d0.5,0,reweave-ablate-paths,0,1,1,3.4,102,0.8355448750080541
ER_n30_d0.5,0,reweave-ablate-paths,1,1,1,3.3333333333333335,100,0.7111240419908427
ER_n30_d0.5,0,reweave-ablate-paths,2,1,1,3.2,96,1.7317073750018608
ER_n30_d0.5,0,reweave-ablate-nocong,0,1,1,3.3333333333333335,100,1.116218042006949
ER_n30_d0.5,0,reweave-ablate-nocong,1,1,1,3.3333333333333335,100,0.9767887920024805
ER_n30_d0.5,0,reweave-ablate-nocong,2,1,1,3.2,96,1.913651791983284
ER_n30_d0.5,0,reweave-ablate-both,0,1,1,3.4,102,1.0934148329833988
ER_n30_d0.5,0,reweave-ablate-both,1,1,1,3.3333333333333335,100,0.9935800419771113
ER_n30_d0.5,0,reweave-ablate-both,2,1,1,3.2,96,1.899036624992732
ER_n30_d0.5,1,minorminer,0,1,1,3.566666666666667,107,1.391329499980202
ER_n30_d0.5,1,minorminer,1,1,1,3.6,108,0.37605045799864456
ER_n30_d0.5,1,minorminer,2,1,1,3.566666666666667,107,0.5033080419816542
ER_n30_d0.5,1,reweave,0,1,1,3.466666666666667,104,1.672536083002342
ER_n30_d0.5,1,reweave,1,1,1,3.5,105,0.5858914589916822
ER_n30_d0.5,1,reweave,2,1,1,3.466666666666667,104,0.6994204160000663
ER_n30_d0.5,1,reweave-ablate-paths,0,1,1,3.5,105,1.7192932500038296
ER_n30_d0.5,1,reweave-ablate-paths,1,1,1,3.5,105,0.5651122499839403
ER_n30_d0.5,1,reweave-ablate-paths,2,1,1,3.466666666666667,104,0.7005320409953129
ER_n30_d0.5,1,reweave-ablate-nocong,0,1,1,3.4,102,1.9608022499887738
ER_n30_d0.5,1,reweave-ablate-nocong,1,1,1,3.5,105,0.730984374997206
ER_n30_d0.5,1,reweave-ablate-nocong,2,1,1,3.466666666666667,104,0.8461819999793079
ER_n30_d0.5,1,reweave-ablate-both,0,1,1,3.5,105,1.8968709170003422
ER_n30_d0.5,1,reweave-ablate-both,1,1,1,3.5,105,0.860119165998185
ER_n30_d0.5,1,reweave-ablate-both,2,1,1,3.466666666666667,104,0.9545825000095647
ER_n30_d0.5,2,minorminer,0,1,1,3.1333333333333333,94,1.3195662499929313
ER_n30_d0.5,2,minorminer,1,1,1,3.2666666666666666,98,0.5592946660181042
ER_n30_d0.5,2,minorminer,2,1,1,3.4,102,0.9809736250026617
ER_n30_d0.5,2,reweave,0,1,1,3.1,93,1.4397334170062095
ER_n30_d0.5,2,reweave,1,1,1,3.2,96,0.6501229579735082
ER_n30_d0.5,2,reweave,2,1,1,3.3333333333333335,100,1.0928016669931822
ER_n30_d0.5,2,reweave-ablate-paths,0,1,1,3.1,93,1.4962297079910059
ER_n30_d0.5,2,reweave-ablate-paths,1,1,1,3.2,96,0.7481775830092374
ER_n30_d0.5,2,reweave-ablate-paths,2,1,1,3.3,99,1.1714482079842128
ER_n30_d0.5,2,reweave-ablate-nocong,0,1,1,3.1,93,1.6516639580077026
ER_n30_d0.5,2,reweave-ablate-nocong,1,1,1,3.2,96,0.9434376249846537
ER_n30_d0.5,2,reweave-ablate-nocong,2,1,1,3.3333333333333335,100,1.4349192079971544
ER_n30_d0.5,2,reweave-ablate-both,0,1,1,3.1,93,1.5433406660158653
ER_n30_d0.5,2,reweave-ablate-both,1,1,1,3.2,96,0.8586416250036564
ER_n30_d0.5,2,reweave-ablate-both,2,1,1,3.3333333333333335,100,1.2913935410033446
ER_n30_d0.5,3,minorminer,0,1,1,3.1666666666666665,95,1.1969052079948597
ER_n30_d0.5,3,minorminer,1,1,1,3.2333333333333334,97,1.0188271250226535
ER_n30_d0.5,3,minorminer,2,1,1,3.3333333333333335,100,0.628210750001017
ER_n30_d0.5,3,reweave,0,1,1,3.1666666666666665,95,1.1853373750054743
ER_n30_d0.5,3,reweave,1,1,1,3.1666666666666665,95,1.0311685409978963
ER_n30_d0.5,3,reweave,2,1,1,3.2666666666666666,98,0.6589118329866324
ER_n30_d0.5,3,reweave-ablate-paths,0,1,1,3.1666666666666665,95,1.1732696249964647
ER_n30_d0.5,3,reweave-ablate-paths,1,1,1,3.1666666666666665,95,0.9933776250109076
ER_n30_d0.5,3,reweave-ablate-paths,2,1,1,3.2666666666666666,98,0.6251042080111802
ER_n30_d0.5,3,reweave-ablate-nocong,0,1,1,3.1666666666666665,95,1.3353852089785505
ER_n30_d0.5,3,reweave-ablate-nocong,1,1,1,3.1666666666666665,95,1.1947237080021296
ER_n30_d0.5,3,reweave-ablate-nocong,2,1,1,3.2666666666666666,98,0.9271999170014169
ER_n30_d0.5,3,reweave-ablate-both,0,1,1,3.1666666666666665,95,1.4609202920109965
ER_n30_d0.5,3,reweave-ablate-both,1,1,1,3.1666666666666665,95,1.1231078749988228
ER_n30_d0.5,3,reweave-ablate-both,2,1,1,3.2333333333333334,97,0.8841697910102084
ER_n30_d0.5,4,minorminer,0,1,1,3.4,102,0.4229046670079697
ER_n30_d0.5,4,minorminer,1,1,1,3.3,99,0.9733663749939296
ER_n30_d0.5,4,minorminer,2,1,1,3.3666666666666667,101,0.9283484159968793
ER_n30_d0.5,4,reweave,0,1,1,3.3666666666666667,101,0.6656042079848703
ER_n30_d0.5,4,reweave,1,1,1,3.2666666666666666,98,1.1040274999977555
ER_n30_d0.5,4,reweave,2,1,1,3.3666666666666667,101,1.0023917499929667
ER_n30_d0.5,4,reweave-ablate-paths,0,1,1,3.3666666666666667,101,0.6399349169805646
ER_n30_d0.5,4,reweave-ablate-paths,1,1,1,3.2666666666666666,98,1.0517250830016565
ER_n30_d0.5,4,reweave-ablate-paths,2,1,1,3.3666666666666667,101,0.9085532920144033
ER_n30_d0.5,4,reweave-ablate-nocong,0,1,1,3.3666666666666667,101,0.6685035840200726
ER_n30_d0.5,4,reweave-ablate-nocong,1,1,1,3.2666666666666666,98,1.118530333013041
ER_n30_d0.5,4,reweave-ablate-nocong,2,1,1,3.3666666666666667,101,1.0978628330049105
ER_n30_d0.5,4,reweave-ablate-both,0,1,1,3.3666666666666667,101,0.7037910410144832
ER_n30_d0.5,4,reweave-ablate-both,1,1,1,3.2666666666666666,98,1.1610881660017185
ER_n30_d0.5,4,reweave-ablate-both,2,1,1,3.3666666666666667,101,1.0931395000079647
ER_n30_d0.7,0,minorminer,0,1,1,3.6333333333333333,109,2.2858573330158833
ER_n30_d0.7,0,minorminer,1,1,1,4.233333333333333,127,1.0207378329942003
ER_n30_d0.7,0,minorminer,2,1,1,3.8666666666666667,116,0.8571747919777408
ER_n30_d0.7,0,reweave,0,1,1,3.6,108,2.4077291669964325
ER_n30_d0.7,0,reweave,1,1,1,4.133333333333334,124,1.2408505830098875
ER_n30_d0.7,0,reweave,2,1,1,3.8,114,0.9459391670243349
ER_n30_d0.7,0,reweave-ablate-paths,0,1,1,3.6,108,2.341685999999754
ER_n30_d0.7,0,reweave-ablate-paths,1,1,1,4.133333333333334,124,1.2738366250123363
ER_n30_d0.7,0,reweave-ablate-paths,2,1,1,3.8,114,0.9770188330148812
ER_n30_d0.7,0,reweave-ablate-nocong,0,1,1,3.6,108,2.6021208750025835
ER_n30_d0.7,0,reweave-ablate-nocong,1,1,1,4.166666666666667,125,1.5633027919975575
ER_n30_d0.7,0,reweave-ablate-nocong,2,1,1,3.8,114,1.293707083008485
ER_n30_d0.7,0,reweave-ablate-both,0,1,1,3.6,108,2.595645749999676
ER_n30_d0.7,0,reweave-ablate-both,1,1,1,4.166666666666667,125,1.3960083749843761
ER_n30_d0.7,0,reweave-ablate-both,2,1,1,3.8,114,1.1639339590037707
ER_n30_d0.7,1,minorminer,0,1,1,3.9,117,1.0014034579799045
ER_n30_d0.7,1,minorminer,1,1,1,3.933333333333333,118,0.5638996659836266
ER_n30_d0.7,1,minorminer,2,1,1,3.7,111,0.9457012499915436
ER_n30_d0.7,1,reweave,0,1,1,3.8333333333333335,115,1.4155877080047503
ER_n30_d0.7,1,reweave,1,1,1,3.7666666666666666,113,1.2326602909888607
ER_n30_d0.7,1,reweave,2,1,1,3.6666666666666665,110,1.5822474999877159
ER_n30_d0.7,1,reweave-ablate-paths,0,1,1,3.8333333333333335,115,1.7283629169978667
ER_n30_d0.7,1,reweave-ablate-paths,1,1,1,3.7666666666666666,113,1.5620610829791985
ER_n30_d0.7,1,reweave-ablate-paths,2,1,1,3.6666666666666665,110,1.6138372080167755
ER_n30_d0.7,1,reweave-ablate-nocong,0,1,1,3.8333333333333335,115,2.6389587500016205
ER_n30_d0.7,1,reweave-ablate-nocong,1,1,1,3.7666666666666666,113,2.284022250009002
ER_n30_d0.7,1,reweave-ablate-nocong,2,1,1,3.6666666666666665,110,2.9782231660210527
ER_n30_d0.7,1,reweave-ablate-both,0,1,1,3.8333333333333335,115,2.951949834008701
ER_n30_d0.7,1,reweave-ablate-both,1,1,1,3.7666666666666666,113,2.1936914160032757
