cell,instance,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.3,1,pegasus_6_broken5,minorminer,2,1,1,1.65,3,33,0.18774592108093202,20,65
ER_n20_d0.3,1,pegasus_6_broken5,minorminer-layout,0,1,1,1.75,3,35,1.0560837108641863,20,65
ER_n20_d0.3,1,pegasus_6_broken5,minorminer-layout,1,1,1,1.85,3,37,3.119845466222614,20,65
ER_n20_d0.3,1,pegasus_6_broken5,minorminer-layout,2,1,1,1.55,3,31,1.0843951939605176,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-base,0,1,1,1.85,3,37,0.7645029299892485,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-base,1,1,1,1.75,3,35,0.7743064591195434,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-base,2,1,1,1.65,3,33,1.5108899159822613,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave,0,1,1,1.85,3,37,0.09244801593013108,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave,1,1,1,1.75,3,35,0.07345441612415016,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave,2,1,1,1.65,3,33,0.11472590384073555,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-thorough,0,1,1,1.65,3,33,0.3544683810323477,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-thorough,1,1,1,1.75,3,35,1.00265586306341,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-thorough,2,1,1,1.5,2,30,1.0148726031184196,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-stacked,0,1,1,1.8,3,36,0.14161858218722045,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-stacked,1,1,1,2.8,6,56,0.7197178760543466,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-stacked,2,1,1,1.65,3,33,0.7686730120331049,20,65
ER_n20_d0.3,1,pegasus_6_broken5,mmfork-cuthill,0,1,1,1.95,3,39,0.08042757702060044,20,65
ER_n20_d0.3,1,pegasus_6_broken5,mmfork-cuthill,1,1,1,1.75,3,35,0.4588028669822961,20,65
ER_n20_d0.3,1,pegasus_6_broken5,mmfork-cuthill,2,1,1,1.75,3,35,0.34906742302700877,20,65
ER_n20_d0.3,1,pegasus_6_broken5,mmfork-portfolio,0,1,1,1.7,3,34,1.8715675009880215,20,65
ER_n20_d0.3,1,pegasus_6_broken5,mmfork-portfolio,1,1,1,1.65,2,33,1.1331463020760566,20,65
ER_n20_d0.3,1,pegasus_6_broken5,mmfork-portfolio,2,1,1,1.65,3,33,0.8702434520237148,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-mmfork-cuthill,0,1,1,1.9,3,38,0.15544850495643914,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-mmfork-cuthill,1,1,1,1.75,3,35,0.2258381941355765,20,65
ER_n20_d0.3,1,pegasus_6_broken5,reweave-mmfork-cuthill,2,1,1,1.75,3,35,0.11301050102338195,20,65
ER_n20_d0.3,1,zephyr_4,minorminer,0,1,1,1.35,2,27,0.2315406200941652,20,65
ER_n20_d0.3,1,zephyr_4,minorminer,1,1,1,1.7,3,34,0.1394242320675403,20,65
ER_n20_d0.3,1,zephyr_4,minorminer,2,1,1,1.35,2,27,0.03448188700713217,20,65
ER_n20_d0.3,1,zephyr_4,minorminer-layout,0,1,1,1.7,3,34,2.7224303029943258,20,65
ER_n20_d0.3,1,zephyr_4,minorminer-layout,1,1,1,1.55,3,31,1.8986724091228098,20,65
ER_n20_d0.3,1,zephyr_4,minorminer-layout,2,1,1,1.55,3,31,2.3279926779214293,20,65
ER_n20_d0.3,1,zephyr_4,reweave-base,0,1,1,1.35,2,27,0.6135197167750448,20,65
ER_n20_d0.3,1,zephyr_4,reweave-base,1,1,1,1.7,3,34,0.32335081906057894,20,65
ER_n20_d0.3,1,zephyr_4,reweave-base,2,1,1,1.35,2,27,0.6115673151798546,20,65
ER_n20_d0.3,1,zephyr_4,reweave,0,1,1,1.35,2,27,0.10538280196487904,20,65
ER_n20_d0.3,1,zephyr_4,reweave,1,1,1,1.7,3,34,0.2897869579028338,20,65
ER_n20_d0.3,1,zephyr_4,reweave,2,1,1,1.35,2,27,0.29216368892230093,20,65
ER_n20_d0.3,1,zephyr_4,reweave-thorough,0,1,1,1.35,2,27,0.21887908200733364,20,65
ER_n20_d0.3,1,zephyr_4,reweave-thorough,1,1,1,1.35,2,27,1.497838149080053,20,65
ER_n20_d0.3,1,zephyr_4,reweave-thorough,2,1,1,1.35,2,27,0.44760878407396376,20,65
ER_n20_d0.3,1,zephyr_4,reweave-stacked,0,1,1,1.5,2,30,0.26534178014844656,20,65
ER_n20_d0.3,1,zephyr_4,reweave-stacked,1,1,1,1.95,3,39,0.8480894840322435,20,65
ER_n20_d0.3,1,zephyr_4,reweave-stacked,2,1,1,2.35,5,47,0.5305968590546399,20,65
ER_n20_d0.3,1,zephyr_4,mmfork-cuthill,0,1,1,1.5,2,30,0.16592738218605518,20,65
ER_n20_d0.3,1,zephyr_4,mmfork-cuthill,1,1,1,1.4,2,28,0.1382407669443637,20,65
ER_n20_d0.3,1,zephyr_4,mmfork-cuthill,2,1,1,1.45,2,29,0.06551533797755837,20,65
ER_n20_d0.3,1,zephyr_4,mmfork-portfolio,0,1,1,1.35,2,27,1.693668079096824,20,65
ER_n20_d0.3,1,zephyr_4,mmfork-portfolio,1,1,1,1.35,2,27,3.1743617900647223,20,65
ER_n20_d0.3,1,zephyr_4,mmfork-portfolio,2,1,1,1.35,2,27,1.6633953438140452,20,65
ER_n20_d0.3,1,zephyr_4,reweave-mmfork-cuthill,0,1,1,1.5,2,30,0.43991401605308056,20,65
ER_n20_d0.3,1,zephyr_4,reweave-mmfork-cuthill,1,1,1,1.4,2,28,0.051033288007602096,20,65
ER_n20_d0.3,1,zephyr_4,reweave-mmfork-cuthill,2,1,1,1.45,2,29,0.1905535110272467,20,65
ER_n20_d0.3,2,pegasus_6,minorminer,0,1,1,1.65,3,33,0.45372473797760904,20,64
ER_n20_d0.3,2,pegasus_6,minorminer,1,1,1,1.75,3,35,0.22516231588087976,20,64
ER_n20_d0.3,2,pegasus_6,minorminer,2,1,1,1.7,3,34,0.041202340042218566,20,64
ER_n20_d0.3,2,pegasus_6,minorminer-layout,0,1,1,1.85,3,37,1.6552327878307551,20,64
ER_n20_d0.3,2,pegasus_6,minorminer-layout,1,1,1,1.7,2,34,3.0208444260060787,20,64
ER_n20_d0.3,2,pegasus_6,minorminer-layout,2,1,1,1.7,3,34,3.0718607550952584,20,64
ER_n20_d0.3,2,pegasus_6,reweave-base,0,1,1,1.65,3,33,1.4766851181630045,20,64
ER_n20_d0.3,2,pegasus_6,reweave-base,1,1,1,1.75,3,35,0.4098091418854892,20,64
ER_n20_d0.3,2,pegasus_6,reweave-base,2,1,1,1.7,3,34,0.4069531629793346,20,64
ER_n20_d0.3,2,pegasus_6,reweave,0,1,1,1.65,3,33,0.17340479092672467,20,64
ER_n20_d0.3,2,pegasus_6,reweave,1,1,1,1.75,3,35,0.2184026539325714,20,64
ER_n20_d0.3,2,pegasus_6,reweave,2,1,1,1.7,3,34,0.10127690993249416,20,64
ER_n20_d0.3,2,pegasus_6,reweave-thorough,0,1,1,1.65,3,33,1.2480689049698412,20,64
ER_n20_d0.3,2,pegasus_6,reweave-thorough,1,1,1,1.65,3,33,0.34432199294678867,20,64
ER_n20_d0.3,2,pegasus_6,reweave-thorough,2,1,1,1.65,3,33,0.5171437258832157,20,64
ER_n20_d0.3,2,pegasus_6,reweave-stacked,0,1,1,1.75,3,35,0.18979393295012414,20,64
ER_n20_d0.3,2,pegasus_6,reweave-stacked,1,1,1,1.85,2,37,0.681558993877843,20,64
ER_n20_d0.3,2,pegasus_6,reweave-stacked,2,1,1,1.75,3,35,0.19271416100673378,20,64
ER_n20_d0.3,2,pegasus_6,mmfork-cuthill,0,1,1,1.65,3,33,0.07360127498395741,20,64
ER_n20_d0.3,2,pegasus_6,mmfork-cuthill,1,1,1,1.6,3,32,0.2691997338552028,20,64
ER_n20_d0.3,2,pegasus_6,mmfork-cuthill,2,1,1,1.8,3,36,0.3013723709154874,20,64
ER_n20_d0.3,2,pegasus_6,mmfork-portfolio,0,1,1,1.65,3,33,1.1479612309485674,20,64
ER_n20_d0.3,2,pegasus_6,mmfork-portfolio,1,1,1,1.6,3,32,0.7499726710375398,20,64
ER_n20_d0.3,2,pegasus_6,mmfork-portfolio,2,1,1,1.7,3,34,1.5528566110879183,20,64
ER_n20_d0.3,2,pegasus_6,reweave-mmfork-cuthill,0,1,1,1.65,3,33,0.4008778070565313,20,64
ER_n20_d0.3,2,pegasus_6,reweave-mmfork-cuthill,1,1,1,1.6,3,32,0.1500197988934815,20,64
ER_n20_d0.3,2,pegasus_6,reweave-mmfork-cuthill,2,1,1,1.75,3,35,0.0554489700589329,20,64
ER_n20_d0.3,2,pegasus_6_broken5,minorminer,0,1,1,1.8,3,36,0.05897803511470556,20,64
ER_n20_d0.3,2,pegasus_6_broken5,minorminer,1,1,1,1.8,3,36,0.06637394498102367,20,64
ER_n20_d0.3,2,pegasus_6_broken5,minorminer,2,1,1,1.7,2,34,0.08839963306672871,20,64
ER_n20_d0.3,2,pegasus_6_broken5,minorminer-layout,0,1,1,1.8,3,36,1.2869218250270933,20,64
ER_n20_d0.3,2,pegasus_6_broken5,minorminer-layout,1,1,1,1.9,3,38,1.3030783669091761,20,64
ER_n20_d0.3,2,pegasus_6_broken5,minorminer-layout,2,1,1,1.85,3,37,1.309776920126751,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave-base,0,1,1,1.8,3,36,0.47847377602010965,20,64
ER_n20_d0.3,2,pegasus_6_broken5,reweave-base,1,1,1,1.8,3,36,0.7725446277763695,20,64
