topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
Z12,180,0.055865921787709494,105,stock,stock,4,,SUCCESS,1,7.4111,7.1389,14,1334,13.3412,921,
Z12,180,0.055865921787709494,104,beta-dhat,beta,11,4.0,SUCCESS,1,7.3778,6.9833,16,1328,20.3349,923,
Z12,180,0.055865921787709494,104,beta-dhat,beta,0,4.0,SUCCESS,1,7.1444,6.8833,15,1286,26.0162,923,
Z12,180,0.055865921787709494,105,beta-dhat,beta,1,4.0,SUCCESS,1,7.6556,7.35,16,1378,16.8602,921,
Z12,180,0.055865921787709494,103,beta-dhat,beta,8,4.0,SUCCESS,1,7.0778,6.8167,14,1274,29.311,892,
Z12,180,0.055865921787709494,105,stock,stock,14,,SUCCESS,1,8.05,7.7389,17,1449,10.038,921,
Z12,180,0.055865921787709494,105,beta-dhat,beta,6,4.0,SUCCESS,1,7.5611,7.2444,15,1361,14.2837,921,
Z12,180,0.055865921787709494,105,stock,stock,6,,SUCCESS,1,7.5889,7.2556,15,1366,14.6093,921,
Z12,180,0.055865921787709494,105,stock,stock,5,,SUCCESS,1,7.8889,7.5,16,1420,16.3436,921,
Z12,180,0.055865921787709494,105,stock,stock,11,,SUCCESS,1,7.4278,7.1778,15,1337,14.4545,921,
Z12,180,0.055865921787709494,105,beta-dhat,beta,10,4.0,SUCCESS,1,7.6889,7.2778,17,1384,15.532,921,
Z12,180,0.055865921787709494,105,stock,stock,12,,SUCCESS,1,7.55,7.2667,15,1359,15.5456,921,
Z12,180,0.055865921787709494,105,beta-dhat,beta,4,4.0,SUCCESS,1,7.4278,7.1556,16,1337,19.7949,921,
Z12,180,0.055865921787709494,104,beta-dhat,beta,2,4.0,SUCCESS,1,7.2167,6.9167,16,1299,31.3034,923,
Z12,180,0.055865921787709494,105,beta-dhat,beta,2,4.0,SUCCESS,1,6.9278,6.7111,14,1247,22.2326,921,
Z12,180,0.055865921787709494,105,beta-dhat,beta,12,4.0,SUCCESS,1,7.4556,7.0778,16,1342,17.0554,921,
Z12,180,0.055865921787709494,105,beta-dhat,beta,14,4.0,SUCCESS,1,7.1389,6.8,15,1285,18.5867,921,
Z12,180,0.055865921787709494,105,beta-dhat,beta,13,4.0,SUCCESS,1,6.8722,6.5889,15,1237,18.7609,921,
Z12,180,0.055865921787709494,105,stock,stock,10,,SUCCESS,1,7.3444,7.0444,14,1322,22.7227,921,
Z12,180,0.055865921787709494,105,beta-dhat,beta,9,4.0,SUCCESS,1,7.0833,6.7333,16,1275,23.0133,921,
Z12,180,0.055865921787709494,104,beta-dhat,beta,13,4.0,SUCCESS,1,7.4444,7.0889,16,1340,31.2831,923,
Z12,180,0.055865921787709494,105,beta-dhat,beta,8,4.0,SUCCESS,1,7.1667,6.9222,14,1290,26.9971,921,
Z12,180,0.055865921787709494,105,beta-dhat,beta,5,4.0,SUCCESS,1,7.2556,6.9667,15,1306,31.6633,921,
Z12,180,0.055865921787709494,105,beta-dhat,beta,7,4.0,SUCCESS,1,6.9,6.6889,13,1242,36.4164,921,
Z12,180,0.055865921787709494,105,beta-dhat,beta,0,4.0,SUCCESS,1,7.4833,7.1444,16,1347,47.337,921,
Z12,100,0.10101010101010101,101,ramp2h,ramp,5,5.0,SUCCESS,1,5.18,4.93,10,518,2.5885,498,
Z12,100,0.10101010101010101,101,ramp2,ramp,5,5.0,SUCCESS,1,5.18,4.93,10,518,2.5947,498,
