topo,n,arm,seed,success,acl,acl_spur,wall
Z12,140,minorminer,26,1,18.064285714285713,15.2,60.37
Z12,140,minorminer,27,1,18.771428571428572,15.82857142857143,62.09
Z12,140,minorminer,28,1,18.45,15.664285714285715,60.77
Z12,140,p3-ate,15,1,10.471428571428572,10.471428571428572,60.69
Z12,140,minorminer,29,1,18.37857142857143,15.621428571428572,61.94
Z12,140,p3-ate,16,1,10.471428571428572,10.471428571428572,61.17
Z12,140,p3-ate,17,1,10.471428571428572,10.471428571428572,61.35
Z12,140,p3-ate,18,1,10.471428571428572,10.471428571428572,60.64
Z12,140,p3-ate,19,1,10.471428571428572,10.471428571428572,64.05
Z12,140,p3-ate,20,1,10.471428571428572,10.471428571428572,61.07
Z12,140,p3-ate,21,1,10.471428571428572,10.471428571428572,60.92
Z12,140,p3-ate,22,1,10.471428571428572,10.471428571428572,61.63
Z12,140,p3-ate,24,1,10.471428571428572,10.471428571428572,61.81
Z12,140,p3-ate,23,1,10.471428571428572,10.471428571428572,62.02
Z12,140,p3-ate,25,1,10.471428571428572,10.471428571428572,64.92
Z12,140,p3-ate,26,1,10.471428571428572,10.471428571428572,62.18
Z12,140,p3-ate,27,1,10.471428571428572,10.471428571428572,62.57
Z12,140,p3-ate,28,1,10.471428571428572,10.471428571428572,61.33
Z12,140,p3-ate,29,1,10.471428571428572,10.471428571428572,61.95
Z12,140,p3-clmm,17,1,11.0,10.471428571428572,57.14
Z12,140,p3-clmm,15,1,10.964285714285714,10.928571428571429,62.02
Z12,140,p3-clmm,16,1,10.985714285714286,10.692857142857143,65.3
Z12,140,p3-clmm,18,1,10.971428571428572,10.957142857142857,61.54
Z12,140,p3-clmm,19,1,11.0,10.471428571428572,66.34
Z12,140,p3-clmm,20,1,10.935714285714285,10.914285714285715,61.33
Z12,140,p3-clmm,21,1,10.942857142857143,10.892857142857142,66.04
Z12,140,p3-clmm,24,1,10.964285714285714,10.464285714285714,54.6
Z12,140,p3-clmm,23,1,10.892857142857142,10.864285714285714,60.62
Z12,140,p3-clmm,22,1,10.892857142857142,10.871428571428572,61.84
Z12,140,p3-clmm,25,1,10.907142857142857,10.871428571428572,65.99
Z12,140,p3-clmm,26,1,10.914285714285715,10.464285714285714,66.13
Z12,140,p3-clmm,27,1,10.964285714285714,10.45,60.65
Z12,140,p3-clmm,28,1,10.992857142857142,10.778571428571428,66.51
Z12,140,p3-mmpolish,15,1,19.742857142857144,16.521428571428572,61.16
Z12,140,p3-clmm,29,1,10.942857142857143,10.45,66.53
Z12,140,p3-mmpolish,17,1,18.27857142857143,15.25,61.71
Z12,140,p3-mmpolish,16,1,17.814285714285713,15.0,62.04
Z12,140,p3-mmpolish,18,1,17.285714285714285,14.65,61.7
Z12,140,p3-mmpolish,19,0,,,62.59
Z12,140,p3-mmpolish,20,1,16.864285714285714,14.314285714285715,61.79
Z12,140,p3-mmpolish,21,1,17.085714285714285,14.5,61.98
Z12,140,p3-mmpolish,22,1,18.15,15.492857142857142,61.27
Z12,140,p3-mmpolish,23,1,19.714285714285715,16.3,60.91
Z12,140,p3-mmpolish,24,1,18.007142857142856,15.428571428571429,60.79
Z12,140,p3-mmpolish,25,0,,,64.02
Z12,140,p3-mmpolish,26,1,18.17142857142857,15.528571428571428,60.12
Z12,140,p3-mmpolish,27,1,18.771428571428572,15.82857142857143,62.26
Z12,140,p3-mmpolish,28,1,18.45,15.664285714285715,60.39
Z12,140,p3-mmpolish,29,1,18.37857142857143,15.621428571428572,62.19
Z12,179,minorminer,18,0,,,61.65
Z12,179,minorminer,15,0,,,68.43
Z12,179,minorminer,16,0,,,68.26
Z12,179,minorminer,17,0,,,69.66
Z12,179,minorminer,19,0,,,68.51
Z12,179,minorminer,20,0,,,67.1
Z12,179,minorminer,21,0,,,66.64
Z12,179,minorminer,22,0,,,70.98
Z12,179,minorminer,24,0,,,68.6
Z12,179,minorminer,23,0,,,70.93
Z12,179,minorminer,26,0,,,66.76
Z12,179,minorminer,25,0,,,69.64
Z12,179,minorminer,27,0,,,71.42
Z12,179,minorminer,28,0,,,68.63
Z12,179,minorminer,29,0,,,68.64
Z12,179,p3-ate,15,1,12.972067039106145,12.972067039106145,68.09
Z12,179,p3-ate,18,1,12.972067039106145,12.972067039106145,60.83
Z12,179,p3-ate,16,1,12.972067039106145,12.972067039106145,70.4
Z12,179,p3-ate,17,1,12.972067039106145,12.972067039106145,70.38
Z12,179,p3-ate,19,1,12.972067039106145,12.972067039106145,69.56
Z12,179,p3-ate,20,1,12.972067039106145,12.972067039106145,69.29
Z12,179,p3-ate,22,1,12.972067039106145,12.972067039106145,61.14
Z12,179,p3-ate,21,1,12.972067039106145,12.972067039106145,68.06
Z12,179,p3-ate,23,1,12.972067039106145,12.972067039106145,70.81
Z12,179,p3-ate,24,1,12.972067039106145,12.972067039106145,66.21
Z12,179,p3-ate,26,1,12.972067039106145,12.972067039106145,69.29
Z12,179,p3-ate,25,1,12.972067039106145,12.972067039106145,71.96
Z12,179,p3-ate,27,1,12.972067039106145,12.972067039106145,70.96
