topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,140,0.07194244604316546,102,beta-16.0,beta,13,16.0,SUCCESS,1,7.1143,6.9286,14,996,8.9506,693,
P16,140,0.07194244604316546,103,stock,stock,3,,SUCCESS,1,8.0929,7.8143,15,1133,3.8336,689,
P16,140,0.07194244604316546,102,boltz-8.0,root,14,8.0,SUCCESS,1,7.5071,7.2929,14,1051,8.005,693,
P16,140,0.07194244604316546,103,tree-sph,tree,1,2,SUCCESS,1,7.6643,7.4929,15,1073,5.3304,689,
P16,140,0.07194244604316546,101,beta-dhat,beta,8,4.0,SUCCESS,1,6.8,6.6071,13,952,31.5231,691,
P16,140,0.07194244604316546,102,boltz-8.0,root,11,8.0,SUCCESS,1,7.1286,6.9143,15,998,12.7231,693,
P16,140,0.07194244604316546,102,beta-dhat,beta,6,4.0,SUCCESS,1,7.3071,7.0143,15,1023,17.4619,693,
P16,140,0.07194244604316546,102,beta-dhat,beta,13,4.0,SUCCESS,1,7.5143,7.2714,15,1052,10.3965,693,
P16,140,0.07194244604316546,103,stock,stock,0,,SUCCESS,1,7.5643,7.3429,15,1059,8.2229,689,
P16,140,0.07194244604316546,102,beta-16.0,beta,9,16.0,SUCCESS,1,7.6429,7.3357,15,1070,15.2453,693,
P16,140,0.07194244604316546,103,tree-sph,tree,4,2,SUCCESS,1,7.3643,7.2286,16,1031,4.2008,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,0,16.0,SUCCESS,1,7.4,7.1286,15,1036,7.845,689,
P16,140,0.07194244604316546,103,stock,stock,2,,SUCCESS,1,7.5571,7.2929,16,1058,6.0074,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,1,8.0,SUCCESS,1,8.0286,7.6714,15,1124,6.3962,689,
P16,140,0.07194244604316546,103,boltz-2.0,root,4,2.0,SUCCESS,1,8.0214,7.6929,16,1123,4.3884,689,
P16,140,0.07194244604316546,103,tree-sph,tree,3,2,SUCCESS,1,7.5429,7.3786,16,1056,5.7169,689,
P16,140,0.07194244604316546,102,beta-dhat,beta,12,4.0,SUCCESS,1,7.4071,7.15,15,1037,11.9561,693,
P16,140,0.07194244604316546,103,boltz-2.0,root,0,2.0,SUCCESS,1,7.5071,7.2214,15,1051,8.9702,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,1,16.0,SUCCESS,1,7.8929,7.4357,16,1105,7.7507,689,
P16,140,0.07194244604316546,103,tree-sph,tree,2,2,SUCCESS,1,7.1571,6.9786,14,1002,7.3623,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,3,16.0,SUCCESS,1,7.3929,7.1143,15,1035,6.5903,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,3,8.0,SUCCESS,1,7.6857,7.4286,15,1076,7.0149,689,
P16,140,0.07194244604316546,103,stock,stock,1,,SUCCESS,1,7.4929,7.2357,14,1049,9.3924,689,
P16,140,0.07194244604316546,102,boltz-8.0,root,13,8.0,SUCCESS,1,7.2786,7.0,15,1019,12.7428,693,
P16,140,0.07194244604316546,102,beta-16.0,beta,12,16.0,SUCCESS,1,7.2857,6.9857,15,1020,13.642,693,
P16,140,0.07194244604316546,103,boltz-2.0,root,2,2.0,SUCCESS,1,7.8357,7.5,15,1097,7.7778,689,
P16,140,0.07194244604316546,103,boltz-2.0,root,5,2.0,SUCCESS,1,8.0786,7.8071,16,1131,4.5317,689,
P16,140,0.07194244604316546,103,beta-dhat,beta,0,4.0,SUCCESS,1,7.1786,6.9429,14,1005,10.1165,689,
P16,140,0.07194244604316546,103,tree-sph,tree,5,2,SUCCESS,1,7.1214,7.0143,14,997,5.452,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,5,8.0,SUCCESS,1,7.9857,7.6857,15,1118,5.504,689,
P16,140,0.07194244604316546,103,stock,stock,7,,SUCCESS,1,8.6214,8.2429,18,1207,4.4177,689,
P16,140,0.07194244604316546,103,tree-sph,tree,8,2,SUCCESS,1,8.4,8.1357,17,1176,3.5239,689,
P16,140,0.07194244604316546,103,beta-dhat,beta,1,4.0,SUCCESS,1,7.5857,7.3,17,1062,9.6329,689,
P16,140,0.07194244604316546,103,boltz-2.0,root,3,2.0,SUCCESS,1,7.3714,7.0929,15,1032,9.0141,689,
P16,140,0.07194244604316546,103,stock,stock,5,,SUCCESS,1,7.9714,7.6143,17,1116,7.0053,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,4,16.0,SUCCESS,1,7.9786,7.5643,18,1117,7.7244,689,
P16,140,0.07194244604316546,103,stock,stock,6,,SUCCESS,1,8.2214,7.8786,17,1151,5.5976,689,
P16,140,0.07194244604316546,103,boltz-2.0,root,1,2.0,SUCCESS,1,7.1357,6.8857,14,999,10.3946,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,2,16.0,SUCCESS,1,7.2214,7.0357,15,1011,9.9547,689,
P16,140,0.07194244604316546,103,tree-sph,tree,6,2,SUCCESS,1,7.05,6.9,14,987,5.9975,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,6,16.0,SUCCESS,1,8.4,8.0357,17,1176,5.9132,689,
P16,140,0.07194244604316546,103,stock,stock,8,,SUCCESS,1,9.1143,8.5571,19,1276,4.4904,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,2,8.0,SUCCESS,1,7.8143,7.4786,16,1094,11.2133,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,6,8.0,SUCCESS,1,7.9071,7.5786,16,1107,7.0536,689,
P16,140,0.07194244604316546,103,boltz-2.0,root,6,2.0,SUCCESS,1,7.9857,7.7429,16,1118,7.945,689,
P16,140,0.07194244604316546,103,tree-sph,tree,7,2,SUCCESS,1,7.5286,7.3643,15,1054,6.7373,689,
P16,140,0.07194244604316546,103,tree-sph,tree,9,2,SUCCESS,1,7.5357,7.3643,14,1055,4.9927,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,4,8.0,SUCCESS,1,7.1143,6.9571,14,996,10.7673,689,
P16,140,0.07194244604316546,103,stock,stock,4,,SUCCESS,1,7.1714,6.9071,15,1004,11.4953,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,10,8.0,SUCCESS,1,8.5,8.0429,19,1190,4.6639,689,
P16,140,0.07194244604316546,103,stock,stock,10,,SUCCESS,1,7.8857,7.5929,16,1104,5.6639,689,
P16,140,0.07194244604316546,102,beta-dhat,beta,5,4.0,SUCCESS,1,7.5429,7.2143,15,1056,27.885,693,
P16,140,0.07194244604316546,103,beta-dhat,beta,3,4.0,SUCCESS,1,7.4786,7.1714,16,1047,12.6147,689,
P16,140,0.07194244604316546,103,beta-dhat,beta,6,4.0,SUCCESS,1,7.4929,7.2714,15,1049,8.9138,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,7,16.0,SUCCESS,1,7.3,7.1071,16,1022,8.1262,689,
P16,140,0.07194244604316546,103,tree-sph,tree,11,2,SUCCESS,1,8.0071,7.8143,18,1121,4.4918,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,8,16.0,SUCCESS,1,7.9714,7.6786,16,1116,7.7353,689,
P16,140,0.07194244604316546,102,beta-dhat,beta,14,4.0,SUCCESS,1,7.0929,6.7857,14,993,17.2756,693,
