topo,n,p,inst_seed,arm,algo_seed,budget,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,180,0.1,102,audit1,2,60.0,SUCCESS,1,16.6167,15.7389,37,2991,23.3704,1575,
P16,180,0.1,103,stock,0,5.0,SUCCESS,1,20.7667,19.2944,42,3738,5.0608,1609,
P16,180,0.1,102,audit2,0,60.0,SUCCESS,1,15.7833,15.0333,29,2841,37.9394,1575,
P16,180,0.1,103,audit2,0,5.0,SUCCESS,1,21.1333,19.6,47,3804,5.0188,1609,
P16,180,0.1,103,dirty,0,5.0,SUCCESS,1,20.7667,19.2944,42,3738,5.1227,1609,
P16,180,0.1,103,audit1,0,5.0,SUCCESS,1,20.9333,19.5111,52,3768,5.4925,1609,
P16,180,0.1,102,audit2,0,180.0,SUCCESS,1,15.7833,15.0333,29,2841,37.7796,1575,
P16,180,0.1,102,audit1,2,180.0,SUCCESS,1,16.6167,15.7389,37,2991,23.397,1575,
P16,180,0.1,102,audit2,3,60.0,SUCCESS,1,17.9,16.9444,34,3222,19.0625,1575,
P16,180,0.1,102,audit2,3,180.0,SUCCESS,1,17.9,16.9444,34,3222,18.8717,1575,
P16,180,0.1,102,stock,4,15.0,SUCCESS,1,17.6167,16.4222,33,3171,15.2689,1575,
P16,180,0.1,102,audit1,4,15.0,SUCCESS,1,17.8611,16.9611,44,3215,15.3918,1575,
P16,180,0.1,102,audit2,4,15.0,SUCCESS,1,17.9611,16.8,34,3233,15.2142,1575,
P16,180,0.1,102,dirty,4,15.0,SUCCESS,1,17.6167,16.4222,33,3171,15.3956,1575,
P16,180,0.1,103,audit1,1,5.0,SUCCESS,1,21.5111,20.0556,47,3872,5.1095,1609,
P16,180,0.1,103,stock,1,5.0,SUCCESS,1,21.2333,19.6167,40,3822,5.2516,1609,
P16,180,0.1,102,audit2,1,60.0,SUCCESS,1,16.1667,15.2111,29,2910,36.8921,1575,
P16,180,0.1,103,audit2,1,5.0,SUCCESS,1,21.5111,20.0056,45,3872,5.0811,1609,
P16,180,0.1,103,dirty,1,5.0,SUCCESS,1,21.2333,19.6167,40,3822,5.2976,1609,
P16,180,0.1,102,audit2,1,180.0,SUCCESS,1,16.1667,15.2111,29,2910,37.2101,1575,
P16,180,0.1,101,audit2,3,60.0,SUCCESS,1,15.5667,14.7222,30,2802,60.0164,1618,
P16,180,0.1,101,audit2,3,180.0,SUCCESS,1,15.5667,14.7222,30,2802,61.4318,1618,
P16,180,0.1,103,stock,0,15.0,SUCCESS,1,16.4944,15.6444,29,2969,15.3471,1609,
P16,180,0.1,103,audit1,0,15.0,SUCCESS,1,18.6167,17.4444,41,3351,15.5606,1609,
P16,180,0.1,103,audit2,0,15.0,SUCCESS,1,18.5222,17.3833,37,3334,15.3951,1609,
P16,180,0.1,103,stock,1,15.0,SUCCESS,1,20.2167,19.0222,37,3639,9.9665,1609,
P16,180,0.1,103,dirty,0,15.0,SUCCESS,1,16.4944,15.6444,29,2969,15.0313,1609,
P16,180,0.1,102,stock,4,60.0,SUCCESS,1,16.8167,15.7778,32,3027,22.2613,1575,
P16,180,0.1,103,stock,2,5.0,SUCCESS,1,18.9,17.6833,41,3402,5.2856,1609,
P16,180,0.1,102,dirty,4,60.0,SUCCESS,1,16.8167,15.7778,32,3027,22.0284,1575,
P16,180,0.1,103,audit1,2,5.0,SUCCESS,1,19.7944,18.6722,44,3563,5.1316,1609,
P16,180,0.1,102,stock,4,180.0,SUCCESS,1,16.8167,15.7778,32,3027,22.3359,1575,
P16,180,0.1,103,dirty,1,15.0,SUCCESS,1,20.2167,19.0222,37,3639,9.8906,1609,
P16,180,0.1,103,stock,1,60.0,SUCCESS,1,20.2167,19.0222,37,3639,9.9243,1609,
P16,180,0.1,102,dirty,4,180.0,SUCCESS,1,16.8167,15.7778,32,3027,21.9476,1575,
P16,180,0.1,103,dirty,1,60.0,SUCCESS,1,20.2167,19.0222,37,3639,9.8776,1609,
P16,180,0.1,103,stock,1,180.0,SUCCESS,1,20.2167,19.0222,37,3639,9.9748,1609,
P16,180,0.1,103,audit2,2,5.0,SUCCESS,1,20.4167,19.0111,42,3675,5.4981,1609,
P16,180,0.1,103,dirty,2,5.0,SUCCESS,1,18.9,17.6833,41,3402,5.2539,1609,
P16,180,0.1,103,dirty,1,180.0,SUCCESS,1,20.2167,19.0222,37,3639,9.8112,1609,
P16,180,0.1,102,audit1,3,60.0,SUCCESS,1,16.3222,15.5944,37,2938,35.2213,1575,
P16,180,0.1,103,audit1,1,15.0,SUCCESS,1,18.8722,17.5,45,3397,15.4981,1609,
P16,180,0.1,102,audit1,3,180.0,SUCCESS,1,16.3222,15.5944,37,2938,35.1003,1575,
P16,180,0.1,103,audit2,1,15.0,SUCCESS,1,17.9333,16.9444,34,3228,15.0655,1609,
P16,180,0.1,102,stock,3,60.0,SUCCESS,1,16.2722,15.2056,28,2929,38.588,1575,
P16,180,0.1,102,dirty,3,60.0,SUCCESS,1,16.2722,15.2056,28,2929,38.6401,1575,
P16,180,0.1,103,stock,3,5.0,SUCCESS,1,21.4,19.7333,41,3852,5.0329,1609,
P16,180,0.1,102,stock,3,180.0,SUCCESS,1,16.2722,15.2056,28,2929,38.8585,1575,
P16,180,0.1,103,audit1,3,5.0,SUCCESS,1,20.7667,19.6111,43,3738,5.3961,1609,
P16,180,0.1,103,audit2,3,5.0,SUCCESS,1,21.0611,19.4944,44,3791,5.3314,1609,
P16,180,0.1,103,dirty,3,5.0,SUCCESS,1,21.4,19.7333,41,3852,5.041,1609,
P16,180,0.1,102,dirty,3,180.0,SUCCESS,1,16.2722,15.2056,28,2929,38.5992,1575,
P16,180,0.1,103,stock,2,15.0,SUCCESS,1,17.1,16.0278,33,3078,15.3366,1609,
P16,180,0.1,103,audit2,0,60.0,SUCCESS,1,17.4833,16.2667,35,3147,29.0884,1609,
P16,180,0.1,103,audit1,2,15.0,SUCCESS,1,17.9333,17.0056,39,3228,15.0163,1609,
P16,180,0.1,103,audit2,2,15.0,SUCCESS,1,18.1056,16.9,36,3259,15.2521,1609,
P16,180,0.1,103,dirty,2,15.0,SUCCESS,1,17.1,16.0278,33,3078,15.29,1609,
