topo,n,p,inst_seed,arm,algo_seed,status,success,acl,acl_spur,acl_pre,max_chain,qubits,time,n_edges,err
P16,80,0.9,102,minorminer,4,SUCCESS,1,8.7125,8.425,,15,697,7.8831,2841,
P16,60,0.9,101,attraction,1,SUCCESS,1,8.0667,7.4,,11,484,33.1106,1585,
P16,180,1.0,101,clmm,4,SUCCESS,1,16.6667,16.6444,,17,3000,64.147,16110,
P16,60,0.9,103,attraction,3,SUCCESS,1,8.5333,7.95,,12,512,24.5137,1597,
P16,80,0.9,102,clmm,0,SUCCESS,1,8.65,8.5875,,9,692,9.992,2841,
P16,80,0.9,101,minorminer,4,SUCCESS,1,11.525,10.4625,,17,922,24.6105,2858,
P16,80,0.9,101,minorminer,3,SUCCESS,1,10.625,9.7625,,16,850,24.9278,2858,
P16,80,0.9,102,clmm,2,SUCCESS,1,8.7125,8.675,,9,697,9.6779,2841,
P16,80,0.9,102,minorminer,3,SUCCESS,1,10.1875,9.25,,16,815,14.665,2841,
P16,80,0.9,102,clmm,1,SUCCESS,1,8.7125,8.7,,9,697,11.1518,2841,
P16,60,0.9,102,attraction,0,SUCCESS,1,8.5167,7.6,,11,511,34.9324,1574,
P16,80,0.9,102,clmm,4,SUCCESS,1,8.725,8.7,,9,698,10.6445,2841,
P16,80,0.9,102,clmm,3,SUCCESS,1,8.7375,8.7125,,9,699,11.0726,2841,
P16,80,0.9,102,minorminer,0,SUCCESS,1,11.175,10.2875,,17,894,19.6081,2841,
P16,80,0.9,101,mmfork-cuthill,2,SUCCESS,1,10.25,9.6,,15,820,26.6544,2858,
P16,60,0.9,102,attraction,4,SUCCESS,1,7.6167,7.15,,10,457,37.9478,1574,
P16,80,0.9,103,template,-1,SUCCESS,1,8.175,8.175,8.825,9,654,0.0317,2838,
P16,80,0.9,103,clique,-1,SUCCESS,1,8.825,8.175,,9,706,0.0192,2838,
P16,80,0.9,101,mmfork-cuthill,3,SUCCESS,1,10.15,9.35,,15,812,29.1344,2858,
P16,80,0.9,103,pssa,0,SUCCESS,1,8.2875,8.2875,,9,663,0.4611,2838,
P16,80,0.9,103,pssa,1,SUCCESS,1,8.2875,8.2875,,9,663,0.4679,2838,
P16,80,0.9,103,pssa,2,SUCCESS,1,8.2875,8.2875,,9,663,0.4608,2838,
P16,80,0.9,103,pssa,3,SUCCESS,1,8.2875,8.2875,,9,663,0.4652,2838,
P16,80,0.9,103,pssa,4,SUCCESS,1,8.2875,8.2875,,9,663,0.4584,2838,
P16,60,0.9,103,attraction,4,SUCCESS,1,8.3,7.65,,11,498,32.9584,1597,
P16,60,0.9,102,attraction,3,SUCCESS,1,7.75,7.1833,,11,465,40.201,1574,
P16,80,0.9,102,mmfork-cuthill,0,SUCCESS,1,9.625,9.175,,14,770,20.412,2841,
P16,60,0.9,103,attraction,2,SUCCESS,1,7.7,7.2,,10,462,35.48,1597,
P16,80,0.9,102,minorminer,1,SUCCESS,1,9.8125,8.95,,13,785,27.8683,2841,
P16,80,0.9,103,clmm,0,SUCCESS,1,8.725,8.6875,,9,698,10.3725,2838,
P16,80,0.9,101,minorminer,1,SUCCESS,1,10.9375,10.1125,,16,875,38.0001,2858,
P16,80,0.9,103,clmm,2,SUCCESS,1,8.7125,8.6,,9,697,10.0719,2838,
P16,80,0.9,103,clmm,3,SUCCESS,1,8.7375,8.6125,,9,699,9.9276,2838,
P16,80,0.9,103,clmm,1,SUCCESS,1,8.7125,8.675,,9,697,10.6321,2838,
P16,80,0.9,103,mmfork-cuthill,4,SUCCESS,1,9.8,9.0,,15,784,12.1977,2838,
P16,80,0.9,103,clmm,4,SUCCESS,1,8.6875,8.6625,,9,695,10.9512,2838,
P16,80,0.9,102,mmfork-cuthill,2,SUCCESS,1,10.425,9.7625,,15,834,26.1591,2841,
P16,80,0.9,102,mmfork-cuthill,4,SUCCESS,1,10.225,9.4875,,16,818,25.0706,2841,
P16,80,0.9,101,minorminer,2,SUCCESS,1,10.475,9.8875,,15,838,40.6804,2858,
P16,80,0.9,103,mmfork-cuthill,3,SUCCESS,1,9.5625,9.0,,14,765,14.6151,2838,
P16,80,0.9,102,mmfork-cuthill,1,SUCCESS,1,9.875,9.225,,14,790,27.6001,2841,
P16,80,0.9,102,mmfork-cuthill,3,SUCCESS,1,9.8125,9.125,,13,785,26.4006,2841,
P16,80,0.9,103,minorminer,0,SUCCESS,1,10.9125,9.9625,,16,873,22.0915,2838,
P16,100,0.9,101,template,-1,SUCCESS,1,9.78,9.78,9.82,10,978,0.0472,4484,
P16,100,0.9,101,clique,-1,SUCCESS,1,9.82,9.78,,10,982,0.0207,4484,
P16,60,0.9,103,attraction,1,SUCCESS,1,7.4667,7.0,,10,448,43.7755,1597,
P16,100,0.9,101,pssa,0,SUCCESS,1,9.98,9.98,,11,998,0.4883,4484,
P16,100,0.9,101,pssa,1,SUCCESS,1,9.98,9.98,,11,998,0.4824,4484,
P16,100,0.9,101,pssa,2,SUCCESS,1,9.98,9.98,,11,998,0.5154,4484,
P16,100,0.9,101,pssa,3,SUCCESS,1,9.98,9.98,,11,998,0.4959,4484,
P16,100,0.9,101,pssa,4,SUCCESS,1,9.98,9.98,,11,998,0.4938,4484,
P16,80,0.9,101,mmfork-cuthill,1,SUCCESS,1,10.7375,9.9375,,15,859,44.7253,2858,
P16,180,1.0,101,attraction,4,FAILURE,0,,,,,,78.2329,16110,status=FAILURE
P16,60,0.9,103,attraction,0,SUCCESS,1,7.65,7.15,,10,459,48.7965,1597,
P16,80,0.9,101,minorminer,0,SUCCESS,1,10.225,9.325,,14,818,48.4528,2858,
P16,180,1.0,101,attraction,3,FAILURE,0,,,,,,79.0101,16110,status=FAILURE
P16,80,0.9,103,minorminer,3,SUCCESS,1,11.125,10.075,,16,890,24.7815,2838,
P16,180,1.0,101,attraction,2,FAILURE,0,,,,,,79.4038,16110,status=FAILURE
P16,180,1.0,101,attraction,1,FAILURE,0,,,,,,79.7722,16110,status=FAILURE
P16,180,1.0,101,attraction,0,FAILURE,0,,,,,,80.0505,16110,status=FAILURE
P16,80,0.9,103,mmfork-cuthill,1,SUCCESS,1,11.1,9.925,,16,888,26.309,2838,
P16,80,0.9,103,mmfork-cuthill,0,SUCCESS,1,10.625,9.8375,,16,850,35.8985,2838,
P16,100,0.9,101,clmm,0,SUCCESS,1,9.79,9.77,,10,979,22.1096,4484,
P16,80,0.9,102,minorminer,2,SUCCESS,1,11.5,10.3,,17,920,51.4256,2841,
