topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
Z12,100,0.10101010101010101,105,minorminer,arm,10,,SUCCESS,1,4.92,4.72,9,492,3.8278,522,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,1,,SUCCESS,1,5.51,5.25,11,551,3.2632,522,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,1,,SUCCESS,1,4.8,4.6,9,480,6.0928,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,2,,SUCCESS,1,4.53,4.39,8,453,6.1817,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-fb,arm,8,,SUCCESS,1,4.23,4.13,8,423,6.9757,495,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,0,,SUCCESS,1,4.61,4.5,9,461,3.6596,522,
Z12,100,0.10101010101010101,105,minorminer,arm,13,,SUCCESS,1,4.77,4.61,9,477,4.0239,522,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,2,,SUCCESS,1,4.81,4.63,9,481,3.6823,522,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,13,,SUCCESS,1,4.54,4.44,8,454,5.3627,495,
Z12,100,0.10101010101010101,105,minorminer,arm,12,,SUCCESS,1,4.77,4.61,9,477,4.4754,522,
Z12,100,0.10101010101010101,105,minorminer,arm,5,,SUCCESS,1,4.74,4.65,9,474,4.9435,522,
Z12,100,0.10101010101010101,105,minorminer,arm,14,,SUCCESS,1,4.63,4.54,9,463,4.1605,522,
Z12,100,0.10101010101010101,105,minorminer,arm,9,,SUCCESS,1,4.87,4.72,8,487,4.6998,522,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,4,,SUCCESS,1,4.59,4.5,8,459,6.3936,495,
Z12,100,0.10101010101010101,105,minorminer,arm,6,,SUCCESS,1,4.84,4.71,9,484,5.057,522,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,14,,SUCCESS,1,4.85,4.63,9,485,6.3707,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,3,,SUCCESS,1,4.55,4.43,8,455,7.4324,495,
Z12,100,0.10101010101010101,105,minorminer,arm,8,,SUCCESS,1,4.83,4.69,9,483,5.8778,522,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,3,,SUCCESS,1,4.61,4.5,9,461,4.6797,522,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,0,,SUCCESS,1,4.56,4.43,8,456,8.2264,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,9,,SUCCESS,1,4.68,4.56,9,468,7.3629,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,10,,SUCCESS,1,4.68,4.57,8,468,7.4408,495,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,13,,SUCCESS,1,4.9,4.68,10,490,3.8216,522,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,4,,SUCCESS,1,4.76,4.62,9,476,4.9139,522,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,6,,SUCCESS,1,5.05,4.86,9,505,4.5752,522,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,11,,SUCCESS,1,4.74,4.62,9,474,7.8525,495,
Z12,100,0.10101010101010101,104,p3-mm-beta-mf,arm,5,,SUCCESS,1,4.45,4.38,8,445,8.3952,495,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,12,,SUCCESS,1,4.83,4.66,9,483,4.5239,522,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,8,,SUCCESS,1,4.52,4.44,8,452,4.8217,522,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,14,,SUCCESS,1,4.75,4.6,9,475,4.6497,522,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,11,,SUCCESS,1,4.62,4.45,8,462,4.9989,522,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,10,,SUCCESS,1,4.91,4.74,9,491,5.2397,522,
Z12,100,0.10101010101010101,105,p3-mm-beta-fb,arm,9,,SUCCESS,1,5.02,4.8,9,502,5.5118,522,
