topo,n,p,inst_seed,arm,base_seed,K,per_run_s,status,success,n_success,acl,acl_spur,max_chain,qubits,time,err
Z12,100,0.2,104,mm-bo3x20,1,3,20.0,SUCCESS,1,3,7.42,7.19,12,742,38.4985,
Z12,100,0.2,102,mm-bo12x5,4,12,5.0,SUCCESS,1,12,7.86,7.44,13,786,61.995,
Z12,100,0.2,103,mm-bo6x10,0,6,10.0,SUCCESS,1,6,7.5,7.19,12,750,59.591,
Z12,100,0.2,103,mm-bo6x10,1,6,10.0,SUCCESS,1,6,7.42,7.13,12,742,59.8452,
Z12,100,0.2,105,mm-bo1x60,2,1,60.0,SUCCESS,1,1,7.31,7.03,12,731,19.7834,
Z12,100,0.2,104,mm-bo3x20,3,3,20.0,SUCCESS,1,3,7.33,7.0,12,733,35.7889,
Z12,100,0.2,103,mm-bo12x5,0,12,5.0,SUCCESS,1,12,8.17,7.71,13,817,62.1176,
Z12,100,0.2,103,mm-bo12x5,1,12,5.0,SUCCESS,1,12,8.26,7.72,14,826,62.3744,
Z12,100,0.2,105,mm-bo3x20,0,3,20.0,SUCCESS,1,3,8.05,7.63,14,805,28.7327,
Z12,100,0.2,105,mm-bo1x60,4,1,60.0,SUCCESS,1,1,8.14,7.61,13,814,15.4237,
Z12,100,0.2,103,mm-bo6x10,3,6,10.0,SUCCESS,1,6,7.71,7.45,12,771,56.0332,
Z12,100,0.2,103,mm-bo6x10,2,6,10.0,SUCCESS,1,6,7.34,7.07,12,734,61.1405,
Z12,100,0.2,103,mm-bo12x5,2,12,5.0,SUCCESS,1,12,8.06,7.58,13,806,61.6513,
Z12,100,0.2,103,mm-bo6x10,4,6,10.0,SUCCESS,1,6,7.69,7.38,13,769,58.0147,
Z12,100,0.2,104,mm-bo3x20,2,3,20.0,SUCCESS,1,3,7.38,7.06,12,738,47.823,
Z12,100,0.2,105,mm-bo3x20,3,3,20.0,SUCCESS,1,3,7.74,7.3,13,774,28.3117,
Z12,100,0.2,103,mm-bo12x5,3,12,5.0,SUCCESS,1,12,8.14,7.65,14,814,62.2223,
Z12,100,0.2,104,mm-bo6x10,0,6,10.0,SUCCESS,1,6,7.54,7.18,12,754,59.6838,
Z12,100,0.2,103,mm-bo12x5,4,12,5.0,SUCCESS,1,12,8.04,7.5,13,804,62.2464,
Z12,100,0.3,101,mm-bo1x60,2,1,60.0,SUCCESS,1,1,9.18,8.7,14,918,16.9137,
Z12,100,0.2,104,mm-bo6x10,1,6,10.0,SUCCESS,1,6,7.52,7.17,12,752,59.532,
Z12,100,0.3,101,mm-bo1x60,3,1,60.0,SUCCESS,1,1,9.51,8.94,15,951,16.9153,
Z12,100,0.2,104,mm-bo12x5,0,12,5.0,SUCCESS,1,12,8.2,7.7,14,820,62.7861,
Z12,100,0.3,101,mm-bo1x60,1,1,60.0,SUCCESS,1,1,8.98,8.47,14,898,26.3526,
Z12,100,0.3,101,mm-bo1x60,0,1,60.0,SUCCESS,1,1,8.58,8.15,14,858,30.4494,
Z12,100,0.2,104,mm-bo12x5,1,12,5.0,SUCCESS,1,12,8.09,7.66,13,809,61.4575,
Z12,100,0.2,104,mm-bo6x10,2,6,10.0,SUCCESS,1,6,7.44,7.18,12,744,58.4312,
Z12,100,0.2,105,mm-bo3x20,1,3,20.0,SUCCESS,1,3,7.48,7.14,12,748,43.9003,
Z12,100,0.3,102,mm-bo1x60,0,1,60.0,SUCCESS,1,1,9.26,8.69,15,926,12.9352,
Z12,100,0.2,105,mm-bo3x20,2,3,20.0,SUCCESS,1,3,7.31,7.03,12,731,42.3651,
Z12,100,0.2,104,mm-bo3x20,4,3,20.0,SUCCESS,1,3,7.17,6.94,11,717,52.7972,
Z12,100,0.2,104,mm-bo12x5,2,12,5.0,SUCCESS,1,12,8.03,7.55,13,803,62.2639,
Z12,100,0.2,104,mm-bo6x10,3,6,10.0,SUCCESS,1,6,7.47,7.21,12,747,59.2451,
Z12,100,0.3,101,mm-bo1x60,4,1,60.0,SUCCESS,1,1,9.21,8.65,14,921,24.3383,
Z12,100,0.2,104,mm-bo12x5,3,12,5.0,SUCCESS,1,12,7.99,7.39,14,799,61.7104,
Z12,100,0.2,104,mm-bo6x10,4,6,10.0,SUCCESS,1,6,7.43,7.08,12,743,60.9646,
Z12,100,0.2,105,mm-bo6x10,0,6,10.0,SUCCESS,1,6,7.57,7.28,11,757,58.1847,
Z12,100,0.3,102,mm-bo1x60,1,1,60.0,SUCCESS,1,1,9.42,8.95,15,942,18.6727,
Z12,100,0.2,104,mm-bo12x5,4,12,5.0,SUCCESS,1,12,8.12,7.7,13,812,62.1537,
Z12,100,0.2,105,mm-bo3x20,4,3,20.0,SUCCESS,1,3,7.41,7.11,12,741,47.4336,
Z12,100,0.2,105,mm-bo12x5,0,12,5.0,SUCCESS,1,12,8.06,7.67,13,806,62.3088,
Z12,100,0.2,105,mm-bo6x10,1,6,10.0,SUCCESS,1,6,7.72,7.37,12,772,59.3074,
Z12,100,0.2,105,mm-bo12x5,1,12,5.0,SUCCESS,1,12,8.1,7.76,13,810,61.8232,
Z12,100,0.3,102,mm-bo1x60,2,1,60.0,SUCCESS,1,1,9.74,9.04,15,974,22.895,
Z12,100,0.2,105,mm-bo6x10,3,6,10.0,SUCCESS,1,6,7.68,7.35,13,768,58.6957,
Z12,100,0.2,105,mm-bo6x10,2,6,10.0,SUCCESS,1,6,7.5,7.18,12,750,61.074,
Z12,100,0.3,102,mm-bo1x60,4,1,60.0,SUCCESS,1,1,9.1,8.63,14,910,19.1128,
Z12,100,0.2,105,mm-bo12x5,2,12,5.0,SUCCESS,1,12,7.87,7.56,13,787,61.9021,
Z12,100,0.3,103,mm-bo1x60,0,1,60.0,SUCCESS,1,1,10.22,9.38,17,1022,16.1167,
