topo,n,p,inst_seed,base_seed,mode,status,success,acl,acl_spur,max_chain,qubits,wall,winner,n_edges,err,arm_meta
P16,100,0.3,101,3,race8-par,SUCCESS,1,9.07,9.07,10,907,60.0954,template[0]@template,1461,,"{""final_survivor"":7,""elapsed_s"":60.095,""arms"":{""0"":[""template"",""floor"",9.07],""1"":[""mm"",""dropped:r2"",13.04],""2"":[""mm"",""dropped:r1"",13.41],""3"":[""mm"",""dropped:r1"",13.83],""4"":[""mm"",""dropped:r1"",14.05],""5"":[""cuthill"",""dropped:r2"",12.59],""6"":[""clmm"",""dropped:r3"",9.73],""7"":[""clmm-core"",""final"",9.24]}}"
P16,100,0.3,101,4,race8-seq,SUCCESS,1,9.07,9.07,10,907,60.2025,template[0]@template,1461,,"{""final_survivor"":7,""elapsed_s"":60.202,""arms"":{""0"":[""template"",""floor"",9.07],""1"":[""mm"",""dropped:r1"",12.98],""2"":[""mm"",""dropped:r1"",17.55],""3"":[""mm"",""dropped:r2"",12.41],""4"":[""mm"",""dropped:r1"",13.83],""5"":[""cuthill"",""dropped:r2"",11.42],""6"":[""clmm"",""survivor"",9.74],""7"":[""clmm-core"",""final"",9.3]}}"
P16,100,0.3,101,4,bestof8-seq,SUCCESS,1,11.68,10.9,20,1168,60.368,mm[run1],1461,,"{""per_run_s"":7.5,""accs"":[11.96,11.68,12.98,12.23,12.57,12.56,13.16,12.66]}"
P16,100,0.3,101,4,bestof8-par,SUCCESS,1,10.97,10.47,16,1097,38.0085,mm[run0],1461,,"{""per_run_s"":60.0,""accs"":[10.97,11.06,11.68,11.94,11.88,11.14,11.52,11.4],""used_s"":[20.7,20.6,25.8,18.3,16.7,38.0,19.6,23.2]}"
P16,100,0.3,101,4,race8-par,SUCCESS,1,9.07,9.07,10,907,60.4414,template[0]@template,1461,,"{""final_survivor"":7,""elapsed_s"":60.441,""arms"":{""0"":[""template"",""floor"",9.07],""1"":[""mm"",""dropped:r1"",12.98],""2"":[""mm"",""dropped:r1"",17.55],""3"":[""mm"",""dropped:r2"",12.41],""4"":[""mm"",""dropped:r1"",13.83],""5"":[""cuthill"",""dropped:r2"",11.42],""6"":[""clmm"",""dropped:r3"",9.73],""7"":[""clmm-core"",""final"",9.21]}}"
P16,100,0.3,102,0,race8-seq,SUCCESS,1,9.12,9.12,10,912,60.2875,template[0]@template,1451,,"{""final_survivor"":6,""elapsed_s"":60.287,""arms"":{""0"":[""template"",""floor"",9.12],""1"":[""mm"",""dropped:r1"",15.63],""2"":[""mm"",""dropped:r2"",13.72],""3"":[""mm"",""dropped:r1"",14.8],""4"":[""mm"",""dropped:r1"",15.06],""5"":[""cuthill"",""dropped:r2"",11.87],""6"":[""clmm"",""final"",9.25],""7"":[""clmm-core"",""survivor"",9.43]}}"
P16,100,0.3,102,0,bestof8-seq,SUCCESS,1,11.9,11.06,20,1190,60.0196,mm[run5],1451,,"{""per_run_s"":7.5,""accs"":[12.05,12.53,13.49,13.3,12.85,11.9,13.56,12.2]}"
P16,100,0.3,102,0,bestof8-par,SUCCESS,1,11.04,10.32,16,1104,38.6673,mm[run5],1451,,"{""per_run_s"":60.0,""accs"":[11.19,11.84,12.78,11.41,11.82,11.04,12.0,11.55],""used_s"":[22.3,23.1,14.9,25.6,25.9,38.6,21.7,13.5]}"
P16,100,0.3,102,0,race8-par,SUCCESS,1,9.12,9.12,10,912,60.4518,template[0]@template,1451,,"{""final_survivor"":7,""elapsed_s"":60.451,""arms"":{""0"":[""template"",""floor"",9.12],""1"":[""mm"",""dropped:r1"",15.63],""2"":[""mm"",""dropped:r2"",12.8],""3"":[""mm"",""dropped:r1"",14.8],""4"":[""mm"",""dropped:r1"",15.06],""5"":[""cuthill"",""dropped:r2"",11.87],""6"":[""clmm"",""dropped:r3"",9.69],""7"":[""clmm-core"",""final"",9.37]}}"
P16,100,0.3,102,2,race8-seq,SUCCESS,1,9.12,9.12,10,912,60.1772,template[0]@template,1451,,"{""final_survivor"":7,""elapsed_s"":60.177,""arms"":{""0"":[""template"",""floor"",9.12],""1"":[""mm"",""dropped:r1"",12.6],""2"":[""mm"",""dropped:r1"",15.02],""3"":[""mm"",""dropped:r2"",12.37],""4"":[""mm"",""dropped:r1"",14.03],""5"":[""cuthill"",""dropped:r2"",10.99],""6"":[""clmm"",""survivor"",9.73],""7"":[""clmm-core"",""final"",9.44]}}"
P16,100,0.3,102,2,bestof8-seq,SUCCESS,1,11.52,10.92,19,1152,60.4705,mm[run0],1451,,"{""per_run_s"":7.5,""accs"":[11.52,11.89,13.57,11.91,13.21,13.08,12.44,13.13]}"
