cell,n,p,inst_seed,algo_seed,stage,acl,acl_best,time_cum
P16:100:0.1,100,0.1,101,15,q5,5.53,5.52,36.25
P16:100:0.1,100,0.1,101,15,q6,5.53,5.52,43.36
P16:100:0.1,100,0.1,101,15,q7,5.53,5.52,50.38
P16:100:0.1,100,0.1,101,15,q8,5.53,5.52,57.44
P16:100:0.1,100,0.1,101,15,spur,5.37,5.37,57.45
P16:100:0.1,100,0.1,102,1,q0legal,8.09,8.09,0.83
P16:100:0.1,100,0.1,102,1,q1,5.48,5.48,7.96
P16:100:0.1,100,0.1,102,1,q2,5.32,5.32,14.98
P16:100:0.1,100,0.1,102,1,q3,5.14,5.14,22.07
P16:100:0.1,100,0.1,102,1,q4,5.09,5.09,29.08
P16:100:0.1,100,0.1,102,1,q5,5.07,5.07,36.12
P16:100:0.1,100,0.1,102,1,q6,5.07,5.07,43.19
P16:100:0.1,100,0.1,102,1,q7,5.07,5.07,50.29
P16:100:0.1,100,0.1,102,1,q8,5.07,5.07,57.34
P16:100:0.1,100,0.1,102,1,spur,4.94,4.94,57.35
P16:100:0.1,100,0.1,102,3,q0legal,8.67,8.67,0.73
P16:100:0.1,100,0.1,102,3,q1,5.51,5.51,7.81
P16:100:0.1,100,0.1,102,3,q2,5.49,5.49,14.85
P16:100:0.1,100,0.1,102,3,q3,5.49,5.49,21.87
P16:100:0.1,100,0.1,102,3,q4,5.32,5.32,28.91
P16:100:0.1,100,0.1,102,3,q5,5.32,5.32,35.95
P16:100:0.1,100,0.1,102,3,q6,5.33,5.32,43.02
P16:100:0.1,100,0.1,102,3,q7,5.18,5.18,50.09
P16:100:0.1,100,0.1,102,3,q8,5.26,5.18,57.17
P16:100:0.1,100,0.1,102,3,spur,5.1,5.1,57.18
P16:100:0.1,100,0.1,102,0,q0legal,8.53,8.53,0.96
P16:100:0.1,100,0.1,102,0,q1,5.34,5.34,8.09
P16:100:0.1,100,0.1,102,0,q2,5.29,5.29,15.14
P16:100:0.1,100,0.1,102,0,q3,5.15,5.15,22.17
P16:100:0.1,100,0.1,102,0,q4,5.15,5.15,29.26
P16:100:0.1,100,0.1,102,0,q5,5.19,5.15,36.35
P16:100:0.1,100,0.1,102,0,q6,5.19,5.15,43.46
P16:100:0.1,100,0.1,102,0,q7,5.18,5.15,50.54
P16:100:0.1,100,0.1,102,0,q8,5.18,5.15,57.66
P16:100:0.1,100,0.1,102,0,spur,5.05,5.05,57.67
P16:100:0.1,100,0.1,102,6,q0legal,9.11,9.11,0.78
P16:100:0.1,100,0.1,102,6,q1,5.51,5.51,7.86
P16:100:0.1,100,0.1,102,6,q2,5.38,5.38,14.98
P16:100:0.1,100,0.1,102,6,q3,5.28,5.28,22.01
P16:100:0.1,100,0.1,102,6,q4,5.29,5.28,29.09
P16:100:0.1,100,0.1,102,6,q5,5.2,5.2,36.13
P16:100:0.1,100,0.1,102,6,q6,5.1,5.1,43.22
P16:100:0.1,100,0.1,102,6,q7,5.06,5.06,50.28
P16:100:0.1,100,0.1,102,6,q8,5.05,5.05,57.33
P16:100:0.1,100,0.1,102,6,spur,4.96,4.96,57.34
P16:100:0.1,100,0.1,102,2,q0legal,9.16,9.16,0.85
P16:100:0.1,100,0.1,102,2,q1,5.87,5.87,7.97
P16:100:0.1,100,0.1,102,2,q2,5.33,5.33,15.09
P16:100:0.1,100,0.1,102,2,q3,5.38,5.33,22.2
P16:100:0.1,100,0.1,102,2,q4,5.38,5.33,29.21
P16:100:0.1,100,0.1,102,2,q5,5.39,5.33,36.31
P16:100:0.1,100,0.1,102,2,q6,5.39,5.33,43.36
P16:100:0.1,100,0.1,102,2,q7,5.39,5.33,50.49
P16:100:0.1,100,0.1,102,2,q8,5.03,5.03,57.58
P16:100:0.1,100,0.1,102,2,spur,4.87,4.87,57.6
P16:100:0.1,100,0.1,102,5,q0legal,8.98,8.98,0.9
P16:100:0.1,100,0.1,102,5,q1,5.77,5.77,8.02
P16:100:0.1,100,0.1,102,5,q2,5.5,5.5,15.14
P16:100:0.1,100,0.1,102,5,q3,5.44,5.44,22.16
P16:100:0.1,100,0.1,102,5,q4,5.44,5.44,29.2
P16:100:0.1,100,0.1,102,5,q5,5.38,5.38,36.23
P16:100:0.1,100,0.1,102,5,q6,5.31,5.31,43.33
P16:100:0.1,100,0.1,102,5,q7,5.27,5.27,50.35
P16:100:0.1,100,0.1,102,5,q8,5.19,5.19,57.53
P16:100:0.1,100,0.1,102,5,spur,5.1,5.1,57.54
P16:100:0.1,100,0.1,102,7,q0legal,8.44,8.44,1.16
P16:100:0.1,100,0.1,102,7,q1,5.43,5.43,8.19
P16:100:0.1,100,0.1,102,7,q2,5.07,5.07,15.25
P16:100:0.1,100,0.1,102,7,q3,5.11,5.07,22.31
P16:100:0.1,100,0.1,102,7,q4,5.11,5.07,29.34
P16:100:0.1,100,0.1,102,7,q5,5.12,5.07,36.37
P16:100:0.1,100,0.1,102,7,q6,5.12,5.07,43.41
P16:100:0.1,100,0.1,102,7,q7,5.12,5.07,50.43
P16:100:0.1,100,0.1,102,7,q8,5.12,5.07,57.46
P16:100:0.1,100,0.1,102,7,spur,4.94,4.94,57.47
P16:100:0.1,100,0.1,102,4,q0legal,7.33,7.33,1.03
P16:100:0.1,100,0.1,102,4,q1,5.42,5.42,8.06
P16:100:0.1,100,0.1,102,4,q2,5.39,5.39,15.16
P16:100:0.1,100,0.1,102,4,q3,5.07,5.07,22.23
P16:100:0.1,100,0.1,102,4,q4,5.07,5.07,29.46
P16:100:0.1,100,0.1,102,4,q5,5.07,5.07,36.56
P16:100:0.1,100,0.1,102,4,q6,5.07,5.07,43.68
P16:100:0.1,100,0.1,102,4,q7,5.08,5.07,50.72
P16:100:0.1,100,0.1,102,4,q8,5.11,5.07,57.8
P16:100:0.1,100,0.1,102,4,spur,4.98,4.98,57.81
P16:100:0.1,100,0.1,102,12,q0legal,9.97,9.97,0.8
P16:100:0.1,100,0.1,102,12,q1,5.25,5.25,7.88
P16:100:0.1,100,0.1,102,12,q2,5.25,5.25,14.9
P16:100:0.1,100,0.1,102,12,q3,5.22,5.22,21.99
P16:100:0.1,100,0.1,102,12,q4,5.22,5.22,29.03
P16:100:0.1,100,0.1,102,12,q5,5.06,5.06,36.06
P16:100:0.1,100,0.1,102,12,q6,5.07,5.06,43.15
P16:100:0.1,100,0.1,102,12,q7,4.98,4.98,50.23
P16:100:0.1,100,0.1,102,12,q8,5.13,4.98,57.32
P16:100:0.1,100,0.1,102,12,spur,4.83,4.83,57.33
P16:100:0.1,100,0.1,102,8,q0legal,8.25,8.25,1.02
P16:100:0.1,100,0.1,102,8,q1,5.5,5.5,8.14
P16:100:0.1,100,0.1,102,8,q2,5.26,5.26,15.22
P16:100:0.1,100,0.1,102,8,q3,5.11,5.11,22.37
P16:100:0.1,100,0.1,102,8,q4,5.01,5.01,29.45
P16:100:0.1,100,0.1,102,8,q5,5.02,5.01,36.56
P16:100:0.1,100,0.1,102,8,q6,5.05,5.01,43.73
P16:100:0.1,100,0.1,102,8,q7,5.04,5.01,50.75
P16:100:0.1,100,0.1,102,8,q8,5.04,5.01,57.79
P16:100:0.1,100,0.1,102,8,spur,4.92,4.92,57.81
P16:100:0.1,100,0.1,102,10,q0legal,8.47,8.47,0.91
P16:100:0.1,100,0.1,102,10,q1,5.8,5.8,8.04
P16:100:0.1,100,0.1,102,10,q2,5.48,5.48,15.11
P16:100:0.1,100,0.1,102,10,q3,5.5,5.48,22.17
