cells=[(100, 0.1), (140, 0.2), (100, 0.5)]  inst_seeds=[101, 102, 103]  algo_seeds=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]  tasks to run=144  workers=8
budget/task: 8s legalize + 8x7s polish quanta (+ spur <= 5s, outside the budget)  csv=p3_rank_stability.csv
[82/144    673s] n140 p0.2 i103 s1: legal 21.23 -> 17.98 16.97 16.54 16.54 16.96 16.95 16.95 16.92 | best 16.54 spur 15.33 ovl 0.34 | 64.7s
[83/144    675s] n140 p0.2 i103 s2: legal 26.79 -> 23.62 24.23 21.19 21.18 20.45 19.56 18.55 17.69 | best 17.69 spur 16.16 ovl 0.21 | 65.2s
[84/144    675s] n140 p0.2 i103 s3: legal 28.75 -> 21.60 19.79 19.86 19.45 18.62 17.82 17.76 18.13 | best 17.76 spur 16.46 ovl 0.19 | 64.2s
[85/144    677s] n140 p0.2 i103 s4: legal 19.98 -> 17.62 17.39 16.44 16.26 16.21 16.34 16.31 16.03 | best 16.03 spur 15.00 ovl 0.35 | 64.8s
[86/144    678s] n140 p0.2 i103 s5: legal 19.76 -> 17.30 16.69 16.66 16.74 16.74 16.74 16.71 16.71 | best 16.66 spur 15.52 ovl 0.40 | 64.9s
[87/144    681s] n140 p0.2 i103 s6: legal 23.76 -> 20.18 18.80 18.81 18.71 18.91 18.12 17.55 17.52 | best 17.52 spur 16.12 ovl 0.29 | 66.0s
[88/144    682s] n140 p0.2 i103 s7: legal 24.09 -> 19.75 19.12 18.73 17.86 17.83 17.66 17.55 16.84 | best 16.84 spur 15.31 ovl 0.28 | 64.9s
[89/144    734s] n140 p0.2 i103 s8: legal 26.61 -> 22.32 19.92 20.08 18.54 18.16 16.96 17.11 17.07 | best 16.96 spur 15.84 ovl 0.23 | 65.1s
[90/144    736s] n140 p0.2 i103 s9: legal 19.11 -> 18.40 18.23 17.77 17.39 17.55 16.64 16.74 16.35 | best 16.35 spur 15.22 ovl 0.41 | 62.9s
[91/144    738s] n140 p0.2 i103 s11: legal 22.34 -> 18.89 17.74 17.81 17.17 16.96 16.94 16.89 16.89 | best 16.89 spur 15.63 ovl 0.39 | 62.6s
[92/144    740s] n140 p0.2 i103 s10: legal 28.79 -> 21.71 21.29 20.36 18.95 19.01 19.49 19.49 18.29 | best 18.29 spur 16.72 ovl 0.17 | 64.3s
[93/144    742s] n140 p0.2 i103 s12: legal 29.71 -> 23.64 23.09 23.11 22.47 22.63 20.17 20.19 18.56 | best 18.56 spur 17.14 ovl 0.19 | 65.2s
[94/144    742s] n140 p0.2 i103 s14: legal 27.64 -> 22.61 22.32 20.99 19.11 19.50 19.10 18.15 18.27 | best 18.15 spur 16.64 ovl 0.19 | 61.2s
[95/144    743s] n140 p0.2 i103 s13: legal 26.40 -> 22.04 22.02 19.93 17.96 17.94 17.94 17.94 17.94 | best 17.94 spur 16.38 ovl 0.24 | 64.0s
[96/144    747s] n140 p0.2 i103 s15: legal 23.34 -> 19.46 18.84 17.72 17.89 17.25 16.96 16.41 16.48 | best 16.41 spur 15.39 ovl 0.33 | 64.8s
[97/144    797s] n100 p0.5 i101 s0: legal 12.62 -> 12.71 12.77 14.49 14.54 15.24 14.01 13.97 14.35 | best 12.62 spur 12.18 ovl 0.99 | 63.1s
[98/144    799s] n100 p0.5 i101 s1: legal 15.62 -> 15.29 14.89 15.33 13.98 13.44 13.42 13.38 13.87 | best 13.38 spur 12.26 ovl 0.44 | 62.4s
[99/144    804s] n100 p0.5 i101 s2: legal 12.58 -> 12.58 12.58 12.58 12.58 14.26 14.23 14.22 14.27 | best 12.58 spur 12.26 ovl 1.00 | 65.5s
[100/144    804s] n100 p0.5 i101 s5: legal 12.49 -> 15.52 15.49 14.81 15.09 15.04 14.68 14.68 14.66 | best 12.49 spur 12.12 ovl 0.51 | 61.7s
[101/144    804s] n100 p0.5 i101 s3: legal 22.82 -> 18.16 19.79 17.90 15.86 15.96 16.23 15.03 14.97 | best 14.97 spur 13.17 ovl 0.27 | 64.7s
[102/144    806s] n100 p0.5 i101 s6: legal 20.03 -> 19.65 21.44 17.31 14.77 14.23 14.97 14.34 14.31 | best 14.23 spur 12.95 ovl 0.41 | 63.6s
[103/144    809s] n100 p0.5 i101 s4: legal 12.58 -> 12.66 12.97 12.97 12.97 12.97 12.97 13.25 13.39 | best 12.58 spur 12.19 ovl 0.95 | 66.7s
[104/144    810s] n100 p0.5 i101 s7: legal 20.35 -> 22.17 17.66 17.62 17.62 15.80 15.72 15.37 15.32 | best 15.32 spur 13.55 ovl 0.45 | 63.4s
[105/144    862s] n100 p0.5 i101 s9: legal 17.93 -> 16.40 16.34 17.54 16.35 15.54 15.58 14.28 14.22 | best 14.22 spur 12.85 ovl 0.41 | 63.5s
[106/144    863s] n100 p0.5 i101 s8: legal 16.90 -> 17.37 15.76 15.40 14.37 13.62 13.46 13.96 13.08 | best 13.08 spur 11.89 ovl 0.45 | 65.7s
[107/144    868s] n100 p0.5 i101 s10: legal 24.50 -> 24.64 22.86 20.22 19.40 18.19 17.54 15.94 16.50 | best 15.94 spur 13.87 ovl 0.98 | 64.9s
[108/144    869s] n100 p0.5 i101 s11: legal 17.55 -> 16.76 16.79 17.85 15.71 14.97 14.96 15.11 14.82 | best 14.82 spur 13.10 ovl 0.39 | 65.4s
[109/144    870s] n100 p0.5 i101 s12: legal 16.18 -> 14.90 14.90 14.89 14.75 14.74 15.06 15.01 14.97 | best 14.74 spur 12.96 ovl 0.47 | 65.9s
[110/144    870s] n100 p0.5 i101 s13: legal 14.69 -> 14.56 14.54 14.33 14.26 14.25 14.21 14.19 14.19 | best 14.19 spur 12.52 ovl 0.49 | 64.0s
[111/144    874s] n100 p0.5 i101 s15: legal 18.16 -> 19.76 16.85 15.75 15.70 15.37 15.86 14.41 14.32 | best 14.32 spur 12.83 ovl 0.64 | 64.1s
[112/144    875s] n100 p0.5 i101 s14: legal 19.57 -> 18.17 17.26 15.47 15.17 15.16 15.15 15.13 14.23 | best 14.23 spur 12.66 ovl 0.36 | 66.4s
[113/144    928s] n100 p0.5 i102 s1: legal 17.62 -> 16.13 15.30 14.85 14.83 15.63 15.60 14.84 15.12 | best 14.83 spur 13.34 ovl 0.38 | 64.8s
[114/144    928s] n100 p0.5 i102 s0: legal 22.51 -> 16.68 16.52 15.77 15.59 15.82 15.82 16.55 16.48 | best 15.59 spur 13.62 ovl 0.26 | 65.7s
[115/144    932s] n100 p0.5 i102 s4: legal 13.35 -> 14.77 15.38 15.37 15.34 14.51 15.21 15.20 15.33 | best 13.35 spur 12.76 ovl 0.51 | 61.4s
[116/144    933s] n100 p0.5 i102 s3: legal 12.54 -> 12.52 12.52 13.03 14.49 15.00 14.23 14.17 14.16 | best 12.52 spur 12.15 ovl 1.00 | 63.9s
[117/144    933s] n100 p0.5 i102 s2: legal 19.26 -> 16.46 17.18 15.66 15.36 15.31 15.44 15.44 15.14 | best 15.14 spur 13.49 ovl 0.32 | 64.9s
[118/144    935s] n100 p0.5 i102 s5: legal 13.82 -> 13.96 14.22 14.27 14.24 14.22 14.01 14.01 14.01 | best 13.82 spur 12.95 ovl 0.49 | 64.8s
[119/144    941s] n100 p0.5 i102 s7: legal 15.78 -> 15.61 15.25 13.99 13.97 14.52 14.53 14.51 14.68 | best 13.97 spur 12.55 ovl 0.41 | 65.9s
[120/144    945s] n100 p0.5 i102 s6: legal 16.09 -> 17.29 17.20 17.30 17.26 17.25 17.25 17.25 17.09 | best 16.09 spur 14.83 ovl 0.80 | 70.5s
[121/144    993s] n100 p0.5 i102 s9: legal 13.48 -> 13.48 13.46 13.44 15.99 15.17 14.64 14.60 14.72 | best 13.44 spur 12.73 ovl 1.00 | 64.6s
[122/144    994s] n100 p0.5 i102 s8: legal 22.02 -> 23.39 20.68 20.60 20.58 21.41 18.03 17.81 16.71 | best 16.71 spur 14.23 ovl 0.73 | 65.7s
[123/144    999s] n100 p0.5 i102 s10: legal 14.08 -> 14.00 14.00 14.26 14.24 14.23 15.26 15.23 15.10 | best 14.00 spur 12.83 ovl 0.98 | 67.7s
[124/144   1000s] n100 p0.5 i102 s12: legal 19.76 -> 19.47 19.44 22.38 22.24 22.18 20.80 20.65 17.72 | best 17.72 spur 14.95 ovl 0.98 | 66.8s
[125/144   1000s] n100 p0.5 i102 s11: legal 17.63 -> 16.76 15.54 14.82 14.78 14.77 14.53 14.02 13.93 | best 13.93 spur 12.28 ovl 0.41 | 67.0s
[126/144   1000s] n100 p0.5 i102 s13: legal 20.38 -> 17.98 17.25 18.31 16.17 16.10 15.28 15.23 15.32 | best 15.23 spur 13.23 ovl 0.31 | 65.5s
[127/144   1005s] n100 p0.5 i102 s14: legal 19.80 -> 18.22 16.09 16.09 16.02 15.84 15.79 16.12 16.12 | best 15.79 spur 13.61 ovl 0.35 | 63.4s
[128/144   1009s] n100 p0.5 i102 s15: legal 16.83 -> 15.48 15.28 15.28 14.11 14.17 14.12 13.99 14.33 | best 13.99 spur 12.48 ovl 0.43 | 64.0s
[129/144   1058s] n100 p0.5 i103 s1: legal 17.13 -> 15.21 14.26 14.31 14.43 13.64 13.63 13.63 13.63 | best 13.63 spur 12.44 ovl 0.39 | 64.7s
[130/144   1060s] n100 p0.5 i103 s0: legal 26.10 -> 23.02 22.96 23.56 21.17 19.98 17.93 18.12 18.11 | best 17.93 spur 15.42 ovl 0.21 | 67.4s
[131/144   1062s] n100 p0.5 i103 s4: legal 12.15 -> 14.16 13.88 13.88 13.87 13.90 13.79 13.79 13.77 | best 12.15 spur 11.74 ovl 0.51 | 61.4s
[132/144   1063s] n100 p0.5 i103 s2: legal 17.09 -> 15.69 15.66 15.12 15.05 15.04 15.04 15.04 14.53 | best 14.53 spur 13.00 ovl 0.39 | 63.3s
[133/144   1067s] n100 p0.5 i103 s3: legal 16.88 -> 17.03 15.75 15.41 15.40 14.94 14.87 14.91 14.25 | best 14.25 spur 12.69 ovl 0.36 | 66.5s
[134/144   1073s] n100 p0.5 i103 s7: legal 17.83 -> 19.80 17.43 17.39 16.74 15.61 16.63 16.78 14.88 | best 14.88 spur 13.49 ovl 0.47 | 64.3s
[135/144   1073s] n100 p0.5 i103 s6: legal 13.80 -> 15.34 15.33 15.27 15.37 15.20 15.72 16.51 14.75 | best 13.80 spur 12.75 ovl 0.76 | 68.5s
[136/144   1074s] n100 p0.5 i103 s5: legal 12.69 -> 12.67 12.67 12.85 12.87 12.86 13.18 13.20 13.20 | best 12.67 spur 12.25 ovl 0.98 | 73.0s
[137/144   1123s] n100 p0.5 i103 s8: legal 14.68 -> 15.76 16.94 16.90 16.03 16.02 15.17 14.80 14.50 | best 14.50 spur 12.83 ovl 0.46 | 64.4s
[138/144   1123s] n100 p0.5 i103 s10: legal 15.27 -> 15.43 14.58 14.31 14.15 14.18 14.23 14.19 14.37 | best 14.15 spur 12.65 ovl 0.45 | 61.1s
[139/144   1126s] n100 p0.5 i103 s9: legal 14.36 -> 14.71 15.99 15.82 15.67 15.75 15.08 15.39 14.77 | best 14.36 spur 13.25 ovl 0.50 | 65.6s
[140/144   1126s] n100 p0.5 i103 s11: legal 15.98 -> 14.10 13.81 13.77 14.23 14.21 14.21 13.44 13.36 | best 13.36 spur 12.15 ovl 0.43 | 63.4s
[141/144   1130s] n100 p0.5 i103 s12: legal 16.65 -> 16.88 15.47 15.31 14.70 14.62 14.60 14.24 14.31 | best 14.24 spur 12.74 ovl 0.43 | 63.6s
[142/144   1137s] n100 p0.5 i103 s13: legal 14.09 -> 14.57 14.93 14.74 14.85 14.81 14.74 14.33 13.58 | best 13.58 spur 12.04 ovl 0.46 | 64.3s
[143/144   1139s] n100 p0.5 i103 s15: legal 17.05 -> 15.54 15.06 15.05 15.05 15.05 15.05 14.56 14.71 | best 14.56 spur 13.02 ovl 0.46 | 65.3s
[144/144   1139s] n100 p0.5 i103 s14: legal 16.67 -> 15.40 15.35 15.45 15.45 15.45 15.57 14.64 14.38 | best 14.38 spur 12.71 ovl 0.42 | 66.2s

all tasks done in 1139s; rows appended to /Users/dabh/ember/docs/paper3/data/p3_rank_stability.csv

====================================================================================================
