graph_id,graph_name,family,n,density,score,mm_acl,ate_acl,clmm_acl,d_ate,d_clmm,label
2681,turan_n12_r5,turan,12,0.863636,1.9167,1.5833333333333333,1.5833333333333333,1.75,0.0,0.166667,0
2682,turan_n12_r6,turan,12,0.909091,1.8333,1.75,1.6666666666666667,1.6666666666666667,-0.083333,-0.083333,0
2683,turan_n12_r6,turan,12,0.909091,1.8333,1.8333333333333333,1.8333333333333333,1.75,0.0,-0.083333,0
2684,turan_n12_r7,turan,12,0.924242,1.9167,1.6666666666666667,1.75,1.8333333333333333,0.083333,0.166667,0
2685,turan_n12_r7,turan,12,0.924242,1.9167,1.6666666666666667,1.8333333333333333,1.75,0.166667,0.083333,0
2686,turan_n35_r3,turan,35,0.685714,2.9714,2.8285714285714287,2.7714285714285714,2.6,-0.057143,-0.228571,0
2687,turan_n12_r8,turan,12,0.939394,2.0,1.8333333333333333,1.8333333333333333,1.75,0.0,-0.083333,0
2688,turan_n13_r2,turan,13,0.538462,1.3846,1.0,1.0,1.0,0.0,0.0,0
2689,turan_n43_r3,turan,43,0.682171,3.5116,3.1627906976744184,3.302325581395349,3.0697674418604652,0.139535,-0.093023,0
2690,turan_n13_r3,turan,13,0.717949,1.4615,1.3846153846153846,1.3846153846153846,1.6923076923076923,0.0,0.307692,0
2691,turan_n49_r3,turan,49,0.680272,3.5714,3.795918367346939,3.4693877551020407,3.326530612244898,-0.326531,-0.469388,0
2692,turan_n13_r4,turan,13,0.807692,2.0,1.5384615384615385,1.6153846153846154,1.5384615384615385,0.076923,0.0,0
2693,turan_n13_r5,turan,13,0.858974,2.0,1.7692307692307692,1.6153846153846154,1.7692307692307692,-0.153846,0.0,0
2694,turan_n13_r5,turan,13,0.858974,2.0,1.6923076923076923,1.6923076923076923,1.7692307692307692,0.0,0.076923,0
2695,turan_n13_r6,turan,13,0.897436,1.9231,1.8461538461538463,1.7692307692307692,1.6923076923076923,-0.076923,-0.153846,0
2696,turan_n13_r6,turan,13,0.897436,1.9231,1.8461538461538463,1.7692307692307692,1.6923076923076923,-0.076923,-0.153846,0
2697,turan_n73_r3,turan,73,0.675799,4.7123,5.52054794520548,4.6438356164383565,4.821917808219178,-0.876712,-0.69863,0
2698,turan_n13_r7,turan,13,0.923077,1.9231,1.8461538461538463,1.8461538461538463,1.7692307692307692,0.0,-0.076923,0
2699,turan_n13_r8,turan,13,0.935897,2.0,1.8461538461538463,1.7692307692307692,1.8461538461538463,-0.076923,0.0,0
2700,turan_n13_r8,turan,13,0.935897,2.0,1.8461538461538463,1.7692307692307692,1.8461538461538463,-0.076923,0.0,0
2701,turan_n14_r2,turan,14,0.538462,1.5,1.0,1.0,1.0,0.0,0.0,0
2702,turan_n14_r3,turan,14,0.714286,2.0,1.5,1.4285714285714286,1.4285714285714286,-0.071429,-0.071429,0
2703,turan_n14_r3,turan,14,0.714286,2.0,1.4285714285714286,1.4285714285714286,1.4285714285714286,0.0,0.0,0
2704,turan_n14_r4,turan,14,0.802198,2.0,1.7857142857142858,1.5714285714285714,1.5714285714285714,-0.214286,-0.214286,0
2705,turan_n14_r4,turan,14,0.802198,2.0,1.6428571428571428,1.7142857142857142,1.7142857142857142,0.071429,0.071429,0
2706,turan_n135_r3,turan,135,0.671642,7.7407,15.133333333333333,7.644444444444445,9.896296296296295,-7.488889,-5.237037,0
2707,turan_n14_r5,turan,14,0.857143,2.0714,1.7857142857142858,1.7142857142857142,1.7142857142857142,-0.071429,-0.071429,0
2708,turan_n154_r3,turan,154,0.670996,8.7013,17.57792207792208,8.636363636363637,11.837662337662337,-8.941558,-5.74026,0
