topo,n,p,inst_seed,base_seed,mode,status,success,acl,acl_spur,max_chain,qubits,wall,winner,n_edges,err,arm_meta
Z12,160,0.05,105,1,race8-par,SUCCESS,1,4.9375,4.8187,9,790,60.0422,mm[1]@final11,663,,"{""final_survivor"":1,""elapsed_s"":60.041,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""final"",4.9375],""2"":[""mm"",""dropped:r2"",5.6312],""3"":[""mm"",""dropped:r1"",6.0438],""4"":[""mm"",""dropped:r3"",5.4125],""5"":[""cuthill"",""dropped:r2"",5.8875],""6"":[""clmm"",""dropped:r1"",6.325],""7"":[""clmm-core"",""dropped:r1"",9.1625]}}"
Z12,160,0.05,105,1,race9-par,SUCCESS,1,4.8063,4.7062,9,769,60.0592,mm-beta[8]@final4,663,,"{""final_survivor"":8,""elapsed_s"":60.058,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r3"",4.9938],""2"":[""mm"",""dropped:r1"",5.9875],""3"":[""mm"",""dropped:r1"",6.0438],""4"":[""mm"",""dropped:r2"",5.4125],""5"":[""cuthill"",""dropped:r2"",5.8875],""6"":[""clmm"",""dropped:r1"",6.325],""7"":[""clmm-core"",""dropped:r1"",9.1625],""8"":[""mm-beta"",""final"",4.8063]}}"
Z12,160,0.05,105,2,race8-seq,SUCCESS,1,5.075,4.9062,10,812,60.1074,mm[1]@q3,663,,"{""final_survivor"":1,""elapsed_s"":60.107,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""final"",5.075],""2"":[""mm"",""dropped:r3"",5.325],""3"":[""mm"",""dropped:r2"",5.475],""4"":[""mm"",""dropped:r1"",5.75],""5"":[""cuthill"",""dropped:r2"",5.625],""6"":[""clmm"",""dropped:r1"",5.8937],""7"":[""clmm-core"",""dropped:r1"",6.3438]}}"
Z12,160,0.05,105,2,race9-seq,SUCCESS,1,4.9688,4.8438,10,795,60.0199,mm-beta[8]@q2,663,,"{""final_survivor"":8,""elapsed_s"":60.019,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""survivor"",5.1063],""2"":[""mm"",""dropped:r2"",5.575],""3"":[""mm"",""dropped:r2"",5.475],""4"":[""mm"",""dropped:r1"",5.75],""5"":[""cuthill"",""dropped:r1"",5.625],""6"":[""clmm"",""dropped:r1"",5.8937],""7"":[""clmm-core"",""dropped:r1"",6.3438],""8"":[""mm-beta"",""final"",4.9688]}}"
Z12,160,0.05,105,2,race8-par,SUCCESS,1,5.0687,4.8937,10,811,60.0739,mm[1]@final2,663,,"{""final_survivor"":1,""elapsed_s"":60.073,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""final"",5.0687],""2"":[""mm"",""dropped:r2"",5.325],""3"":[""mm"",""dropped:r3"",5.3125],""4"":[""mm"",""dropped:r1"",5.8312],""5"":[""cuthill"",""dropped:r2"",5.625],""6"":[""clmm"",""dropped:r1"",6.3],""7"":[""clmm-core"",""dropped:r1"",6.3438]}}"
Z12,160,0.05,105,2,race9-par,SUCCESS,1,4.725,4.6437,9,756,60.049,mm-beta[8]@final3,663,,"{""final_survivor"":8,""elapsed_s"":60.048,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r3"",5.075],""2"":[""mm"",""dropped:r2"",5.325],""3"":[""mm"",""dropped:r2"",5.4188],""4"":[""mm"",""dropped:r1"",5.8312],""5"":[""cuthill"",""dropped:r1"",5.625],""6"":[""clmm"",""dropped:r1"",6.3],""7"":[""clmm-core"",""dropped:r1"",6.3438],""8"":[""mm-beta"",""final"",4.725]}}"
Z12,160,0.05,105,3,race8-seq,SUCCESS,1,5.1,4.925,11,816,60.0371,mm[3]@q2,663,,"{""final_survivor"":3,""elapsed_s"":60.037,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r2"",5.5812],""2"":[""mm"",""dropped:r1"",5.8312],""3"":[""mm"",""final"",5.1],""4"":[""mm"",""dropped:r2"",5.225],""5"":[""cuthill"",""dropped:r3"",5.2],""6"":[""clmm"",""dropped:r1"",6.325],""7"":[""clmm-core"",""dropped:r1"",9.1687]}}"
Z12,160,0.05,105,3,race9-seq,SUCCESS,1,5.1,4.925,11,816,60.1025,mm[3]@q2,663,,"{""final_survivor"":3,""elapsed_s"":60.102,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r1"",5.7812],""2"":[""mm"",""dropped:r1"",5.8312],""3"":[""mm"",""final"",5.1],""4"":[""mm"",""dropped:r2"",5.5312],""5"":[""cuthill"",""survivor"",5.2062],""6"":[""clmm"",""dropped:r1"",6.325],""7"":[""clmm-core"",""dropped:r1"",9.1687],""8"":[""mm-beta"",""dropped:r2"",5.2062]}}"
Z12,160,0.05,105,3,race8-par,SUCCESS,1,4.925,4.75,10,788,60.0394,mm[3]@final11,663,,"{""final_survivor"":3,""elapsed_s"":60.039,""terminal_polish_s"":null,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r3"",5.2875],""2"":[""mm"",""dropped:r1"",5.8312],""3"":[""mm"",""final"",4.925],""4"":[""mm"",""dropped:r2"",5.5],""5"":[""cuthill"",""dropped:r2"",5.4375],""6"":[""clmm"",""dropped:r1"",6.325],""7"":[""clmm-core"",""dropped:r1"",9.1687]}}"
Z12,160,0.05,105,3,race9-par,SUCCESS,1,4.925,4.75,10,788,60.0512,mm[3]@final11,663,,"{""final_survivor"":3,""elapsed_s"":60.05,""terminal_polish_s"":0.0,""arms"":{""0"":[""template"",""floor"",6.9813],""1"":[""mm"",""dropped:r1"",5.7875],""2"":[""mm"",""dropped:r1"",6.3063],""3"":[""mm"",""final"",4.925],""4"":[""mm"",""dropped:r2"",5.3375],""5"":[""cuthill"",""dropped:r2"",5.5938],""6"":[""clmm"",""dropped:r1"",6.325],""7"":[""clmm-core"",""dropped:r1"",9.1687],""8"":[""mm-beta"",""dropped:r3"",5.2]}}"
