topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
Z12,140,0.07194244604316546,101,p3-mm-beta-fb,arm,3,,SUCCESS,1,5.5643,5.3714,12,779,10.5683,691,
Z12,140,0.07194244604316546,101,p3-mm-beta-fb,arm,1,,SUCCESS,1,5.8286,5.65,12,816,10.9597,691,
Z12,140,0.07194244604316546,101,p3-mm-beta,arm,4,,SUCCESS,1,5.4714,5.2929,11,766,11.7056,691,
Z12,140,0.07194244604316546,103,p3-mm-beta-fb,arm,1,,SUCCESS,1,5.9429,5.7071,12,832,8.4816,689,
Z12,140,0.07194244604316546,102,p3-mm-beta-fb,arm,3,,SUCCESS,1,5.9214,5.7071,11,829,10.0409,693,
Z12,140,0.07194244604316546,101,p3-mm-beta-fb,arm,4,,SUCCESS,1,5.4714,5.2929,11,766,12.1726,691,
Z12,140,0.07194244604316546,104,p3-mm-beta,arm,0,,SUCCESS,1,6.1571,5.8643,12,862,8.4702,718,
Z12,140,0.07194244604316546,104,p3-mm-beta,arm,3,,SUCCESS,1,6.3143,6.0714,14,884,6.4868,718,
Z12,140,0.07194244604316546,103,p3-mm-beta,arm,3,,SUCCESS,1,5.6571,5.55,11,792,12.6995,689,
Z12,140,0.07194244604316546,104,p3-mm-beta-fb,arm,3,,SUCCESS,1,6.3143,6.0714,14,884,6.4646,718,
Z12,140,0.07194244604316546,103,p3-mm-beta-fb,arm,3,,SUCCESS,1,5.6571,5.55,11,792,12.8198,689,
Z12,140,0.07194244604316546,105,p3-mm-beta,arm,1,,SUCCESS,1,6.7357,6.3714,14,943,6.6598,730,
Z12,140,0.07194244604316546,104,p3-mm-beta,arm,1,,SUCCESS,1,5.9357,5.7071,12,831,10.3194,718,
Z12,140,0.07194244604316546,104,p3-mm-beta-fb,arm,0,,SUCCESS,1,6.1571,5.8643,12,862,8.4254,718,
Z12,140,0.07194244604316546,105,p3-mm-beta,arm,3,,SUCCESS,1,6.7071,6.3857,14,939,7.2829,730,
Z12,140,0.07194244604316546,105,p3-mm-beta-fb,arm,1,,SUCCESS,1,6.7357,6.3714,14,943,6.6956,730,
Z12,140,0.07194244604316546,103,p3-mm-beta,arm,0,,SUCCESS,1,5.4571,5.2786,10,764,16.3085,689,
Z12,140,0.07194244604316546,102,p3-mm-beta,arm,2,,SUCCESS,1,6.0,5.8214,11,840,17.2691,693,
Z12,140,0.07194244604316546,105,p3-mm-beta-fb,arm,3,,SUCCESS,1,6.7071,6.3857,14,939,7.2509,730,
Z12,140,0.07194244604316546,104,p3-mm-beta,arm,2,,SUCCESS,1,5.9786,5.7643,12,837,11.4446,718,
Z12,140,0.07194244604316546,102,p3-mm-beta-fb,arm,2,,SUCCESS,1,6.0,5.8214,11,840,17.3051,693,
Z12,140,0.07194244604316546,104,p3-mm-beta-fb,arm,1,,SUCCESS,1,5.9357,5.7071,12,831,10.4407,718,
Z12,140,0.07194244604316546,103,p3-mm-beta-fb,arm,0,,SUCCESS,1,5.4571,5.2786,10,764,16.457,689,
Z12,140,0.07194244604316546,105,p3-mm-beta,arm,2,,SUCCESS,1,6.0214,5.8143,11,843,10.4532,730,
Z12,140,0.07194244604316546,104,p3-mm-beta-fb,arm,2,,SUCCESS,1,5.9786,5.7643,12,837,12.2337,718,
Z12,140,0.07194244604316546,105,p3-mm-beta-fb,arm,2,,SUCCESS,1,6.0214,5.8143,11,843,10.2827,730,
Z12,140,0.07194244604316546,105,p3-mm-beta,arm,0,,SUCCESS,1,6.0357,5.8,11,845,11.9747,730,
Z12,140,0.07194244604316546,105,p3-mm-beta-fb,arm,0,,SUCCESS,1,6.0357,5.8,11,845,11.9611,730,
Z12,140,0.07194244604316546,104,p3-mm-beta,arm,4,,SUCCESS,1,6.0357,5.8143,11,845,15.5606,718,
Z12,140,0.07194244604316546,105,p3-mm-beta,arm,4,,SUCCESS,1,5.6857,5.5,10,796,14.148,730,
Z12,140,0.07194244604316546,104,p3-mm-beta-fb,arm,4,,SUCCESS,1,6.0357,5.8143,11,845,15.4516,718,
Z12,140,0.07194244604316546,105,p3-mm-beta-fb,arm,4,,SUCCESS,1,5.6857,5.5,10,796,14.0555,730,
Z12,180,0.055865921787709494,101,p3-mm-beta,arm,1,,SUCCESS,1,7.5,7.1444,17,1350,14.0869,911,
Z12,180,0.055865921787709494,102,p3-mm-beta,arm,4,,SUCCESS,1,7.5944,7.25,16,1367,7.8323,877,
Z12,180,0.055865921787709494,101,p3-mm-beta,arm,4,,SUCCESS,1,7.3944,7.0167,15,1331,12.246,911,
Z12,180,0.055865921787709494,102,p3-mm-beta-fb,arm,4,,SUCCESS,1,7.5944,7.25,16,1367,7.892,877,
Z12,180,0.055865921787709494,102,p3-mm-beta,arm,0,,SUCCESS,1,7.4556,7.1,17,1342,11.0142,877,
Z12,180,0.055865921787709494,101,p3-mm-beta,arm,3,,SUCCESS,1,7.4278,7.1333,16,1337,15.3703,911,
Z12,180,0.055865921787709494,103,p3-mm-beta,arm,0,,SUCCESS,1,7.2833,6.9611,15,1311,9.0757,892,
Z12,180,0.055865921787709494,101,p3-mm-beta-fb,arm,4,,SUCCESS,1,7.3944,7.0167,15,1331,12.2334,911,
Z12,180,0.055865921787709494,101,p3-mm-beta-fb,arm,1,,SUCCESS,1,7.5,7.1444,17,1350,14.0247,911,
Z12,180,0.055865921787709494,102,p3-mm-beta-fb,arm,0,,SUCCESS,1,7.4556,7.1,17,1342,11.0442,877,
Z12,180,0.055865921787709494,102,p3-mm-beta,arm,2,,SUCCESS,1,7.4222,7.0778,16,1336,12.0786,877,
Z12,180,0.055865921787709494,101,p3-mm-beta,arm,2,,SUCCESS,1,7.0889,6.7944,15,1276,18.6536,911,
Z12,180,0.055865921787709494,102,p3-mm-beta-fb,arm,2,,SUCCESS,1,7.4222,7.0778,16,1336,11.9988,877,
Z12,180,0.055865921787709494,103,p3-mm-beta,arm,3,,SUCCESS,1,7.4611,7.1389,16,1343,9.8521,892,
Z12,180,0.055865921787709494,101,p3-mm-beta-fb,arm,3,,SUCCESS,1,7.4278,7.1333,16,1337,15.2985,911,
Z12,180,0.055865921787709494,103,p3-mm-beta-fb,arm,0,,SUCCESS,1,7.2833,6.9611,15,1311,9.1516,892,
Z12,180,0.055865921787709494,102,p3-mm-beta,arm,1,,SUCCESS,1,6.85,6.4833,15,1233,15.7321,877,
