topo,n,p,inst_seed,assignment,status,acl_pre,acl_spur,obj_sim,qubits,time,detail,err
P16,100,0.3,101,rand-17,SUCCESS,9.82,9.51,959,951,0.0226,,
P16,100,0.3,101,rand-18,SUCCESS,9.82,9.56,964,956,0.0289,,
P16,100,0.3,101,rand-19,SUCCESS,9.82,9.49,957,949,0.0305,,
P16,100,0.3,101,rand-20,SUCCESS,9.82,9.48,955,948,0.0232,,
P16,100,0.3,101,rand-21,SUCCESS,9.82,9.44,949,944,0.0311,,
P16,100,0.3,101,rand-22,SUCCESS,9.82,9.54,961,954,0.0315,,
P16,100,0.3,101,rand-23,SUCCESS,9.82,9.41,953,941,0.0247,,
P16,100,0.3,101,rand-24,SUCCESS,9.82,9.46,957,946,0.0239,,
P16,100,0.3,101,rand-25,SUCCESS,9.82,9.44,954,944,0.0248,,
P16,100,0.3,101,rand-26,SUCCESS,9.82,9.58,963,958,0.0306,,
P16,100,0.3,101,rand-27,SUCCESS,9.82,9.54,957,954,0.0219,,
P16,100,0.3,101,rand-28,SUCCESS,9.82,9.54,957,954,0.0257,,
P16,100,0.3,101,rand-29,SUCCESS,9.82,9.51,959,951,0.02,,
P16,100,0.3,101,rand-30,SUCCESS,9.82,9.48,954,948,0.0282,,
P16,100,0.3,101,rand-31,SUCCESS,9.82,9.51,957,951,0.0386,,
P16,100,0.3,104,identity,SUCCESS,9.82,9.52,959,952,0.0278,,
P16,100,0.3,104,cuthill,SUCCESS,9.82,9.4,956,940,0.0416,,
P16,100,0.3,104,spectral,SUCCESS,9.82,9.4,951,940,0.2344,,
P16,100,0.3,104,shipped,SUCCESS,9.82,9.05,906,905,0.1102,"{""seed_order"":""spectral"",""obj_seed"":951,""obj_final"":906,""complete_skip"":false}",
P16,100,0.3,104,rand-00,SUCCESS,9.82,9.52,956,952,0.0205,,
P16,100,0.3,104,rand-01,SUCCESS,9.82,9.51,957,951,0.0245,,
P16,100,0.3,104,rand-02,SUCCESS,9.82,9.48,955,948,0.0317,,
P16,100,0.3,104,rand-03,SUCCESS,9.82,9.48,958,948,0.0351,,
P16,100,0.3,104,rand-04,SUCCESS,9.82,9.51,953,951,0.032,,
P16,100,0.3,104,rand-05,SUCCESS,9.82,9.46,954,946,0.0238,,
P16,100,0.3,104,rand-06,SUCCESS,9.82,9.47,951,947,0.0343,,
P16,100,0.3,104,rand-07,SUCCESS,9.82,9.54,960,954,0.0321,,
P16,100,0.3,104,rand-08,SUCCESS,9.82,9.51,956,951,0.0233,,
P16,100,0.3,104,rand-09,SUCCESS,9.82,9.47,958,947,0.0259,,
P16,100,0.3,104,rand-10,SUCCESS,9.82,9.53,962,953,0.0241,,
P16,100,0.3,104,rand-11,SUCCESS,9.82,9.48,955,948,0.0275,,
P16,100,0.3,104,rand-12,SUCCESS,9.82,9.51,956,951,0.0253,,
P16,100,0.3,104,rand-13,SUCCESS,9.82,9.55,963,955,0.0263,,
P16,100,0.3,104,rand-14,SUCCESS,9.82,9.47,954,947,0.0218,,
P16,100,0.3,104,rand-15,SUCCESS,9.82,9.42,951,942,0.0373,,
P16,100,0.3,104,rand-16,SUCCESS,9.82,9.62,966,962,0.0236,,
P16,100,0.3,104,rand-17,SUCCESS,9.82,9.49,954,949,0.0232,,
P16,100,0.3,104,rand-18,SUCCESS,9.82,9.52,958,952,0.0196,,
P16,100,0.3,104,rand-19,SUCCESS,9.82,9.57,961,957,0.0224,,
P16,100,0.3,104,rand-20,SUCCESS,9.82,9.53,955,953,0.032,,
P16,100,0.3,104,rand-21,SUCCESS,9.82,9.53,962,953,0.0219,,
P16,100,0.3,104,rand-22,SUCCESS,9.82,9.61,967,961,0.0229,,
P16,100,0.3,104,rand-23,SUCCESS,9.82,9.47,955,947,0.026,,
P16,100,0.3,104,rand-24,SUCCESS,9.82,9.49,955,949,0.0242,,
P16,100,0.3,104,rand-25,SUCCESS,9.82,9.53,959,953,0.0251,,
P16,100,0.3,104,rand-26,SUCCESS,9.82,9.44,949,944,0.0315,,
P16,100,0.3,104,rand-27,SUCCESS,9.82,9.51,955,951,0.0327,,
P16,100,0.3,104,rand-28,SUCCESS,9.82,9.46,953,946,0.037,,
P16,100,0.3,104,rand-29,SUCCESS,9.82,9.53,956,953,0.0201,,
P16,100,0.3,104,rand-30,SUCCESS,9.82,9.51,958,951,0.0344,,
P16,100,0.3,104,rand-31,SUCCESS,9.82,9.4,946,940,0.037,,
P16,100,0.3,105,identity,SUCCESS,9.82,9.44,951,944,0.0287,,
P16,100,0.3,105,cuthill,SUCCESS,9.82,9.55,959,955,0.0296,,
P16,100,0.3,105,spectral,SUCCESS,9.82,9.37,949,937,0.0588,,
P16,100,0.3,105,shipped,SUCCESS,9.82,9.15,914,915,0.1174,"{""seed_order"":""spectral"",""obj_seed"":949,""obj_final"":914,""complete_skip"":false}",
P16,100,0.3,105,rand-00,SUCCESS,9.82,9.46,951,946,0.0217,,
P16,100,0.3,105,rand-01,SUCCESS,9.82,9.55,961,955,0.0236,,
P16,100,0.3,105,rand-02,SUCCESS,9.82,9.49,958,949,0.0232,,
P16,100,0.3,105,rand-03,SUCCESS,9.82,9.54,957,954,0.0252,,
P16,100,0.3,105,rand-04,SUCCESS,9.82,9.5,954,950,0.0233,,
P16,100,0.3,105,rand-05,SUCCESS,9.82,9.43,950,943,0.034,,
P16,100,0.3,105,rand-06,SUCCESS,9.82,9.55,962,955,0.0228,,
P16,100,0.3,105,rand-07,SUCCESS,9.82,9.51,957,951,0.0333,,
P16,100,0.3,105,rand-08,SUCCESS,9.82,9.5,961,950,0.0238,,
P16,100,0.3,105,rand-09,SUCCESS,9.82,9.49,952,949,0.0368,,
P16,100,0.3,105,rand-10,SUCCESS,9.82,9.58,960,958,0.0333,,
P16,100,0.3,105,rand-11,SUCCESS,9.82,9.58,965,958,0.0279,,
P16,100,0.3,105,rand-12,SUCCESS,9.82,9.55,963,955,0.0248,,
P16,100,0.3,105,rand-13,SUCCESS,9.82,9.5,953,950,0.0267,,
P16,100,0.3,105,rand-14,SUCCESS,9.82,9.46,949,946,0.0219,,
P16,100,0.3,105,rand-15,SUCCESS,9.82,9.46,953,946,0.0371,,
P16,100,0.3,105,rand-16,SUCCESS,9.82,9.51,953,951,0.026,,
P16,100,0.3,105,rand-17,SUCCESS,9.82,9.49,954,949,0.0237,,
P16,100,0.3,105,rand-18,SUCCESS,9.82,9.58,961,958,0.0197,,
P16,100,0.3,105,rand-19,SUCCESS,9.82,9.45,952,945,0.022,,
P16,100,0.3,105,rand-20,SUCCESS,9.82,9.46,957,946,0.0227,,
P16,100,0.3,105,rand-21,SUCCESS,9.82,9.52,955,952,0.0313,,
P16,100,0.3,105,rand-22,SUCCESS,9.82,9.45,952,945,0.0321,,
P16,100,0.3,105,rand-23,SUCCESS,9.82,9.57,959,957,0.0374,,
P16,100,0.3,105,rand-24,SUCCESS,9.82,9.54,959,954,0.024,,
P16,100,0.3,105,rand-25,SUCCESS,9.82,9.49,953,949,0.0246,,
P16,100,0.3,105,rand-26,SUCCESS,9.82,9.51,952,951,0.0252,,
P16,100,0.3,105,rand-27,SUCCESS,9.82,9.5,956,950,0.0219,,
P16,100,0.3,105,rand-28,SUCCESS,9.82,9.51,956,951,0.0254,,
P16,100,0.3,105,rand-29,SUCCESS,9.82,9.55,961,955,0.0296,,
P16,100,0.3,105,rand-30,SUCCESS,9.82,9.5,954,950,0.0365,,
P16,100,0.3,105,rand-31,SUCCESS,9.82,9.52,956,952,0.0259,,
P16,140,0.2,101,identity,SUCCESS,13.8286,12.5929,1790,1763,0.0938,,
P16,140,0.2,101,cuthill,SUCCESS,13.8286,12.0857,1731,1692,0.0722,,
P16,140,0.2,101,spectral,SUCCESS,13.8286,12.0643,1744,1689,0.1113,,
P16,140,0.2,101,shipped,SUCCESS,13.8286,11.8857,1671,1664,0.1735,"{""seed_order"":""cuthill"",""obj_seed"":1731,""obj_final"":1671,""complete_skip"":false}",
P16,140,0.2,101,rand-00,SUCCESS,13.8286,12.5643,1783,1759,0.0861,,
P16,140,0.2,101,rand-01,SUCCESS,13.8286,12.4786,1781,1747,0.0883,,
P16,140,0.2,101,rand-02,SUCCESS,13.8286,12.6357,1794,1769,0.0614,,
P16,140,0.2,101,rand-03,SUCCESS,13.8286,12.4214,1763,1739,0.0919,,
P16,140,0.2,101,rand-04,SUCCESS,13.8286,12.5,1789,1750,0.089,,
P16,140,0.2,101,rand-05,SUCCESS,13.8286,12.45,1776,1743,0.0875,,
P16,140,0.2,101,rand-06,SUCCESS,13.8286,12.5571,1790,1758,0.0835,,
P16,140,0.2,101,rand-07,SUCCESS,13.8286,12.5071,1789,1751,0.0869,,
P16,140,0.2,101,rand-08,SUCCESS,13.8286,12.4786,1797,1747,0.0852,,
P16,140,0.2,101,rand-09,SUCCESS,13.8286,12.5714,1791,1760,0.1009,,
P16,140,0.2,101,rand-10,SUCCESS,13.8286,12.5429,1786,1756,0.0937,,
P16,140,0.2,101,rand-11,SUCCESS,13.8286,12.5214,1783,1753,0.0721,,
P16,140,0.2,101,rand-12,SUCCESS,13.8286,12.4643,1778,1745,0.0886,,
P16,140,0.2,101,rand-13,SUCCESS,13.8286,12.4786,1773,1747,0.0854,,
P16,140,0.2,101,rand-14,SUCCESS,13.8286,12.4143,1775,1738,0.0881,,
P16,140,0.2,101,rand-15,SUCCESS,13.8286,12.4643,1776,1745,0.0979,,
P16,140,0.2,101,rand-16,SUCCESS,13.8286,12.5643,1779,1759,0.0943,,
P16,140,0.2,101,rand-17,SUCCESS,13.8286,12.5929,1793,1763,0.0814,,
P16,140,0.2,101,rand-18,SUCCESS,13.8286,12.4929,1783,1749,0.0771,,
P16,140,0.2,101,rand-19,SUCCESS,13.8286,12.5857,1795,1762,0.0799,,
P16,140,0.2,101,rand-20,SUCCESS,13.8286,12.55,1797,1757,0.0887,,
P16,140,0.2,101,rand-21,SUCCESS,13.8286,12.45,1781,1743,0.1016,,
P16,140,0.2,101,rand-22,SUCCESS,13.8286,12.5643,1787,1759,0.0835,,
P16,140,0.2,101,rand-23,SUCCESS,13.8286,12.4929,1775,1749,0.0866,,
P16,140,0.2,101,rand-24,SUCCESS,13.8286,12.5286,1795,1754,0.0765,,
P16,140,0.2,101,rand-25,SUCCESS,13.8286,12.55,1797,1757,0.0876,,
P16,140,0.2,101,rand-26,SUCCESS,13.8286,12.5286,1790,1754,0.0908,,
P16,140,0.2,101,rand-27,SUCCESS,13.8286,12.5214,1784,1753,0.0807,,
P16,140,0.2,101,rand-28,SUCCESS,13.8286,12.6714,1805,1774,0.0905,,
P16,140,0.2,101,rand-29,SUCCESS,13.8286,12.5286,1799,1754,0.0851,,
P16,140,0.2,101,rand-30,SUCCESS,13.8286,12.5143,1788,1752,0.0867,,
P16,140,0.2,101,rand-31,SUCCESS,13.8286,12.5429,1792,1756,0.0846,,
P16,140,0.2,102,identity,SUCCESS,13.8286,12.4429,1783,1742,0.0973,,
P16,140,0.2,102,cuthill,SUCCESS,13.8286,12.0,1704,1680,0.1012,,
P16,140,0.2,102,spectral,SUCCESS,13.8286,12.1929,1741,1707,0.136,,
P16,140,0.2,102,shipped,SUCCESS,13.8286,11.8214,1657,1655,0.1919,"{""seed_order"":""cuthill"",""obj_seed"":1704,""obj_final"":1657,""complete_skip"":false}",
